index_waters,Electrophile,Electrophile SMILES,Nucleophile,Nucleophile SMILES,Product SMILES,nu/100000,prod/100000,prod/(nu+prod)*100,inhibition %,inhibition % in 5-fold dilution
A1,"E1_2-BIBENZYLCARBOXYLIC ACID, 97%",C1=CC=C(C=C1)CCC2=CC=CC=C2C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccccc3CCc3ccccc3)CCC[C@]21C,59.24,5.7,8.8,-23.5,0
A2,"E53_N-4-BOC-N-1-CBZ-2-PIPERAZINE CARBOXYLIC ACID, 97%",CC(C)(C)OC(=O)N1CCN(C(C1)C(=O)O)C(=O)OCC2=CC=CC=C2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC3CN(C(=O)OC(C)(C)C)CCN3C(=O)OCc3ccccc3)CCC[C@]21C,38.67,14,26.6,54.8,0
A3,"E96_4-BUTYLBENZOIC ACID, 97%",CCCCC1=CC=C(C=C1)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CCCCc1ccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@@H]23)cc1,23.21,46.3,66.6,-21.6,0
A4,E142_4-cyclohexylbenzoic acid,C1CCC(CC1)C2=CC=C(C=C2)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(C4CCCCC4)cc3)CCC[C@]21C,5.54,8.8,61.4,-44,0
A5,E181_9H-fluorene-9-carboxylic acid,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC3c4ccccc4-c4ccccc43)CCC[C@]21C,14.19,1.3,8.5,-43.7,0
A6,E223_(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,COc1ccc2cc(C(C)CNC[C@]3(C)CCC[C@]4(C)c5ccc(C(C)C)cc5CC[C@@H]34)ccc2c1,18.11,58.9,76.5,-58.8,0
A7,E279_10-Undecenoic Acid,C=CCCCCCCCCC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,C=CCCCCCCCCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,16.1,0,0,-44.7,0
A8,"E3_4-HYDROXYBENZOIC ACID, 99%",C1=CC(=CC=C1C(=O)O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(O)cc3)CCC[C@]21C,20.04,0,0,-38.9,0
A9,"E102_3-CHLORO-2,2-DIMETHYLPROPIONIC ACID, 97%",CC(C)(CCl)C(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC(C)(C)CCl)CCC[C@]21C,17.83,0,0,-49.1,0
A10,E227_3-methylbut-2-enoic acid,CC(=CC(=O)O)C,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)=CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,13.84,6.7,32.6,-48.6,0
A13,"E1_2-BIBENZYLCARBOXYLIC ACID, 97%",C1=CC=C(C=C1)CCC2=CC=CC=C2C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3ccccc3CCc3ccccc3)C1CC2,62.45,29.3,31.9,80.2,-1.58
A14,"E53_N-4-BOC-N-1-CBZ-2-PIPERAZINE CARBOXYLIC ACID, 97%",CC(C)(C)OC(=O)N1CCN(C(C1)C(=O)O)C(=O)OCC2=CC=CC=C2,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCC3CN(C(=O)OC(C)(C)C)CCN3C(=O)OCc3ccccc3)C1CC2,65.37,10.3,13.6,90,3.38
A15,"E96_4-BUTYLBENZOIC ACID, 97%",CCCCC1=CC=C(C=C1)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CCCCc1ccc(CNC[C@]2(C)CCC[C@]3(C)c4cc(O)c(C(C)C)cc4CCC23)cc1,46.96,15.8,25.2,64.3,0
A16,E142_4-cyclohexylbenzoic acid,C1CCC(CC1)C2=CC=C(C=C2)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3ccc(C4CCCCC4)cc3)C1CC2,1.67,7.6,82,-41,0
A17,E181_9H-fluorene-9-carboxylic acid,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCC3c4ccccc4-c4ccccc43)C1CC2,17.16,1.6,8.4,-75.4,0
A18,E223_(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,COc1ccc2cc(C(C)CNC[C@]3(C)CCC[C@]4(C)c5cc(O)c(C(C)C)cc5CCC34)ccc2c1,6.37,48.3,88.4,-64.3,0
A19,E279_10-Undecenoic Acid,C=CCCCCCCCCC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,C=CCCCCCCCCCNC[C@]1(C)CCC[C@]2(C)c3cc(O)c(C(C)C)cc3CCC12,7.58,0,0,-61.7,0
A20,"E3_4-HYDROXYBENZOIC ACID, 99%",C1=CC(=CC=C1C(=O)O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCc3ccc(O)cc3)C1CC2,14.38,0,0,-65.6,0
A21,"E102_3-CHLORO-2,2-DIMETHYLPROPIONIC ACID, 97%",CC(C)(CCl)C(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCC(C)(C)CCl)C1CC2,19.95,4.3,17.8,-67.7,0
