Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive1,Additive1 SMILES,Additive1 Conc (M),Additive2,Additive2 SMILES,Additive2 Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,t3-eic(+)[m+h]_product1 areaabs,ms tic(+)_product1 areaabs,t2-eic(+)[m+h]_n3 areaabs,ms tic(+)_n3 areaabs,t2-eic(+)[m+h]_n4 areaabs,ms tic(+)_n4 areaabs,t2-eic(+)[m+h]_product1 areaabs,t3-eic(+)[m+h]_n3 areaabs,t3-eic(+)[m+h]_n4 areaabs,nu/100000,prod/100000,prod/(nu+prod)*100,inhibition %,third score (inhibition/prod conv),inhibition % in 5-fold dilution
yk-1536-4-make-product,1536,80,,1536,A,1,"E1_2-BIBENZYLCARBOXYLIC ACID, 97%",C1=CC=C(C=C1)CCC2=CC=CC=C2C(=O)O,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccccc3CCc3ccccc3)CCC[C@]21C,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A1,1076747.598,573599.4582,,,,,0,,,59.24,5.7,8.8,-23.5,-2.67,0
yk-1536-4-make-product,1536,80,,1536,A,2,"E53_N-4-BOC-N-1-CBZ-2-PIPERAZINE CARBOXYLIC ACID, 97%",CC(C)(C)OC(=O)N1CCN(C(C1)C(=O)O)C(=O)OCC2=CC=CC=C2,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC3CN(C(=O)OC(C)(C)C)CCN3C(=O)OCc3ccccc3)CCC[C@]21C,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A2,2759791.564,1399699.162,,,,,0,,,38.67,14,26.6,54.8,2.06,0
yk-1536-4-make-product,1536,80,,1536,A,3,"E96_4-BUTYLBENZOIC ACID, 97%",CCCCC1=CC=C(C=C1)C(=O)O,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,CCCCc1ccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@@H]23)cc1,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A3,3037639.67,4632279.935,,,,,0,,,23.21,46.3,66.6,-21.6,-0.32,0
yk-1536-4-make-product,1536,80,,1536,A,4,E142_4-cyclohexylbenzoic acid,C1CCC(CC1)C2=CC=C(C=C2)C(=O)O,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(C4CCCCC4)cc3)CCC[C@]21C,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A4,1290851.768,881862.0811,,,,,0,,,5.54,8.8,61.4,-44,-0.72,0
yk-1536-4-make-product,1536,80,,1536,A,5,E181_9H-fluorene-9-carboxylic acid,C1=CC=C2C(=C1)C(C3=CC=CC=C32)C(=O)O,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC3c4ccccc4-c4ccccc43)CCC[C@]21C,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A5,70447.69885,131713.8373,,,,,0,,,14.19,1.3,8.5,-43.7,-5.14,0
yk-1536-4-make-product,1536,80,,1536,A,6,E223_(2S)-2-(6-methoxynaphthalen-2-yl)propanoic acid,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,COc1ccc2cc(C(C)CNC[C@]3(C)CCC[C@]4(C)c5ccc(C(C)C)cc5CC[C@@H]34)ccc2c1,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A6,7905669.753,5887553.907,,,,,0,,,18.11,58.9,76.5,-58.8,-0.77,0
yk-1536-4-make-product,1536,80,,1536,A,7,E279_10-Undecenoic Acid,C=CCCCCCCCCC(=O)O,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,C=CCCCCCCCCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A7,0,0,,,,,0,,,16.1,0,0,-44.7,0,0
yk-1536-4-make-product,1536,80,,1536,A,8,"E3_4-HYDROXYBENZOIC ACID, 99%",C1=CC(=CC=C1C(=O)O)O,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCc3ccc(O)cc3)CCC[C@]21C,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A8,10818.96586,0,,,,,0,,,20.04,0,0,-38.9,0,0
yk-1536-4-make-product,1536,80,,1536,A,9,"E102_3-CHLORO-2,2-DIMETHYLPROPIONIC ACID, 97%",CC(C)(CCl)C(=O)O,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC(C)(C)CCl)CCC[C@]21C,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A9,46494.26297,0,,,,,0,,,17.83,0,0,-49.1,0,0
yk-1536-4-make-product,1536,80,,1536,A,10,E227_3-methylbut-2-enoic acid,CC(=CC(=O)O)C,0.2,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,0.1,,CC(C)=CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,"C1_PLATINUM-1,3-DIVINYL-1,1,3,3-TETRAMETHYLDISILOXANE COMPLEX, IN XYLENES",C=C[Si](C)(C)O[Si](C)(C)C=C.[Pt],0.15,L1_Davephos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,0.005,None,None,None,None,None,None,None,None,None,O1_phenylsilane,C1=CC=C(C=C1)[Si]��,0.6,None,None,None,None,None,None,none,100,none,0,UPLCMS,A10,527101.794,668499.707,,,,,0,,,13.84,6.7,32.6,-48.6,-1.49,0
