Sample Name,PROD/IS 
A1,0.05
A2,0.75
A3,0.09
A4,0.11
A5,0.98
A6,0.02
A7,0.31
A8,0.03
A9,0.1
A10,0.02
A11,0.69
A12,0.04
B1,1.74
B2,2.62
B3,1.3
B4,2.35
B5,2.42
B6,1.47
B7,1.91
B8,1.28
B9,1.1
B10,0.84
B11,1.81
B12,1.8
C1,0.08
C2,0.05
C3,0.42
C4,0.02
C5,0.09
C6,0.32
C7,0.24
C8,0.82
C9,0.04
C10,0.07
C11,0.02
C12,0.08
D1,2.12
D2,2.79
D3,0.83
D4,2.69
D5,2.95
D6,0.43
D7,2.01
D8,2.36
D9,2.77
D10,1.24
D11,2.01
D12,2.69
E1,0.01
E2,0.08
E3,0.22
E4,0
E5,0.13
E6,0.06
E7,0.04
E8,0.05
E9,0.03
E10,0.01
E11,0.02
E12,0.69
F1,1.77
F2,2.58
F3,1.69
F4,0.58
F5,2.79
F6,1.62
F7,1.84
F8,2.59
F9,1.08
F10,1.88
F11,1.7
F12,1.89
G1,0.01
G2,0.63
G3,0.4
G4,0.09
G5,0.02
G6,0.44
G7,0.02
G8,0.03
G9,0.02
G10,0
G11,0.04
G12,0.02
H1,1.05
H2,0.67
H3,0.49
H4,1.35
H5,0.79
H6,0.31
H7,0.64
H8,1.06
H9,0.55
H10,0
H11,0.55
H12,0.87
