Sample Name,PROD/IS
A1,0.85
A2,1.1
A3,1.14
A4,1.58
A5,1.01
A6,1.62
A7,0.55
A8,0.75
A9,1.17
A10,1.12
A11,1.28
A12,0.92
B1,0.94
B2,1.11
B3,1.5
B4,1
B5,0.5
B6,1.19
B7,0.4
B8,0.82
B9,1.02
B10,0.88
B11,1.11
B12,0.63
C1,1.65
C2,1.95
C3,1.79
C4,2.05
C5,1.5
C6,2.26
C7,0.68
C8,1.11
C9,1.75
C10,1.14
C11,1.68
C12,0.52
D1,0.95
D2,0.94
D3,1.02
D4,1.06
D5,0.67
D6,1.63
D7,0.01
D8,0.72
D9,1.38
D10,1.03
D11,1.11
D12,0.41
E1,1.92
E2,2.83
E3,3.01
E4,3.08
E5,2.94
E6,3.12
E7,2.8
E8,3.24
E9,2.7
E10,2.69
E11,3.05
E12,0.93
F1,2.9
F2,2.91
F3,3.01
F4,3.44
F5,2.34
F6,2.79
F7,1.15
F8,2.56
F9,2.73
F10,2.9
F11,3.02
F12,2.58
G1,1.45
G2,2.29
G3,2.01
G4,2.38
G5,1.45
G6,2.59
G7,1.36
G8,1.67
G9,1.54
G10,2.42
G11,1.14
G12,0.3
H1,2.12
H2,2.4
H3,2.56
H4,2.4
H5,1.76
H6,2.55
H7,1.96
H8,2.2
H9,2.33
H10,2.34
H11,2.47
H12,2.28
