Unnamed: 0,product_smiles,reaction_class
0,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1c(Br)cc(Br)cc1Br,DHA
1,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cc(Br)cc(Br)c1,DHA
2,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1c(Br)cccc1Br,DHA
3,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1c(Br)cc(C#N)cc1Br,DHA
4,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(Br)cc1Br,DHA
5,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccccc1Br,DHA
6,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(Br)cc1,DHA
7,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccccc1Br,DHA
8,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cccc(Br)c1,DHA
9,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(C(C)(C)C)cc1Br,DHA
10,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1cc(F)c(F)cc1Br,DHA
11,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(Br)c(C(F)(F)F)c1,DHA
12,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ncc(Br)cn1,DHA
13,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCNC(=O)COc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,DHA
14,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCOCCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)C(C)(C)C)cc1,DHA
15,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCOCCOCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,DHA
16,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCOCCOCCOCC(=O)Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,DHA
17,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC1CCC(=O)NC1=O,DHA
18,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1nc(=O)c2ncn(C3OC(CO)C(O)C3O)c2[nH]1,DHA
19,CC(=O)NCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,DHA
20,CC(=O)NCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,DHA
21,CC(=O)NCCCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,DHA
22,CCOC(=O)C1=C(COCCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,DHA
23,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1nc(=O)c2ncn(COCCO)c2[nH]1,DHA
24,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccnc(=O)[nH]1,DHA
25,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC1CCC(=O)NC1=O,DHA
26,CCOC(=O)C1=C(COCCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,DHA
27,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)C(C)(C)C)cc1,DHA
28,CCN(CC)CCNC(=O)c1ccc(NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)cc1,DHA
29,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc2[nH]c3ccccc3c2c1,DHA
30,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(Nc2ccccc2)cc1,DHA
31,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC1=NNC(=O)C1,DHA
32,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CN[C@H]1CC[C@@H](NC(=O)OC(C)(C)C)CC1,DHA
33,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1c[nH]c2ccccc12,DHA
34,Cc1cc(NC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)n[nH]1,DHA
35,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(S(=O)(=O)Nc2ncccn2)cc1,DHA
36,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNc1ccc(CCNC(=O)OC(C)(C)C)cc1,DHA
