Unnamed: 0,product_smiles,reaction_class,
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1csc2ccc(Br)cc12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(Cl)ccc1Br,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(Br)c(F)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(Br)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1c(Br)ccc2c1OCO2,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(Br)o1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1csc(Br)n1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(O)c(Br)c(O)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCc1ccc(Br)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc(Br)cn1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccccc1Br,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc(Br)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(Cl)Cl,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CCCN1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1=C(SC2CNC(C(=O)N(C)C)C2)C(C)C2C(C(C)O)C(=O)N12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC[C@H]1CCCN1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CCCCN1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(F)(F)F,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CC(O)CN1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CCCN1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CCCN1,LLM,File1
,CNCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC1=C(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(Cc1ccccc1)NC(=O)C(N)CC(=O)O,LLM,File1
,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(=O)N[C@@H](CCCCN)CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CCC(C)C(CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21)NC(C)=O,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCC1OCC=C2CN3CC[C@]45C6=CC(=O)C(=O)C([N+](=O)[O-])=C6NC4[C@H]1[C@H]2C[C@H]35,LLM,File1
,C=C(CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21)NC(C)=O,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCOc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,LLM,File1
,CC(CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21)CC(Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O,LLM,File1
,CCOC(=O)C(C)CC(Cc1ccc(-c2ccccc2)cc1)NC(=O)CCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,Cc1[nH]c(C=O)c(C)c1CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCCC1SCC2NC(=O)NC21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CCC(=O)N1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(=O)[nH]c(=O)[nH]1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCNC(=O)c1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC[C@H](Cc1ccc(CNC(=O)OC(C)(C)C)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(Cc1cnc[nH]1)NC(=O)OCc1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(Cc1ccc(N)cc1)NC(=O)OCC1c2ccccc2-c2ccccc21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(N)Cc1cnc[nH]1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1nn[nH]n1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC[C@H](Cc1ccc(S(N)(=O)=O)cc1)NC(=O)OC(C)(C)C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(COCc1ccccc1)NC(=O)OC(C)(C)C,LLM,File1
,CCc1cccc2c3c([nH]c12)C(CC)(CCNC[C@]1(C)CCC[C@]2(C)c4ccc(C(C)C)cc4CC[C@H]21)OCC3,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ncc[nH]1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(=O)Nc1ccc(Cl)cn1,LLM,File1
,COc1cccc(OC)c1NC(=O)CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCCCNC(=O)OC(C)(C)C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCNC(=O)OC(C)(C)C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCNC(=O)OC(C)(C)C,LLM,File1
,CC(=O)Nc1ccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(=O)c2ccccc2[nH]1,LLM,File1
,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21)C(C)C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCOCCOCCNC(=O)OCC1c2ccccc2-c2ccccc21,LLM,File1
,Cc1ccc(NC(=O)C2(c3ccc4c(c3)OC(F)(F)O4)CC2)nc1-c1cccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(Cc1ccc(O)cc1)NC(=O)OC(C)(C)C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cnc[nH]1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(CO)NC(=O)OCc1ccccc1,LLM,File1
,COc1ccc2cc(CNC[C@]3(C)CCC[C@]4(C)c5ccc(C(C)C)cc5CC[C@H]43)[nH]c2c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cn[nH]c1,LLM,File1
,CC(C)CC(CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21)NC(=O)OCC1c2ccccc2-c2ccccc21,LLM,File1
,CC(C)CC(CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21)NC(=O)OC(C)(C)C,LLM,File1
,Cc1c(Cl)cccc1Nc1ccccc1CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC/C=C/c1c[nH]c2ccccc12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccn[nH]1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc([N+](=O)[O-])c[nH]1,LLM,File1
,CC(CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21)NC(=O)OC(C)(C)C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc[nH]1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(-c2cccs2)[nH]n1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc2ccccc2[nH]1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1c[nH]c2ccccc12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1c[nH]c2ccccc12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1c[nH]c2ccccc12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1Cc2ccccc2N1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC[C@@H]1Cc2ccccc2N1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCc1ccc(N)cc1,LLM,File1
,CC1=C(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)N2C(=O)C(N)C2SC1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(N)Cc1ccc(O)c(O)c1,LLM,File1
,CSCCC(N)CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(N)CS,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCC(CN)c1ccc(Cl)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCCCN,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCCCCN,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCC(CN)c1ccc(Cl)cc1,LLM,File1
,COc1cc(N)c(Cl)cc1CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CCOc1cc(N)c(Cl)cc1CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(N)CC(=O)OCc1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCC(N)C(=O)O,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(N)CC(=O)OCc1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCC(N)C(=O)O,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCC(N)c1cccnc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CCCC1N,LLM,File1
,CC(N)CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNC[C@@H]1CCCN1C(=O)CN,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCOCCOCCN,LLM,File1
,CC(C)C[C@H](N)CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(N)ccc1Cl,LLM,File1
,COc1cc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)ccc1N,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cncc(N)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cccnc1N,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCN,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cccc(-c2ccccc2)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc2c(c1)OCCO2,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCCCCCCCBr,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1csc2ccc(Cl)cc12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccccc1-c1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCC(=O)c1ccc(Cl)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cccc(S(=O)(=O)Cl)c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(S(=O)(=O)Cl)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCc1ccc(-c2ccccc2)cc1,LLM,File1
,COc1ccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)cc1[N+](=O)[O-],LLM,File1
,C#CCCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1csc2ccc(Cl)cc12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1c2ccccc2cc2ccccc12,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCCCCCCCCBr,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccccc1Cc1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCBr,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCC1CCCCC1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCC1CCCC1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(c1ccccc1)c1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc(Cc2ccccc2)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(C)N(C)C(=O)OCC1c2ccccc2-c2ccccc21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCCO,LLM,File1
,Cc1ccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)cc1,LLM,File1
,Cc1ccc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)cc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(C)(C)C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(F)(F)F,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(F)(F)F,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(F)(F)F,LLM,File1
,CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(=O)O,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(=O)O,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LLM,File1
,CCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F,LLM,File1
,CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,LLM,File1
,CCn1cc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CC1,LLM,File1
,Cc1ncsc1CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,COc1ccc(-c2ccc3cc(CNC[C@]4(C)CCC[C@]5(C)c6ccc(C(C)C)cc6CC[C@H]54)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,LLM,File1
,COc1c(C)c(C)c(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)c(O)c1C/C=C(\C)CCC(=O)O,LLM,File1
,COc1c(C)c2c(c(O)c1C/C=C(\C)CCCNC[C@]1(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]31)C(=O)OC2,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cn2c3c(c(N4CCN(C)CC4)c(F)cc3c1=O)OCC2C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC12CCC(C)(C)CC1C1=CCC3C4(C)CCC(O)C(C)(C)C4CCC3(C)C1(C)CC2,LLM,File1
,CC(CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21)Cc1ccccc1,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CN(C(=O)OC(C)(C)C)CCO1,LLM,File1
,COc1ccc(-c2ccc3cc(CNC[C@]4(C)CCC[C@]5(C)c6ccc(C(C)C)cc6CC[C@H]54)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC(F)(F)F,LLM,File1
,Cc1cc(CNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)nn1C,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1cccc(C#N)c1,LLM,File1
,Cc1c(O)cccc1CNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ncc(Cl)cc1Cl,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc2c(c1)C(=O)c1ccccc1C2=O,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCc1ccc2ncsc2c1,LLM,File1
,C=C(CC)C(=O)c1ccc(OCCNC[C@]2(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC[C@H]32)c(Cl)c1Cl,LLM,File1
,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CNCC1CCN(Cc2ccccc2)CC1,LLM,File1
