entry,yield,ic50,d2b_prod_original,d2b_prod,d2b_prod/2,d2b_prod/3,SM_amount,SM_activity,SM_activity/2,d2b activity_mix_2IC50,d2b activity_mix_IC50,,
1,100,0.05,1000.00,100.0,50.00,33.33,0,0,0,100.00,100.00,,
2,100,0.0012,41666.67,100.0,50.00,33.33,0,0,0,100.00,100.00,,
3,100,0.01,5000.00,100.00,50.00,33.33,0,0,0,100.00,100.00,,
4,100,0.4,125.00,100.00,50.00,33.33,0,0,0,100.00,100.00,,
5,92,0.0001,460000.00,100.0,50.00,33.33,8,8,4,108.00,104.00,,
6,82,0.0012,34166.67,100.0,50.00,33.33,18,18,9,118.00,109.00,,
7,78,0.01,3900.00,100.00,50.00,33.33,22,22,11,122.00,111.00,,
8,25,0.25,50.00,50.00,25.00,16.67,75,75,37.5,125.00,87.50,,
9,50,0.5,50.00,50.00,25.00,16.67,50,50,25,100.00,75.00,,
10,100,1,50.00,50.0,25.00,16.67,0,0,0,50.00,50.00,,
11,100,2,25.00,25.00,12.50,8.33,0,0,0,25.00,25.00,,
12,50,2,12.50,12.50,6.25,4.17,50,50,25,62.50,37.50,,
13,72,3,12.00,12.0,6.00,4.00,28,28,14,40.00,26.00,,
1,100,0.0003,166666.67,100.0,50.00,33.33,0,0,0,100.00,100.00,,
2,100,0.0012,41666.67,100.0,50.00,33.33,0,0,0,100.00,100.00,,
3,100,0.0021,23809.52,100.00,50.00,33.33,0,0,0,100.00,100.00,,
4,100,0.003,16666.67,100.00,50.00,33.33,0,0,0,100.00,100.00,,
5,99,0.0039,12692.31,100.0,50.00,33.33,1,1,0.5,101.00,100.50,,
6,98,0.0048,10208.33,100.0,50.00,33.33,2,2,1,102.00,101.00,,
7,97,0.0057,8508.77,100.00,50.00,33.33,3,3,1.5,103.00,101.50,,
8,96,0.0066,7272.73,100.00,50.00,33.33,4,4,2,104.00,102.00,,
9,95,0.0075,6333.33,100.00,50.00,33.33,5,5,2.5,105.00,102.50,,
1,100,0.0007,71428.57,100.0,50.00,33.33,0,0,0,100.00,100.00,,
2,100,0.0012,41666.67,100.0,50.00,33.33,0,0,0,100.00,100.00,,
3,100,0.0037,13513.51,100.00,50.00,33.33,0,0,0,100.00,100.00,,
4,100,0.16,312.50,100.00,50.00,33.33,0,0,0,100.00,100.00,,
5,100,0.25,200.00,100.0,50.00,33.33,0,0,0,100.00,100.00,,
6,100,0.56,89.29,100.0,50.00,33.33,0,0,0,100.00,100.00,,
7,100,0.77,64.94,100.00,50.00,33.33,0,0,0,100.00,100.00,,
8,100,0.88,56.82,100.00,50.00,33.33,0,0,0,100.00,100.00,,
9,100,0.95,52.63,100.00,50.00,33.33,0,0,0,100.00,100.00,,
10,100,1,50.00,50.0,25.00,16.67,0,0,0,50.00,50.00,,
11,100,2,25.00,25.00,12.50,8.33,0,0,0,25.00,25.00,,
12,50,2,12.50,12.50,6.25,4.17,50,50,25,62.50,37.50,,
13,72,3,12.00,12.0,6.00,4.00,28,28,14,40.00,26.00,,
14,80,4,10.00,10.00,5.00,3.33,20,20,10,30.00,20.00,,
15,100,7,7.14,7.14,3.571428571,2.38,0,0,0,7.14,7.14,,
16,60,5,6.00,6.00,3.00,2.00,40,40,20,46.00,26.00,,
17,100,11,4.55,4.5,2.27,1.52,0,0,0,4.55,4.55,,
18,60,7,4.29,4.29,2.142857143,1.43,40,40,20,44.29,24.29,,
19,90,12,3.75,3.75,1.875,1.25,10,10,5,13.75,8.75,,
20,79,11,3.59,3.59,1.795454545,1.20,21,21,10.5,24.59,14.09,,
21,80,12,3.33,3.33,1.666666667,1.11,20,20,10,23.33,13.33,,
22,81,14,2.89,2.89,1.45,0.96,19,19,9.5,21.89,12.39,,
23,100,19,2.63,2.63,1.315789474,0.88,0,0,0,2.63,2.63,,
24,72,15,2.40,2.4,1.20,0.80,28,28,14,30.40,16.40,,
25,86,18,2.39,2.4,1.19,0.80,14,14,7,16.39,9.39,,
26,60,13,2.31,2.31,1.15,0.77,40,40,20,42.31,22.31,,
27,82,18,2.28,2.28,1.14,0.76,18,18,9,20.28,11.28,,
28,59,13,2.27,2.27,1.13,0.76,41,41,20.5,43.27,22.77,,
29,40,9,2.22,2.22,1.11,0.74,60,60,30,62.22,32.22,,
30,68,16,2.13,2.13,1.06,0.71,32,32,16,34.13,18.13,,
31,58,14,2.07,2.07,1.04,0.69,42,42,21,44.07,23.07,,
32,81,20,2.03,2.03,1.01,0.68,19,19,9.5,21.03,11.53,,
33,63,17,1.85,1.85,0.926470588,0.62,37,37,18.5,38.85,20.35,,
34,80,22,1.82,1.82,0.91,0.61,20,20,10,21.82,11.82,,
35,50,14,1.79,1.8,0.89,0.60,50,50,25,51.79,26.79,,
36,56,16,1.75,1.75,0.88,0.58,44,44,22,45.75,23.75,,
37,40,13,1.54,1.54,0.77,0.51,60,60,30,61.54,31.54,,
38,93,32,1.45,1.5,0.73,0.48,7,7,3.5,8.45,4.95,,
39,60,21,1.43,1.43,0.71,0.48,40,40,20,41.43,21.43,,
40,89,32,1.39,1.39,0.70,0.46,11,11,5.5,12.39,6.89,,
41,69,25,1.38,1.38,0.69,0.46,31,31,15.5,32.38,16.88,,
42,81,30,1.35,1.35,0.68,0.45,19,19,9.5,20.35,10.85,,
43,85,32,1.33,1.3,0.66,0.44,15,15,7.5,16.33,8.83,,
44,79,30,1.32,1.3,0.66,0.44,21,21,10.5,22.32,11.82,,
45,100,38,1.32,1.32,0.657894737,0.44,0,0,0,1.32,1.32,,
46,73,28,1.30,1.30,0.65,0.43,27,27,13.5,28.30,14.80,,
47,49,19,1.29,1.29,0.64,0.43,51,51,25.5,52.29,26.79,,
48,82,32,1.28,1.28,0.64,0.43,18,18,9,19.28,10.28,,
49,65,26,1.25,1.25,0.63,0.42,35,35,17.5,36.25,18.75,,
50,59,24,1.23,1.23,0.61,0.41,41,41,20.5,42.23,21.73,,
51,62,26,1.19,1.19,0.60,0.40,38,38,19,39.19,20.19,,
52,57,24,1.19,1.19,0.59,0.40,43,43,21.5,44.19,22.69,,
53,76,32,1.19,1.19,0.59,0.40,24,24,12,25.19,13.19,,
54,65,28,1.16,1.16,0.58,0.39,35,35,17.5,36.16,18.66,,
55,49,22,1.11,1.11,0.56,0.37,51,51,25.5,52.11,26.61,,
56,53,26,1.02,1.02,0.51,0.34,47,47,23.5,48.02,24.52,,
57,100,50,1.00,1.00,0.5,0.33,0,0,0,1.00,1.00,,
58,56,29,0.97,0.97,0.48,0.32,44,44,22,44.97,22.97,,
59,90,47,0.96,1.0,0.48,0.32,10,10,5,10.96,5.96,,
60,94,50,0.94,0.9,0.47,0.31,6,6,3,6.94,3.94,,
61,94,50,0.94,0.9,0.47,0.31,6,6,3,6.94,3.94,,
62,88,50,0.88,0.9,0.44,0.29,12,12,6,12.88,6.88,,
63,100,57,0.88,0.88,0.438596491,0.29,0,0,0,0.88,0.88,,
64,79,47,0.84,0.84,0.42,0.28,21,21,10.5,21.84,11.34,,
65,79,47,0.84,0.8,0.42,0.28,21,21,10.5,21.84,11.34,,
66,99,61,0.81,0.8,0.41,0.27,1,1,0.5,1.81,1.31,,
67,99,61,0.81,0.8,0.41,0.27,1,1,0.5,1.81,1.31,,
68,99,62,0.80,0.80,0.40,0.27,1,1,0.5,1.80,1.30,,
69,97,61,0.80,0.8,0.40,0.27,3,3,1.5,3.80,2.30,,
70,78,50,0.78,0.78,0.39,0.26,22,22,11,22.78,11.78,,
71,53,35,0.76,0.76,0.38,0.25,47,47,23.5,47.76,24.26,,
72,84,61,0.69,0.69,0.34,0.23,16,16,8,16.69,8.69,,
73,61,45,0.68,0.68,0.34,0.23,39,39,19.5,39.68,20.18,,
74,51,38,0.67,0.67,0.34,0.22,49,49,24.5,49.67,25.17,,
75,96,74,0.65,0.6,0.32,0.22,4,4,2,4.65,2.65,,
76,96,74,0.65,0.6,0.32,0.22,4,4,2,4.65,2.65,,
77,100,80,0.63,0.63,0.3125,0.21,0,0,0,0.63,0.63,,
78,91,74,0.61,0.6,0.31,0.20,9,9,4.5,9.61,5.11,,
79,60,49,0.61,0.61,0.31,0.20,40,40,20,40.61,20.61,,
80,49,41,0.60,0.60,0.30,0.20,51,51,25.5,51.60,26.10,,
81,58,51,0.57,0.57,0.28,0.19,42,42,21,42.57,21.57,,
82,69,63,0.55,0.55,0.27,0.18,31,31,15.5,31.55,16.05,,
83,47,44,0.53,0.53,0.27,0.18,53,53,26.5,53.53,27.03,,
84,100,94,0.53,0.53,0.265957447,0.18,0,0,0,0.53,0.53,,
85,56,53,0.53,0.53,0.26,0.18,44,44,22,44.53,22.53,,
86,77,74,0.52,0.52,0.26,0.17,23,23,11.5,23.52,12.02,,
87,98,96,0.51,0.5,0.26,0.17,2,2,1,2.51,1.51,,
88,98,96,0.51,0.5,0.26,0.17,2,2,1,2.51,1.51,,
89,100,100,0.50,0.50,0.25,0.17,0,0,0,0.50,0.50,,
90,100,100,0.50,0.5,0.25,0.17,0,0,0,0.50,0.50,,
91,100,100,0.50,0.5,0.25,0.17,0,0,0,0.50,0.50,,
92,54,55,0.49,0.49,0.25,0.16,46,46,23,46.49,23.49,,
93,94,96,0.49,0.5,0.24,0.16,6,6,3,6.49,3.49,,
94,63,67,0.47,0.47,0.24,0.16,37,37,18.5,37.47,18.97,,
95,52,57,0.46,0.46,0.23,0.15,48,48,24,48.46,24.46,,
96,59,65,0.45,0.45,0.23,0.15,41,41,20.5,41.45,20.95,,
97,88,100,0.44,0.44,0.22,0.15,12,12,6,12.44,6.44,,
98,55,64,0.43,0.43,0.21,0.14,45,45,22.5,45.43,22.93,,
99,50,59,0.42,0.42,0.21,0.14,50,50,25,50.42,25.42,,
100,84,100,0.42,0.42,0.21,0.14,16,16,8,16.42,8.42,,
101,57,68,0.42,0.42,0.21,0.14,43,43,21.5,43.42,21.92,,
102,51,63,0.40,0.40,0.20,0.13,49,49,24.5,49.40,24.90,,
103,77,96,0.40,0.40,0.20,0.13,23,23,11.5,23.40,11.90,,
104,80,100,0.40,0.40,0.20,0.13,20,20,10,20.40,10.40,,
105,80,100,0.40,0.40,0.20,0.13,20,20,10,20.40,10.40,,
106,75,95,0.39,0.39,0.20,0.13,25,25,12.5,25.39,12.89,,
107,48,61,0.39,0.39,0.20,0.13,52,52,26,52.39,26.39,,
