"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",623.372895092101,0.0236579394363799,0.0464431730191766,0.411548262685411,0.655259488591529
"ENSG00000000419",4101.10571797462,-0.0187853985251214,0.0328385765571988,0.483372562463562,0.711676307012214
"ENSG00000000457",792.536984505463,-0.00315433816444985,0.0468524476824926,0.911300653783273,0.961618958228483
"ENSG00000000460",2151.21944106499,-0.0482669447715345,0.0367276986956168,0.0890441740063832,0.283085481737831
"ENSG00000001036",5053.81499909937,0.0229880870628744,0.0325422022643614,0.388838460300094,0.636643673342857
"ENSG00000001084",1691.1293992785,-0.0489672064440298,0.0387856705564741,0.0911555516719405,0.285503593513353
"ENSG00000001167",3631.70011472696,0.0206316417503281,0.0334228588536852,0.445685570932612,0.682156447454429
"ENSG00000001460",664.214454699155,-0.0337383586104457,0.0473375555951369,0.24520885188764,0.491004004138448
"ENSG00000001461",4705.94896289206,0.134805819052891,0.0430933950044874,1.83855302435381e-05,0.000837503212390791
"ENSG00000001497",6670.27509477147,-0.0334117074894007,0.0267777439148768,0.155718030518303,0.382600360697983
"ENSG00000001561",1216.53859886781,0.0335437880049584,0.0421614453375891,0.252224292975815,0.498002053061393
"ENSG00000001617",2138.57901034303,0.0617119664231407,0.0378608982147425,0.0325309963840945,0.154522232824449
"ENSG00000001629",3364.94829591383,0.0671069126551014,0.0424427591133585,0.0257784751516854,0.133770380827645
"ENSG00000001630",11595.4721650634,0.123385672302222,0.0319791481331436,3.22821520619613e-06,0.00019685749514486
"ENSG00000001631",2443.61771090575,-0.025509220521623,0.0360430188906736,0.362741081922131,0.611973960270776
"ENSG00000002016",469.265807518425,-0.0169999288276027,0.0498645983304512,0.536605645515311,0.753753673206406
"ENSG00000002330",3259.30215768336,-0.0879050323480016,0.0403801429809045,0.00335724876817955,0.0371446822552548
"ENSG00000002549",6213.4563602709,-0.00772211510686063,0.0299924325940727,0.761277478187952,0.888524964293834
"ENSG00000002586",8350.62383105138,-0.0571584621791207,0.0340226117709372,0.0370309884677226,0.167841953142421
"ENSG00000002587",122.595374135834,-0.0176020059802284,0.0605686208413064,0.384760975725814,NA
"ENSG00000002822",2379.64622759693,-0.0150628562052317,0.0364040283772213,0.591909362648261,0.790495244253143
"ENSG00000002834",4884.83469812276,0.0906391955732539,0.0347500150921495,0.00113609255290536,0.0172987966761967
"ENSG00000002919",1445.3122047133,-0.0107048811261082,0.0394648710403301,0.709772644408273,0.86065942706756
"ENSG00000003056",6053.28150245013,0.0439472233417012,0.0275292403660511,0.0670549158623594,0.240062915349754
"ENSG00000003096",437.908776531751,0.0531591990581667,0.0568667319226548,0.0636170327076871,0.233119702150316
"ENSG00000003137",10.1058218150506,0.00491594807876948,0.0690557172710088,0.526603492265081,NA
"ENSG00000003147",1885.20621820932,0.0821428746480414,0.040464458508304,0.0060303824071901,0.0550316624200156
"ENSG00000003249",3304.86635335572,-0.0482725764686982,0.0344226877205317,0.0796526019287006,0.264868013805059
"ENSG00000003393",2061.20950846602,0.0613269144684532,0.0412731074239969,0.0392278035172082,0.17417336741103
"ENSG00000003400",69.780194742585,0.00101468670410095,0.0616370369563898,0.950810300092631,NA
"ENSG00000003402",1703.99285083525,-0.00633946471192177,0.0395367994946892,0.825536819510497,0.922753527105829
