"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",623.372895092101,-0.0533709051308736,0.057735285044153,0.176349855663848,0.390200824379059
"ENSG00000000419",4101.10571797462,-0.0374155345395792,0.0350668152512741,0.212812503792402,0.44025250155954
"ENSG00000000457",792.536984505463,0.0760494753390822,0.0643015946573931,0.0723159137329349,0.216257703854025
"ENSG00000000460",2151.21944106499,-0.119364763983602,0.0463889799365022,0.00106115865363567,0.00810348737937178
"ENSG00000001036",5053.81499909937,-0.00680908004210998,0.0340942433191652,0.817282746880583,0.922228870949307
"ENSG00000001084",1691.1293992785,-0.179532535332251,0.0533692761988826,2.74546980862083e-05,0.000343074257584437
"ENSG00000001167",3631.70011472696,0.00345282027804424,0.0351234537093321,0.908614753720868,0.96466850333448
"ENSG00000001460",664.214454699155,-0.0218504493738073,0.0531366764964975,0.558554780745707,0.76615488570424
"ENSG00000001461",4705.94896289206,0.271956329474198,0.0433914488890589,3.00152046810294e-11,1.00499627639259e-09
"ENSG00000001497",6670.27509477147,-0.105334074951509,0.0300303044232115,7.10241651512586e-05,0.00079496333422873
"ENSG00000001561",1216.53859886781,0.149395651882112,0.0617270258236027,0.000921591937440131,0.00717915069039051
"ENSG00000001617",2138.57901034303,0.102661056154853,0.045217499687031,0.0039191867094645,0.0238963641001201
"ENSG00000001629",3364.94829591383,0.059382043305213,0.0463387143017499,0.0961951240041054,0.262472156215276
"ENSG00000001630",11595.4721650634,0.186612948421037,0.034474783747729,1.96904123911185e-09,5.38479515128842e-08
"ENSG00000001631",2443.61771090575,-0.0045910421668496,0.0380471480991403,0.884792691698182,0.954792770930193
"ENSG00000002016",469.265807518425,0.0100866241264466,0.0583194667002166,0.791664932398481,0.909152765898438
"ENSG00000002330",3259.30215768336,-0.0885592349441823,0.0443975229959582,0.0115020411498848,0.0558874371530837
"ENSG00000002549",6213.4563602709,0.000806975253537059,0.0312499423091578,0.976735832637377,0.991947666463624
"ENSG00000002586",8350.62383105138,-0.078220847502054,0.0376475673399646,0.0128396515277108,0.0606930134054986
"ENSG00000002587",122.595374135834,-0.0228215744030006,0.0848625288982545,0.566335714809211,0.771291556671331
"ENSG00000002822",2379.64622759693,0.00459122050134616,0.0387206184582493,0.886014125507942,0.955048942386527
"ENSG00000002834",4884.83469812276,0.285178698126384,0.0383797309627298,1.03136551392856e-14,5.17996718053225e-13
"ENSG00000002919",1445.3122047133,0.0397232706308561,0.0440257223422677,0.250325824022844,0.486193066737478
"ENSG00000003056",6053.28150245013,0.056997786893746,0.028818466517127,0.0277696530540161,0.109032939954005
"ENSG00000003096",437.908776531751,0.0574260701283681,0.0701321785476381,0.176404553029123,0.390266743747898
"ENSG00000003137",10.1058218150506,0.000802977454553401,0.123994188504449,0.974348901091719,NA
"ENSG00000003147",1885.20621820932,0.141260913170997,0.0504014908540184,0.000314565823188625,0.00290839493836188
"ENSG00000003249",3304.86635335572,-0.0495326834429871,0.0366590833110314,0.109325663612381,0.285303068141516
"ENSG00000003393",2061.20950846602,0.0723515936602063,0.0469644603566366,0.0450460736497772,0.155512662280681
"ENSG00000003400",69.780194742585,0.0197363938807126,0.094851501401718,0.601828875951764,0.796918218870897
"ENSG00000003402",1703.99285083525,-0.0759577086588386,0.0486277482191429,0.0393366842874254,0.141183198072367
"ENSG00000003436",5423.18703525741,-0.2313221999609,0.0333108284821212,2.76046302403001e-13,1.20156821073751e-11
"ENSG00000003509",705.447378433338,-0.0201631187817325,0.0531714559581735,0.589101963098692,0.789079971059769
"ENSG00000003756",4401.454567384,0.145302818848782,0.0461400945827036,8.77669423098711e-05,0.000953089387384394
"ENSG00000003989",2607.55776751215,0.142721259592651,0.0460359323649946,0.000109755145809056,0.00116759208067068
"ENSG00000004059",10223.0494444436,-0.0792306039509309,0.030685819835892,0.00344210919964178,0.021687917635057
"ENSG00000004139",3845.42379325796,0.032647099429967,0.0360429804164331,0.286042443267068,0.527327657175877
"ENSG00000004142",17861.9838258991,-0.0482618358033211,0.0259840988223256,0.0430191169323464,0.149902059668639
"ENSG00000004399",142.37293941152,0.0271621859960464,0.083389486467067,0.501218057518733,0.723678887065193
"ENSG00000004455",16506.0356419811,-0.0222619783061367,0.0254387568459242,0.343155294275189,0.586715053059706
"ENSG00000004478",37520.2125360457,-0.0411109526673746,0.0274003966386249,0.0991380061197364,0.267612843392984
"ENSG00000004487",8517.67177424857,-0.0661973739836021,0.0314602096225173,0.0167554763049571,0.0744002022382197
"ENSG00000004534",3430.10533291121,0.052417279460146,0.0373149735422878,0.0939771248761631,0.257857038488789
"ENSG00000004660",2082.63092510688,0.113278160117483,0.048928102231512,0.00260224911499276,0.0171910807891807
"ENSG00000004700",3637.15874117003,-0.0244083011618082,0.0356250049698347,0.421519591297522,0.660125124488524
"ENSG00000004766",1162.12933024351,0.010137135585282,0.0459974959988503,0.772915877889136,0.899696399097715
"ENSG00000004776",27.7598555523949,-0.165924949356162,0.259610702253994,0.00941716573193215,NA
"ENSG00000004777",755.789159470645,-0.0386991823202485,0.0547885569466275,0.310838191946724,0.553945355552157
"ENSG00000004779",9378.33750065787,-0.0597771977656198,0.039655641097778,0.0663259587157433,0.203590161229324
"ENSG00000004838",129.80950329368,-0.198850853885466,0.156022957377715,0.00529097927502224,0.0304032435788773
"ENSG00000004846",93.3981720292843,0.647277964615278,0.243665323959203,1.30269840479688e-05,0.000177352597768611
"ENSG00000004848",79.7486352604046,0.0549230976483492,0.107748786306344,0.19898651271718,0.420118385108895
"ENSG00000004864",4838.53475997336,-0.0131830027965282,0.0338028728638689,0.652682934758482,0.831880786907639
"ENSG00000004866",11735.364706687,0.312482170228818,0.0281012477476182,8.37124405179962e-30,1.29878608209604e-27
"ENSG00000004897",8309.64126339551,-0.0280421649753191,0.0336648294454694,0.336853743808232,0.580521440065786
"ENSG00000004961",2869.90716604888,-0.0864835668323355,0.0394451319339222,0.00767805597788314,0.0408263105440885
"ENSG00000004975",4674.95520692499,0.225560473561867,0.0344568311021405,3.68256084525427e-12,1.3748868653445e-10
"ENSG00000005007",11124.8602502553,-0.0278299150287408,0.0310285375739378,0.311663098536525,0.554783682161461
"ENSG00000005020",5063.57505654375,0.104247332724431,0.0362660438064114,0.000655057547982183,0.00542212205640213
"ENSG00000005022",45577.4008859326,-0.0702329397249359,0.0296430843617832,0.00784845424238668,0.0414930087645747
"ENSG00000005059",130.237515106943,0.00630762846610808,0.0811532028558279,0.871440750789225,0.948863108935537
"ENSG00000005073",13.1119558376105,0.00104637173641748,0.119140335116827,0.969237776356633,NA
"ENSG00000005075",4974.97247342512,-0.0479113427769084,0.0405876744066575,0.146713609428055,0.347012939458367
"ENSG00000005100",4294.2649681384,-0.00581385442877727,0.0346070982973837,0.845203642217641,0.936061988377301
"ENSG00000005108",347.692359695495,-0.995972261451659,0.127041964765523,2.66009969265493e-16,1.54958223731981e-14
"ENSG00000005156",6191.88035519291,-0.0484662542576634,0.037003263541032,0.119482929305386,0.303550178698994
"ENSG00000005175",3998.25418825924,0.057877092347251,0.03645086662558,0.0602256720157327,0.190198497890456
"ENSG00000005187",1917.82123969064,0.0237943839678133,0.0409614493946513,0.472642659845245,0.702086499172907
"ENSG00000005189",1030.07330628944,-0.185850826590506,0.0679057801891948,0.000233251995434615,0.00224512209364891
"ENSG00000005194",4584.69985305264,-0.0386173557458575,0.0324403184214104,0.174083234792231,0.387098664565667
"ENSG00000005206",2066.28701576254,0.0129139008416292,0.0395596723471,0.690637719566872,0.854706449661419
"ENSG00000005238",1008.82849308302,0.0466318410530894,0.0483488788124346,0.199294810976885,0.420486780582156
"ENSG00000005249",2693.3547845419,0.0526318385674867,0.0386128263190046,0.100068510403031,0.269150971166408
"ENSG00000005302",1883.47713625882,-0.0437965607507795,0.0403466440054232,0.182946758476325,0.398940720162141
"ENSG00000005339",5120.70931178132,-0.0343304026142032,0.0373858955008833,0.273440053600114,0.513628834793247
"ENSG00000005379",39.4450406545271,0.0315991050337574,0.112379059208282,0.375811846898868,0.617778250978973
"ENSG00000005436",3750.2413915273,-0.0244673847840099,0.0348716949573003,0.41362511665696,0.651860649458067
"ENSG00000005448",1040.35954982507,-0.127263505475866,0.0690478436846309,0.00644487132896165,0.0354354855174839
"ENSG00000005469",2947.64123001859,-0.192718852648105,0.0462073480896106,1.00979522245702e-06,1.71621378914333e-05
"ENSG00000005483",4902.63892678886,0.0267328020418184,0.0405458055343751,0.417098297549365,0.655362511039662
"ENSG00000005486",5520.53534456502,0.00919905106253779,0.0291985614102794,0.726211346674425,0.873214533639367
"ENSG00000005513",366.952647615578,0.203745019747587,0.101439134941911,0.00146592117119293,0.01067424942035
"ENSG00000005700",5396.82934841983,0.13266279975925,0.052176063179121,0.00085365276886389,0.00673551807054238
"ENSG00000005801",1859.44613732374,-0.0316642962154522,0.0397328602272601,0.330818439685384,0.574596485920899
"ENSG00000005810",9505.24448303768,-0.0152828787632825,0.0426385380397525,0.651632228030477,0.831409311951489
"ENSG00000005812",2140.84168107321,-0.0619628313008396,0.042294881816751,0.0674561245225043,0.206090362890942
"ENSG00000005882",1411.99304701425,0.130413953661584,0.0566956138251645,0.00182573330487497,0.0127833962856974
"ENSG00000005884",353.416844261117,0.174847413226348,0.101444132530788,0.00402058199984874,0.0244290499952035
"ENSG00000005889",2649.26190940061,-0.0586117260031477,0.0528722292984929,0.124479007453826,0.31124342196785
"ENSG00000005893",14717.6772342199,0.208870480951473,0.0287482693792608,1.86967370092484e-14,9.15555840421632e-13
"ENSG00000006007",4903.98036933086,0.0706963696469797,0.0334571098391363,0.0145937666825085,0.0668863187817808
"ENSG00000006015",2768.32796897614,0.000240567538574848,0.0396503749991534,0.994091256010879,0.997656589066893
"ENSG00000006016",12.0235462939728,0.00113648362438738,0.120348935378127,0.965928977350864,NA
"ENSG00000006042",3433.43451769886,0.00759188035818872,0.0377033932077926,0.809585462644895,0.917959782897649
