symbol,log2FoldChange,padj,Sig,gene_id,description,DMSO_1,DMSO_2,DMSO_3,LEE_1,LEE_2,LEE_3,LA_1,LA_2,LA_3
GPNMB,2.109477244,8.94E-187,Up,ENSG00000136235,glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462],459,413,426,1902,2055,1695,1073,1064,1048
ABCA12,1.03136975,6.43E-16,Up,ENSG00000144452,ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637],144,194,155,380,363,304,219,193,214
STARD4,1.083799969,2.28E-32,Up,ENSG00000164211,StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058],301,347,351,771,709,675,501,545,529
NOS3,2.987655093,1.39E-39,Up,ENSG00000164867,nitric oxide synthase 3 [Source:HGNC Symbol;Acc:HGNC:7876],27,26,22,210,226,188,109,121,92
KCNK3,1.713299015,9.41E-10,Up,ENSG00000171303,potassium two pore domain channel subfamily K member 3 [Source:HGNC Symbol;Acc:HGNC:6278],17,19,25,85,63,83,66,59,63
DIO1,1.630316113,2.41E-12,Up,ENSG00000211452,iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883],27,36,48,135,149,99,76,53,72
DIO3,4.32655754,1.94E-21,Up,ENSG00000197406,iodothyronine deiodinase 3 [Source:HGNC Symbol;Acc:HGNC:2885],5,2,10,99,153,133,25,36,13
ACP3,1.033587135,1.20E-52,Up,ENSG00000014257,acid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:125],565,612,716,1381,1348,1182,900,833,863
OPRK1,1.027955802,9.79E-12,Up,ENSG00000082556,opioid receptor kappa 1 [Source:HGNC Symbol;Acc:HGNC:8154],122,116,115,284,229,245,141,149,140
KNG1,1.090724019,1.76E-06,Up,ENSG00000113889,kininogen 1 [Source:HGNC Symbol;Acc:HGNC:6383],32,39,47,85,110,92,65,50,65
OPTN,1.05635551,2.16E-21,Up,ENSG00000123240,optineurin [Source:HGNC Symbol;Acc:HGNC:17142],197,196,217,427,489,390,304,272,262
IL1RN,1.121089318,6.31E-30,Up,ENSG00000136689,interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000],241,237,255,585,563,485,331,323,340
COLEC12,1.018884911,3.30E-85,Up,ENSG00000158270,collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016],1014,1130,1108,2361,2260,2009,1504,1442,1428
PKIB,1.046510829,1.14E-90,Up,ENSG00000135549,cAMP-dependent protein kinase inhibitor beta [Source:HGNC Symbol;Acc:HGNC:9018],1365.92,1380.85,1473.94,2949.98,3197.99,2630.92,2061,1918.96,2083.98
CAMK2N1,1.109903527,2.78E-47,Up,ENSG00000162545,calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190],419,413,439,987,973,825,549,508,535
CAMK1D,1.078501675,1.16E-06,Up,ENSG00000183049,calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341],30,45,53,104,111,91,67,51,59
CDH26,1.436542064,1.60E-13,Up,ENSG00000124215,cadherin 26 [Source:HGNC Symbol;Acc:HGNC:15902],52,57,48,158,157,147,104,77,78
VWA2,1.290504404,3.17E-05,Up,ENSG00000165816,von Willebrand factor A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24709],14,18,11,49,55,41,19,22,30
COL5A2,1.169271513,2.06E-113,Up,ENSG00000204262,collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210],1250,1469,1366,3362,3148,2741,2079,1942,2033
FOXN4,1.461484889,3.29E-08,Up,ENSG00000139445,forkhead box N4 [Source:HGNC Symbol;Acc:HGNC:21399],17,29,33,90,91,74,30,33,36
