"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_FATTY_ACID_METABOLISM",9.64226153176864e-06,0.000482113076588432,0.593325476396405,0.696459569045311,2.18997815536887,137,"AADAT;ACAA1;ACAA2;ACADL;ACADM;ACADS;ACADVL;ACAT2;ACO2;ACOT2;ACOT8;ACOX1;ACSL1;ACSL4;ACSL5;ACSM3;ACSS1;ADH1C;ADIPOR2;ADSL;ALAD;ALDH1A1;ALDH3A2;ALDH9A1;ALDOA;AOC3;APEX1"
"HALLMARK_BILE_ACID_METABOLISM",2.29234935390556e-05,0.00057308733847639,0.575610261071129,0.762233142930153,2.24306801095403,84,"ABCA1;ABCA2;ABCA3;ABCA4;ABCA5;ABCD1;ABCD3;ACSL1;ACSL5;AKR1D1;ALDH1A1;ALDH9A1;AMACR;APOA1;AR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.00030977346686125,0.00516289111435417,0.49849310876659,0.564516266255131,1.84869227428931,198,"ABCB7;ACAA1;ACAA2;ACADM;ACADSB;ACADVL;ACAT1;ACO2;AFG3L2;AIFM1;ALAS1;ALDH6A1;ATP1B1;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP6AP1;ATP6V0B;ATP6V0C;ATP6V0E1;ATP6V1C1;ATP6V1D;ATP6V1E1;ATP6V1F;ATP6V1G1;ATP6V1H;BAX;BCKDHA;BDH2"
"HALLMARK_ADIPOGENESIS",0.00184005331366803,0.0205876012591066,0.45505986738723,0.545189123552531,1.76788463332164,172,"ABCA1;ABCB8;ACAA2;ACADL;ACADM;ACADS;ACLY;ACO2;ACOX1;ADCY6;ADIPOR2;AGPAT3;AIFM1;AK2;ALDH2;ALDOA;APLP2;APOE;ARAF;ARL4A;ATL2;ATP1B3;ATP5PO;BAZ2A;BCKDHA;BCL2L13;BCL6;CAT;CAVIN1;CCNG2;CD151;CD302;CDKN2C;CHCHD10;CHUK;CMBL;CMPK1;COQ3;COQ5;COQ9;COX6A1;COX7B;COX8A;CPT2;CRAT;CS;CYC1;CYP4B1;DBT;DDT;DECR1;DGAT1;DHCR7;DHRS7;DHRS7B;DLAT;DLD;DNAJB9;DNAJC15"
"HALLMARK_PEROXISOME",0.00205876012591066,0.0205876012591066,0.431707695803346,0.655228071870699,1.95470376024973,94,"ABCB9;ABCC5;ABCC8;ABCD1;ABCD3;ACAA1;ACOT8;ACOX1;ACSL1;ACSL4;ACSL5;ALB;ALDH1A1;ALDH9A1"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00400754420684696,0.0333962017237247,0.407017918923954,0.583809955121738,1.83587256592447,139,"ABHD6;ACO2;ACOX1;ACOX2;ACOX3;ACP1;ACP2;ACSM1;ADH1C;ADH5;AHCY;AKR1C2;AKR1C3;ALAS1;ALDH2;ALDH9A1;ANGPTL3;AOX1;AP4B1;APOE;ARG1;ARG2;ARPP19;ASL;ATOH8;ATP2A2;BCAR1;BCAT1;BLVRB;BPHL;CASP6;CAT;CBR1;CNDP2;COMT;CROT;CSAD;CYB5A;CYFIP2;CYP1A1;CYP1A2;CYP2E1;CYP2J2;CYP2S1;DCXR;DDAH2;DDC;DDT;DHPS;DHRS1;DHRS7"
"HALLMARK_MITOTIC_SPINDLE",0.0048523355068509,0.0346595393346492,0.407017918923954,0.502988546276602,1.64712288847897,195,"ABI1;ABL1;ABR;ACTN4;AKAP13;ALMS1;ALS2;ANLN;APC;ARF6;ARFGEF1;ARFIP2;ARHGAP10;ARHGAP27;ARHGAP29;ARHGAP4;ARHGAP5;ARHGDIA;ARHGEF11;ARHGEF12;ARHGEF2;ARHGEF3;ARHGEF7;ARL8A;ATG4B;AURKA;BCAR1;BCL2L11;BCR;BIN1;BIRC5;BRCA2;BUB1;CAPZB;CCDC88A;CCNB2;CD2AP;CDC27;CDC42;CDC42BPA;CDC42EP1;CDC42EP2;CDC42EP4;CDK1;CDK5RAP2;CENPE;CENPF;CENPJ;CEP131;CEP192;CEP250;CEP57;CEP72;CKAP5;CLASP1;CLIP1;CLIP2;CNTRL;CNTROB"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00812548479684166,0.0507842799802604,0.380730400722792,0.56369367720295,1.73199497360958,111,"ABCA1;ABI1;ACVR1B;ACVR2A;ADM;ADORA2B;ADRM1;AHR;ATP2A2;ATP2B1;ATP2C1;BDKRB1;BEST1;BST2;BTG2;CALCRL;CD14;CD55;CD82;CDKN1A"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0126131040099061,0.0700728000550337,0.380730400722792,0.571429933942972,1.62645380163407,69,"ABCA2;ACAT2;ACSS2;ACTG1;ALCAM;ALDOC;ANTXR2;ANXA5;ATF3;ATF5;ATXN2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0271607988611505,0.135803994305752,0.352487857583619,0.479525075872443,1.55401463861191,171,"ABAT;ABCA3;ABHD2;ABLIM1;ADCY1;ADCY9;ADD3;AFF1;AKAP1;ALDH3B1;AMFR;ANXA9;AQP3;AR;ARL3;ASB13;B4GALT1;BAG1;BCL11B;BCL2;BHLHE40;BLVRB"
