gene_id,symbol,log2FoldChange,padj,Sig
ENSG00000000003,TSPAN6,0.023657939,0.655259489,NS
ENSG00000000419,DPM1,-0.018785399,0.711676307,NS
ENSG00000000457,SCYL3,-0.003154338,0.961618958,NS
ENSG00000000460,FIRRM,-0.048266945,0.283085482,NS
ENSG00000001036,FUCA2,0.022988087,0.636643673,NS
ENSG00000001084,GCLC,-0.048967206,0.285503594,NS
ENSG00000001167,NFYA,0.020631642,0.682156447,NS
ENSG00000001460,STPG1,-0.033738359,0.491004004,NS
ENSG00000001461,NIPAL3,0.134805819,0.000837503,NS
ENSG00000001497,LAS1L,-0.033411707,0.382600361,NS
ENSG00000001561,ENPP4,0.033543788,0.498002053,NS
ENSG00000001617,SEMA3F,0.061711966,0.154522233,NS
ENSG00000001629,ANKIB1,0.067106913,0.133770381,NS
ENSG00000001630,CYP51A1,0.123385672,0.000196857,NS
ENSG00000001631,KRIT1,-0.025509221,0.61197396,NS
ENSG00000002016,RAD52,-0.016999929,0.753753673,NS
ENSG00000002330,BAD,-0.087905032,0.037144682,NS
ENSG00000002549,LAP3,-0.007722115,0.888524964,NS
ENSG00000002586,CD99,-0.057158462,0.167841953,NS
ENSG00000002587,HS3ST1,-0.017602006,NA,NS
ENSG00000002822,MAD1L1,-0.015062856,0.790495244,NS
ENSG00000002834,LASP1,0.090639196,0.017298797,NS
ENSG00000002919,SNX11,-0.010704881,0.860659427,NS
ENSG00000003056,M6PR,0.043947223,0.240062915,NS
ENSG00000003096,KLHL13,0.053159199,0.233119702,NS
ENSG00000003137,CYP26B1,0.004915948,NA,NS
ENSG00000003147,ICA1,0.082142875,0.055031662,NS
ENSG00000003249,DBNDD1,-0.048272576,0.264868014,NS
ENSG00000003393,ALS2,0.061326914,0.174173367,NS
ENSG00000003400,CASP10,0.001014687,NA,NS
ENSG00000003402,CFLAR,-0.006339465,0.922753527,NS
ENSG00000003436,TFPI,-0.041629564,0.287262552,NS
ENSG00000003509,NDUFAF7,-0.023748481,0.652866508,NS
ENSG00000003756,RBM5,0.00686498,0.911088904,NS
ENSG00000003989,SLC7A2,0.164745429,6.94E-05,NS
ENSG00000004059,ARF5,-0.101256363,0.002441108,NS
ENSG00000004139,SARM1,0.025944557,0.589076772,NS
ENSG00000004142,POLDIP2,-0.045938422,0.178614201,NS
ENSG00000004399,PLXND1,0.025299125,NA,NS
ENSG00000004455,AK2,-0.024026299,0.526319808,NS
ENSG00000004478,FKBP4,-0.024983981,0.529518236,NS
ENSG00000004487,KDM1A,-0.000973915,0.986877137,NS
ENSG00000004534,RBM6,0.000788229,0.990692457,NS
ENSG00000004660,CAMKK1,0.062389952,0.156969224,NS
ENSG00000004700,RECQL,0.001900342,0.974153924,NS
ENSG00000004766,VPS50,0.024089018,0.652386452,NS
ENSG00000004776,HSPB6,-0.017477973,NA,NS
ENSG00000004777,ARHGAP33,-0.040668828,0.394592816,NS
