gene_id,symbol,log2FoldChange,padj,Sig
ENSG00000096060,FKBP5,0.636598346,3.43E-129,NS
ENSG00000118985,ELL2,0.499956029,5.68E-57,NS
ENSG00000099194,SCD,-0.400563405,1.35E-55,NS
ENSG00000123983,ACSL3,0.43050646,2.80E-55,NS
ENSG00000178573,MAF,0.782565095,1.17E-51,NS
ENSG00000104419,NDRG1,0.512804025,6.15E-44,NS
ENSG00000114450,GNB4,0.432041922,4.97E-37,NS
ENSG00000135862,LAMC1,0.348632502,2.97E-36,NS
ENSG00000136235,GPNMB,-0.744836749,2.77E-35,NS
ENSG00000149809,TM7SF2,-0.453811915,1.50E-34,NS
ENSG00000115461,IGFBP5,0.90360951,2.72E-31,NS
ENSG00000163492,CCDC141,1.157566741,7.52E-30,Up
ENSG00000117724,CENPF,0.361210579,9.04E-30,NS
ENSG00000150672,DLG2,0.586839438,1.43E-29,NS
ENSG00000204262,COL5A2,-0.536729209,1.83E-28,NS
ENSG00000108932,SLC16A6,0.444813905,3.00E-28,NS
ENSG00000143797,MBOAT2,0.338119562,2.72E-27,NS
ENSG00000140443,IGF1R,0.479406063,4.00E-26,NS
ENSG00000169908,TM4SF1,0.512064704,4.00E-26,NS
ENSG00000117143,UAP1,0.264321279,5.37E-25,NS
ENSG00000166451,CENPN,0.260586559,2.18E-24,NS
ENSG00000156802,ATAD2,0.280725371,2.44E-24,NS
ENSG00000113594,LIFR,0.486266209,2.64E-24,NS
ENSG00000145569,OTULINL,0.482622128,3.04E-24,NS
ENSG00000151726,ACSL1,-0.291034046,9.46E-24,NS
ENSG00000112984,KIF20A,0.354180143,1.66E-23,NS
ENSG00000096088,PGC,0.66702806,1.84E-23,NS
ENSG00000158270,COLEC12,-0.523756277,9.52E-23,NS
ENSG00000148773,MKI67,0.331256326,1.36E-22,NS
ENSG00000198648,STK39,0.253833508,8.34E-22,NS
ENSG00000167751,KLK2,0.378076452,1.06E-21,NS
ENSG00000275342,PRAG1,0.599170076,1.76E-21,NS
ENSG00000116574,RHOU,0.316705348,3.91E-21,NS
ENSG00000079616,KIF22,0.288720636,5.03E-21,NS
ENSG00000163110,PDLIM5,0.313133474,6.13E-21,NS
ENSG00000206527,HACD2,0.277833273,2.13E-20,NS
ENSG00000164181,ELOVL7,0.270441011,2.44E-20,NS
ENSG00000099250,NRP1,0.294670355,3.14E-20,NS
ENSG00000145088,EAF2,0.534889086,4.79E-20,NS
ENSG00000162545,CAMK2N1,-0.712809533,5.00E-20,NS
ENSG00000124225,PMEPA1,0.269038068,9.65E-20,NS
ENSG00000070526,ST6GALNAC1,0.428722196,1.38E-19,NS
ENSG00000109107,ALDOC,-0.490718885,3.12E-19,NS
ENSG00000088325,TPX2,0.256379391,5.77E-19,NS
ENSG00000076554,TPD52,0.236633694,1.32E-18,NS
ENSG00000135549,PKIB,-0.453746827,2.22E-18,NS
ENSG00000072042,RDH11,-0.260086764,4.59E-18,NS
ENSG00000197888,UGT2B17,-0.394300497,4.59E-18,NS
ENSG00000012660,ELOVL5,0.210733668,2.47E-17,NS
ENSG00000065882,TBC1D1,0.273851435,2.47E-17,NS
ENSG00000010292,NCAPD2,0.231039388,2.94E-17,NS
ENSG00000072571,HMMR,0.279670722,4.33E-17,NS
ENSG00000156113,KCNMA1,0.25614602,7.71E-17,NS
ENSG00000130513,GDF15,-0.288917404,8.60E-17,NS
ENSG00000131747,TOP2A,0.276993129,1.43E-16,NS
ENSG00000160285,LSS,-0.328859582,1.96E-16,NS
ENSG00000166340,TPP1,-0.278911684,2.48E-16,NS
