"gene_id","symbol","log2FoldChange","padj","Sig"
"ENSG00000000003","TSPAN6",-0.0533709051308736,0.390200824379059,"NS"
"ENSG00000000419","DPM1",-0.0374155345395792,0.44025250155954,"NS"
"ENSG00000000457","SCYL3",0.0760494753390822,0.216257703854025,"NS"
"ENSG00000000460","FIRRM",-0.119364763983602,0.00810348737937178,"NS"
"ENSG00000001036","FUCA2",-0.00680908004210998,0.922228870949307,"NS"
"ENSG00000001084","GCLC",-0.179532535332251,0.000343074257584437,"NS"
"ENSG00000001167","NFYA",0.00345282027804424,0.96466850333448,"NS"
"ENSG00000001460","STPG1",-0.0218504493738073,0.76615488570424,"NS"
"ENSG00000001461","NIPAL3",0.271956329474198,1.00499627639259e-09,"NS"
"ENSG00000001497","LAS1L",-0.105334074951509,0.00079496333422873,"NS"
"ENSG00000001561","ENPP4",0.149395651882112,0.00717915069039051,"NS"
"ENSG00000001617","SEMA3F",0.102661056154853,0.0238963641001201,"NS"
"ENSG00000001629","ANKIB1",0.059382043305213,0.262472156215276,"NS"
"ENSG00000001630","CYP51A1",0.186612948421037,5.38479515128842e-08,"NS"
"ENSG00000001631","KRIT1",-0.0045910421668496,0.954792770930193,"NS"
"ENSG00000002016","RAD52",0.0100866241264466,0.909152765898438,"NS"
"ENSG00000002330","BAD",-0.0885592349441823,0.0558874371530837,"NS"
"ENSG00000002549","LAP3",0.000806975253537059,0.991947666463624,"NS"
"ENSG00000002586","CD99",-0.078220847502054,0.0606930134054986,"NS"
"ENSG00000002587","HS3ST1",-0.0228215744030006,0.771291556671331,"NS"
"ENSG00000002822","MAD1L1",0.00459122050134616,0.955048942386527,"NS"
"ENSG00000002834","LASP1",0.285178698126384,5.17996718053225e-13,"NS"
"ENSG00000002919","SNX11",0.0397232706308561,0.486193066737478,"NS"
"ENSG00000003056","M6PR",0.056997786893746,0.109032939954005,"NS"
"ENSG00000003096","KLHL13",0.0574260701283681,0.390266743747898,"NS"
"ENSG00000003137","CYP26B1",0.000802977454553401,NA,"NS"
"ENSG00000003147","ICA1",0.141260913170997,0.00290839493836188,"NS"
"ENSG00000003249","DBNDD1",-0.0495326834429871,0.285303068141516,"NS"
"ENSG00000003393","ALS2",0.0723515936602063,0.155512662280681,"NS"
"ENSG00000003400","CASP10",0.0197363938807126,0.796918218870897,"NS"
"ENSG00000003402","CFLAR",-0.0759577086588386,0.141183198072367,"NS"
"ENSG00000003436","TFPI",-0.2313221999609,1.20156821073751e-11,"NS"
"ENSG00000003509","NDUFAF7",-0.0201631187817325,0.789079971059769,"NS"
"ENSG00000003756","RBM5",0.145302818848782,0.000953089387384394,"NS"
"ENSG00000003989","SLC7A2",0.142721259592651,0.00116759208067068,"NS"
"ENSG00000004059","ARF5",-0.0792306039509309,0.021687917635057,"NS"
"ENSG00000004139","SARM1",0.032647099429967,0.527327657175877,"NS"
"ENSG00000004142","POLDIP2",-0.0482618358033211,0.149902059668639,"NS"
"ENSG00000004399","PLXND1",0.0271621859960464,0.723678887065193,"NS"
"ENSG00000004455","AK2",-0.0222619783061367,0.586715053059706,"NS"
"ENSG00000004478","FKBP4",-0.0411109526673746,0.267612843392984,"NS"
"ENSG00000004487","KDM1A",-0.0661973739836021,0.0744002022382197,"NS"
"ENSG00000004534","RBM6",0.052417279460146,0.257857038488789,"NS"
"ENSG00000004660","CAMKK1",0.113278160117483,0.0171910807891807,"NS"
"ENSG00000004700","RECQL",-0.0244083011618082,0.660125124488524,"NS"
"ENSG00000004766","VPS50",0.010137135585282,0.899696399097715,"NS"
"ENSG00000004776","HSPB6",-0.165924949356162,NA,"NS"
"ENSG00000004777","ARHGAP33",-0.0386991823202485,0.553945355552157,"NS"
"ENSG00000004779","NDUFAB1",-0.0597771977656198,0.203590161229324,"NS"
"ENSG00000004838","ZMYND10",-0.198850853885466,0.0304032435788773,"NS"
"ENSG00000004846","ABCB5",0.647277964615278,0.000177352597768611,"NS"
"ENSG00000004848","ARX",0.0549230976483492,0.420118385108895,"NS"
"ENSG00000004864","SLC25A13",-0.0131830027965282,0.831880786907639,"NS"
"ENSG00000004866","ST7",0.312482170228818,1.29878608209604e-27,"NS"
"ENSG00000004897","CDC27",-0.0280421649753191,0.580521440065786,"NS"
"ENSG00000004961","HCCS",-0.0864835668323355,0.0408263105440885,"NS"
"ENSG00000004975","DVL2",0.225560473561867,1.3748868653445e-10,"NS"
"ENSG00000005007","UPF1",-0.0278299150287408,0.554783682161461,"NS"
"ENSG00000005020","SKAP2",0.104247332724431,0.00542212205640213,"NS"
"ENSG00000005022","SLC25A5",-0.0702329397249359,0.0414930087645747,"NS"
"ENSG00000005059","MCUB",0.00630762846610808,0.948863108935537,"NS"
"ENSG00000005073","HOXA11",0.00104637173641748,NA,"NS"
"ENSG00000005075","POLR2J",-0.0479113427769084,0.347012939458367,"NS"
"ENSG00000005100","DHX33",-0.00581385442877727,0.936061988377301,"NS"
"ENSG00000005108","THSD7A",-0.995972261451659,1.54958223731981e-14,"NS"
"ENSG00000005156","LIG3",-0.0484662542576634,0.303550178698994,"NS"
"ENSG00000005175","RPAP3",0.057877092347251,0.190198497890456,"NS"
"ENSG00000005187","ACSM3",0.0237943839678133,0.702086499172907,"NS"
"ENSG00000005189","REXO5",-0.185850826590506,0.00224512209364891,"NS"
"ENSG00000005194","CIAPIN1",-0.0386173557458575,0.387098664565667,"NS"
"ENSG00000005206","SPPL2B",0.0129139008416292,0.854706449661419,"NS"
"ENSG00000005238","ATOSB",0.0466318410530894,0.420486780582156,"NS"
"ENSG00000005249","PRKAR2B",0.0526318385674867,0.269150971166408,"NS"
"ENSG00000005302","MSL3",-0.0437965607507795,0.398940720162141,"NS"
"ENSG00000005339","CREBBP",-0.0343304026142032,0.513628834793247,"NS"
"ENSG00000005379","TSPOAP1",0.0315991050337574,0.617778250978973,"NS"
"ENSG00000005436","GCFC2",-0.0244673847840099,0.651860649458067,"NS"
"ENSG00000005448","WDR54",-0.127263505475866,0.0354354855174839,"NS"
"ENSG00000005469","CROT",-0.192718852648105,1.71621378914333e-05,"NS"
"ENSG00000005483","KMT2E",0.0267328020418184,0.655362511039662,"NS"
"ENSG00000005486","RHBDD2",0.00919905106253779,0.873214533639367,"NS"
"ENSG00000005513","SOX8",0.203745019747587,0.01067424942035,"NS"
"ENSG00000005700","IBTK",0.13266279975925,0.00673551807054238,"NS"
"ENSG00000005801","ZNF195",-0.0316642962154522,0.574596485920899,"NS"
"ENSG00000005810","MYCBP2",-0.0152828787632825,0.831409311951489,"NS"
"ENSG00000005812","FBXL3",-0.0619628313008396,0.206090362890942,"NS"
"ENSG00000005882","PDK2",0.130413953661584,0.0127833962856974,"NS"
"ENSG00000005884","ITGA3",0.174847413226348,0.0244290499952035,"NS"
"ENSG00000005889","ZFX",-0.0586117260031477,0.31124342196785,"NS"
"ENSG00000005893","LAMP2",0.208870480951473,9.15555840421632e-13,"NS"
"ENSG00000006007","GDE1",0.0706963696469797,0.0668863187817808,"NS"
"ENSG00000006015","REX1BD",0.000240567538574848,0.997656589066893,"NS"
"ENSG00000006016","CRLF1",0.00113648362438738,NA,"NS"
"ENSG00000006042","TMEM98",0.00759188035818872,0.917959782897649,"NS"
"ENSG00000006047","YBX2",0.0175483968952239,0.792600974806197,"NS"
"ENSG00000006062","MAP3K14",0.0980976035424301,0.172592024629222,"NS"
"ENSG00000006071","ABCC8",0.0109342172317425,NA,"NS"
"ENSG00000006118","TMEM132A",0.0446094770846268,0.276623744801691,"NS"
"ENSG00000006125","AP2B1",0.00816865321381875,0.891577419649852,"NS"
"ENSG00000006194","ZNF263",0.00698382815507548,0.925743704905945,"NS"
"ENSG00000006282","SPATA20",0.0617854564982661,0.0587168191650288,"NS"
"ENSG00000006327","TNFRSF12A",0.0602681549647598,0.375532040800731,"NS"
"ENSG00000006432","MAP3K9",0.0275270327849511,0.685012618613957,"NS"
"ENSG00000006451","RALA",0.120890642720018,0.00164384470199262,"NS"
"ENSG00000006453","BAIAP2L1",0.0572076838015137,0.128202847459728,"NS"
"ENSG00000006459","KDM7A",0.0342523004197729,0.588100071067702,"NS"
"ENSG00000006468","ETV1",-0.106746567425069,0.000546756716115895,"NS"
"ENSG00000006530","AGK",-0.00987898974931263,0.869494992309562,"NS"
"ENSG00000006534","ALDH3B1",0.0625458620407663,0.305941637894313,"NS"
"ENSG00000006576","PHTF2",-0.0485228497401702,0.290261594459507,"NS"
"ENSG00000006607","FARP2",0.0365677531762008,0.487761781336418,"NS"
"ENSG00000006625","GGCT",0.0278677416764269,0.519514924593669,"NS"
"ENSG00000006634","DBF4",-0.266835562669414,1.39030822538195e-11,"NS"
"ENSG00000006638","TBXA2R",-0.00443244244459896,0.959784284337287,"NS"
"ENSG00000006652","IFRD1",-0.0799740531116945,0.0459422524824226,"NS"
"ENSG00000006695","COX10",0.00746507083125734,0.924331245671245,"NS"
"ENSG00000006704","GTF2IRD1",0.065737760589489,0.193323597396659,"NS"
"ENSG00000006712","PAF1",-0.110703154009035,0.00189136878134605,"NS"
"ENSG00000006715","VPS41",0.320879641945639,1.23829318390804e-14,"NS"
"ENSG00000006740","ARHGAP44",0.112341815048422,0.0265982221175533,"NS"
"ENSG00000006744","ELAC2",0.0031663754040097,0.958166033774671,"NS"
"ENSG00000006747","SCIN",0.0392589871761545,0.590939616357522,"NS"
"ENSG00000006756","ARSD",0.0388196235289045,0.427045881457709,"NS"
"ENSG00000006757","PNPLA4",0.0404238307307608,0.473616423170065,"NS"
"ENSG00000006831","ADIPOR2",0.084990183968427,0.0135065011278899,"NS"
"ENSG00000006837","CDKL3",0.00834287417070421,0.928125696956411,"NS"
"ENSG00000007047","MARK4",0.0325359921816239,0.62931046353195,"NS"
"ENSG00000007080","CCDC124",-0.142942803207668,0.000412201336028425,"NS"
"ENSG00000007168","PAFAH1B1",-0.00164451034306353,0.979372755903288,"NS"
"ENSG00000007174","DNAH9",0.00680063367874313,0.939754504572917,"NS"
"ENSG00000007202","BLTP2",-0.000814360492913492,0.991947666463624,"NS"
"ENSG00000007255","TRAPPC6A",-0.00497579178907405,0.957929624507837,"NS"
"ENSG00000007341","ST7L",-0.0124290052927509,0.855447331346701,"NS"
"ENSG00000007350","TKTL1",-0.00490049818184288,NA,"NS"
"ENSG00000007376","RPUSD1",-0.00981033756049577,0.894475224703848,"NS"
"ENSG00000007384","RHBDF1",-0.024204690694183,0.722412597691662,"NS"
"ENSG00000007392","LUC7L",-0.00870228315123965,0.907632850348291,"NS"
"ENSG00000007402","CACNA2D2",0.0721311338771908,0.301888450574938,"NS"
"ENSG00000007516","BAIAP3",0.181941917969146,0.0256588165326702,"NS"
"ENSG00000007520","TSR3",-0.0297720174185636,0.595344983442177,"NS"
"ENSG00000007541","PIGQ",0.00503454993027025,0.949834521980714,"NS"
"ENSG00000007545","CRAMP1",-0.0552654136398222,0.286051140398722,"NS"
"ENSG00000007866","TEAD3",-0.0573994936231528,0.331711321981993,"NS"
"ENSG00000007923","DNAJC11",-0.0239704644131131,0.579949401684773,"NS"
"ENSG00000007944","MYLIP",0.0571993089958171,0.369974322039787,"NS"
"ENSG00000007952","NOX1",0.0201218502587671,NA,"NS"
"ENSG00000007968","E2F2",-0.0326720354744529,0.584297974435154,"NS"
"ENSG00000008018","PSMB1",-0.0104077043217944,0.867861941984197,"NS"
"ENSG00000008083","JARID2",-0.0351625114744927,0.555804394073417,"NS"
"ENSG00000008086","CDKL5",0.0832277206690119,0.222088929894527,"NS"
"ENSG00000008128","CDK11A",-0.0602109234777185,0.278677911585256,"NS"
"ENSG00000008130","NADK",0.011237285352941,0.826640324943063,"NS"
"ENSG00000008256","CYTH3",0.0899604429955961,0.0487415193522712,"NS"
"ENSG00000008277","ADAM22",0.158211609628641,0.00968823601674765,"NS"
"ENSG00000008282","SYPL1",-0.0160984320552542,0.759745233034222,"NS"
