pathway,group,pval,padj,log2err,ES,NES,size
BILE_ACID_METABOLISM,Metabolism,2.29E-05,0.000573087,0.575610261,0.762233143,2.243068011,84
FATTY_ACID_METABOLISM,Metabolism,9.64E-06,0.000482113,0.593325476,0.696459569,2.189978155,137
PEROXISOME,Cellular component,0.00205876,0.020587601,0.431707696,0.655228072,1.95470376,94
OXIDATIVE_PHOSPHORYLATION,Metabolism,0.000309773,0.005162891,0.498493109,0.564516266,1.848692274,198
XENOBIOTIC_METABOLISM,Metabolism,0.004007544,0.033396202,0.407017919,0.583809955,1.835872566,139
ADIPOGENESIS,Development,0.001840053,0.020587601,0.455059867,0.545189124,1.767884633,172
INFLAMMATORY_RESPONSE,Immune,0.008125485,0.05078428,0.380730401,0.563693677,1.731994974,111
MITOTIC_SPINDLE,Proliferation,0.004852336,0.034659539,0.407017919,0.502988546,1.647122888,195
CHOLESTEROL_HOMEOSTASIS,Metabolism,0.012613104,0.0700728,0.380730401,0.571429934,1.626453802,69
ESTROGEN_RESPONSE_EARLY,Signaling,0.027160799,0.135803994,0.352487858,0.479525076,1.554014639,171
ALLOGRAFT_REJECTION,Immune,0.044110707,0.137845959,0.321775918,0.514290747,1.553662819,100
APICAL_SURFACE,Cellular component,0.053571429,0.138731811,0.261663522,0.603436606,1.52620375,32
COAGULATION,Immune,0.042003231,0.137845959,0.28201335,0.513760382,1.490153849,74
ANDROGEN_RESPONSE,Signaling,0.055492725,0.138731811,0.321775918,0.492529294,1.487404726,101
MYOGENESIS,Development,0.038718646,0.137845959,0.321775918,0.474088868,1.478568292,128
HEME_METABOLISM,Metabolism,0.030287199,0.137669087,0.352487858,0.459403762,1.472055414,159
UV_RESPONSE_DN,DNA damage,0.040982869,0.137845959,0.321775918,0.47097919,1.46886996,128
GLYCOLYSIS,Metabolism,0.040984123,0.137845959,0.321775918,0.442212258,1.436281795,173
APOPTOSIS,pathway,0.052083333,0.138731811,0.241339977,0.457042764,1.420695197,118
APICAL_JUNCTION,Cellular component,0.051094891,0.138731811,0.241339977,0.442040397,1.401141739,147
UV_RESPONSE_UP,DNA damage,0.058383234,0.139007699,0.227987203,0.440825513,1.384576558,138
PI3K_AKT_MTOR_SIGNALING,Signaling,0.102941176,0.214460784,0.176694269,0.453750898,1.339259575,90
COMPLEMENT,Immune,0.095522388,0.214460784,0.175204048,0.419937084,1.315114729,131
ESTROGEN_RESPONSE_LATE,Signaling,0.099855282,0.214460784,0.168238166,0.400877783,1.288568232,162
PROTEIN_SECRETION,pathway,0.131832797,0.23541571,0.153158809,0.43269776,1.282934919,93
DNA_REPAIR,DNA damage,0.128467153,0.23541571,0.147331214,0.393471671,1.247192756,147
P53_PATHWAY,proliferation,0.123595506,0.23541571,0.147331214,0.382330171,1.246637055,181
MTORC1_SIGNALING,Signaling,0.116642959,0.233285917,0.153158809,0.378699857,1.238412042,196
,,,,,,,
