FILE_NAME,FILE_TEXT,MS_FILE,INLET_FILE,SAMPLE_LOCATION,ID,INJ_VOL,Index,Job,User,1536loc,384loc,384plate
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B25_4_A1,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B25_4_A1,2min melodie,2m melodie,"7:A,1",ID_B25,0.2,B25,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B25,A1,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B26_4_A2,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B26_4_A2,2min melodie,2m melodie,"7:A,2",ID_B26,0.2,B26,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B26,A2,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B27_4_A3,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B27_4_A3,2min melodie,2m melodie,"7:A,3",ID_B27,0.2,B27,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B27,A3,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B28_4_A4,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B28_4_A4,2min melodie,2m melodie,"7:A,4",ID_B28,0.2,B28,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B28,A4,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B29_4_A5,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B29_4_A5,2min melodie,2m melodie,"7:A,5",ID_B29,0.2,B29,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B29,A5,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B30_4_A6,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B30_4_A6,2min melodie,2m melodie,"7:A,6",ID_B30,0.2,B30,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B30,A6,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B31_4_A7,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B31_4_A7,2min melodie,2m melodie,"7:A,7",ID_B31,0.2,B31,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B31,A7,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B32_4_A8,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B32_4_A8,2min melodie,2m melodie,"7:A,8",ID_B32,0.2,B32,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B32,A8,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B33_4_A9,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B33_4_A9,2min melodie,2m melodie,"7:A,9",ID_B33,0.2,B33,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B33,A9,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B34_4_A10,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B34_4_A10,2min melodie,2m melodie,"7:A,10",ID_B34,0.2,B34,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B34,A10,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B35_4_A11,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B35_4_A11,2min melodie,2m melodie,"7:A,11",ID_B35,0.2,B35,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B35,A11,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B36_4_A12,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B36_4_A12,2min melodie,2m melodie,"7:A,12",ID_B36,0.2,B36,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B36,A12,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B37_4_A13,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B37_4_A13,2min melodie,2m melodie,"7:A,13",ID_B37,0.2,B37,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B37,A13,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B38_4_A14,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B38_4_A14,2min melodie,2m melodie,"7:A,14",ID_B38,0.2,B38,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B38,A14,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B39_4_A15,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B39_4_A15,2min melodie,2m melodie,"7:A,15",ID_B39,0.2,B39,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B39,A15,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B40_4_A16,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B40_4_A16,2min melodie,2m melodie,"7:A,16",ID_B40,0.2,B40,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B40,A16,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B41_4_A17,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B41_4_A17,2min melodie,2m melodie,"7:A,17",ID_B41,0.2,B41,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B41,A17,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B42_4_A18,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B42_4_A18,2min melodie,2m melodie,"7:A,18",ID_B42,0.2,B42,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B42,A18,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B43_4_A19,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B43_4_A19,2min melodie,2m melodie,"7:A,19",ID_B43,0.2,B43,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B43,A19,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B44_4_A20,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B44_4_A20,2min melodie,2m melodie,"7:A,20",ID_B44,0.2,B44,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B44,A20,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B45_4_A21,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B45_4_A21,2min melodie,2m melodie,"7:A,21",ID_B45,0.2,B45,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B45,A21,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B46_4_A22,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B46_4_A22,2min melodie,2m melodie,"7:A,22",ID_B46,0.2,B46,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B46,A22,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B47_4_A23,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B47_4_A23,2min melodie,2m melodie,"7:A,23",ID_B47,0.2,B47,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B47,A23,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B48_4_A24,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_B48_4_A24,2min melodie,2m melodie,"7:A,24",ID_B48,0.2,B48,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,B48,A24,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D25_4_B1,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D25_4_B1,2min melodie,2m melodie,"7:B,1",ID_D25,0.2,D25,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D25,B1,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D26_4_B2,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D26_4_B2,2min melodie,2m melodie,"7:B,2",ID_D26,0.2,D26,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D26,B2,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D27_4_B3,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D27_4_B3,2min melodie,2m melodie,"7:B,3",ID_D27,0.2,D27,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D27,B3,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D28_4_B4,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D28_4_B4,2min melodie,2m melodie,"7:B,4",ID_D28,0.2,D28,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D28,B4,4.0
cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D29_4_B5,cernak-2024-Q4_ykao_yk-1536-4-make-product_1_D29_4_B5,2min melodie,2m melodie,"7:B,5",ID_D29,0.2,D29,cernak-2024-Q4_ykao_yk-1536-4-make-product,ykao,D29,B5,4.0
