nanoChem-generated mosquito worklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numbers of components in each group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nucleophile (N): 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalyst1 (C): 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ligand1 (L): 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReductantOxidant (O): 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source Plate 1 Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E225,E226,E257,E258,E289,E290,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E227,E228,E259,E260,E291,E292,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E229,E230,E261,E262,E293,E294,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E231,E232,E263,E264,E295,E296,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E233,E234,E265,E266,E297,E298,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E235,E236,E267,E268,E299,E300,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E237,E238,E269,E270,E301,E302,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E239,E240,E271,E272,E303,E304,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E241,E242,E273,E274,E305,E306,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E243,E244,E275,E276,E307,E308,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E245,E246,E277,E278,E309,E310,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E247,E248,E279,E280,E311,E312,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E249,E250,E281,E282,E313,E314,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E251,E252,E283,E284,E315,E316,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E253,E254,E285,E286,E317,E318,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1,C1,N1,N2,N3,N4,O1,W1,,,,,,,,E255,E256,E287,E288,E319,E320,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Destination Plate Map,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
