"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000000003",623.372895092101,0.0706804250433412,0.0629188202234208,0.0302379650722387,0.166582310736628
"ENSG00000000419",4101.10571797462,0.0123958109783999,0.0304904430679599,0.587687575354114,0.819437538800744
"ENSG00000000457",792.536984505463,-0.0581309675557715,0.0595355751156309,0.0571232401731595,0.247691665585273
"ENSG00000000460",2151.21944106499,0.0392989879805095,0.0365055081093728,0.118065070613646,0.372984816517616
"ENSG00000001036",5053.81499909937,0.0253454653940077,0.0310323981655281,0.274735394727286,0.583006226808559
"ENSG00000001084",1691.1293992785,0.0743721310582843,0.0474643574902512,0.0127538702766851,0.0941431989444389
"ENSG00000001167",3631.70011472696,0.0149508559824086,0.0310770327785169,0.516972428896585,0.773729154434035
"ENSG00000001460",664.214454699155,-0.0142849414493991,0.0436841886258235,0.562275500984991,0.804875129580067
"ENSG00000001461",4705.94896289206,-0.0633540796052581,0.0394031462721601,0.0186016763921531,0.120827853350816
"ENSG00000001497",6670.27509477147,0.0567877718475021,0.0278705186622778,0.0109667533933443,0.0840313842515174
"ENSG00000001561",1216.53859886781,-0.0645675827345853,0.0508812813686977,0.0310035786316784,0.169260227164313
"ENSG00000001617",2138.57901034303,-0.0175612331680251,0.0336786309064279,0.460582082240315,0.739914908838928
"ENSG00000001629",3364.94829591383,0.0137669944892509,0.0366362690555411,0.569857127979861,0.809794573914699
"ENSG00000001630",11595.4721650634,-0.0293784989065069,0.0276962460004149,0.180822979896899,0.466301087386745
"ENSG00000001631",2443.61771090575,-0.0182128324990326,0.0335781153430852,0.443936422334841,0.730659198484213
"ENSG00000002016",469.265807518425,-0.0222605654802148,0.0499569709985696,0.37840828637275,0.676762702820427
"ENSG00000002330",3259.30215768336,-0.00972922548784579,0.0336898164270195,0.680970864580049,0.869472842402081
"ENSG00000002549",6213.4563602709,-0.00728398836275928,0.0278821544013259,0.739230887383063,0.897039741464498
"ENSG00000002586",8350.62383105138,0.00914138329498274,0.0305224514845872,0.689070084929952,0.872971124962886
"ENSG00000002587",122.595374135834,-0.0063184413236511,0.0612303626692591,0.765558108316631,0.907380292318371
"ENSG00000002822",2379.64622759693,-0.0161698869644685,0.0338927749575521,0.497193042253984,0.761134310067327
"ENSG00000002834",4884.83469812276,-0.147957568422224,0.0422313791505897,7.93133389817803e-06,0.000236776219317518
"ENSG00000002919",1445.3122047133,-0.0396324771956987,0.0408834687442971,0.129193272421776,0.391889252342636
"ENSG00000003056",6053.28150245013,-0.00754789063661797,0.0254108438959304,0.716016356057682,0.885849213356791
"ENSG00000003096",437.908776531751,0.0123329734259223,0.0489486699534699,0.611606339978698,0.832361777387346
"ENSG00000003137",10.1058218150506,0.00657367887779428,0.0825670207068169,0.547734004121678,NA
"ENSG00000003147",1885.20621820932,-0.0203581669223206,0.034668760955721,0.397884237184099,0.694534686437283
"ENSG00000003249",3304.86635335572,-0.00357163756638123,0.0309781419412131,0.876356651453447,0.954971319862103
"ENSG00000003393",2061.20950846602,0.00149190865961664,0.0355042709119014,0.950203742567681,0.98496371808778
"ENSG00000003400",69.780194742585,-0.0087831126857504,0.0672204657195431,0.647034600641617,NA
"ENSG00000003402",1703.99285083525,0.0503319414471862,0.0441057752665631,0.0666237550242167,0.271031054583175
"ENSG00000003436",5423.18703525741,0.170901529181743,0.0343469856492991,2.08779322079201e-08,1.13915217609464e-06
"ENSG00000003509",705.447378433338,-0.00699469048660237,0.0428327300656766,0.773502237717888,0.910795860724875
"ENSG00000003756",4401.454567384,-0.124218912273231,0.0486645500046155,0.000246216822062318,0.0044131123738943
"ENSG00000003989",2607.55776751215,0.0252621503255436,0.0331230237345925,0.289175320785537,0.598598862212198
"ENSG00000004059",10223.0494444436,-0.0226660459534581,0.0268543396171523,0.29197890255746,0.600675274829467
"ENSG00000004139",3845.42379325796,-0.00258197754905649,0.0309312300291307,0.910381755081115,0.967890151169454
"ENSG00000004142",17861.9838258991,-0.000441227171225432,0.0233743031956055,0.982078310473941,0.996023632108191
"ENSG00000004399",142.37293941152,0.0110857448467023,0.0604613282549104,0.615351048158761,0.834422903141657
