"gene_id","symbol","log2FoldChange","padj","Sig"
"ENSG00000000003","TSPAN6",0.0706804250433412,0.166582310736628,"NS"
"ENSG00000000419","DPM1",0.0123958109783999,0.819437538800744,"NS"
"ENSG00000000457","SCYL3",-0.0581309675557715,0.247691665585273,"NS"
"ENSG00000000460","FIRRM",0.0392989879805095,0.372984816517616,"NS"
"ENSG00000001036","FUCA2",0.0253454653940077,0.583006226808559,"NS"
"ENSG00000001084","GCLC",0.0743721310582843,0.0941431989444389,"NS"
"ENSG00000001167","NFYA",0.0149508559824086,0.773729154434035,"NS"
"ENSG00000001460","STPG1",-0.0142849414493991,0.804875129580067,"NS"
"ENSG00000001461","NIPAL3",-0.0633540796052581,0.120827853350816,"NS"
"ENSG00000001497","LAS1L",0.0567877718475021,0.0840313842515174,"NS"
"ENSG00000001561","ENPP4",-0.0645675827345853,0.169260227164313,"NS"
"ENSG00000001617","SEMA3F",-0.0175612331680251,0.739914908838928,"NS"
"ENSG00000001629","ANKIB1",0.0137669944892509,0.809794573914699,"NS"
"ENSG00000001630","CYP51A1",-0.0293784989065069,0.466301087386745,"NS"
"ENSG00000001631","KRIT1",-0.0182128324990326,0.730659198484213,"NS"
"ENSG00000002016","RAD52",-0.0222605654802148,0.676762702820427,"NS"
"ENSG00000002330","BAD",-0.00972922548784579,0.869472842402081,"NS"
"ENSG00000002549","LAP3",-0.00728398836275928,0.897039741464498,"NS"
"ENSG00000002586","CD99",0.00914138329498274,0.872971124962886,"NS"
"ENSG00000002587","HS3ST1",-0.0063184413236511,0.907380292318371,"NS"
"ENSG00000002822","MAD1L1",-0.0161698869644685,0.761134310067327,"NS"
"ENSG00000002834","LASP1",-0.147957568422224,0.000236776219317518,"NS"
"ENSG00000002919","SNX11",-0.0396324771956987,0.391889252342636,"NS"
"ENSG00000003056","M6PR",-0.00754789063661797,0.885849213356791,"NS"
"ENSG00000003096","KLHL13",0.0123329734259223,0.832361777387346,"NS"
"ENSG00000003137","CYP26B1",0.00657367887779428,NA,"NS"
"ENSG00000003147","ICA1",-0.0203581669223206,0.694534686437283,"NS"
"ENSG00000003249","DBNDD1",-0.00357163756638123,0.954971319862103,"NS"
"ENSG00000003393","ALS2",0.00149190865961664,0.98496371808778,"NS"
"ENSG00000003400","CASP10",-0.0087831126857504,NA,"NS"
"ENSG00000003402","CFLAR",0.0503319414471862,0.271031054583175,"NS"
"ENSG00000003436","TFPI",0.170901529181743,1.13915217609464e-06,"NS"
"ENSG00000003509","NDUFAF7",-0.00699469048660237,0.910795860724875,"NS"
"ENSG00000003756","RBM5",-0.124218912273231,0.0044131123738943,"NS"
"ENSG00000003989","SLC7A2",0.0252621503255436,0.598598862212198,"NS"
"ENSG00000004059","ARF5",-0.0226660459534581,0.600675274829467,"NS"
"ENSG00000004139","SARM1",-0.00258197754905649,0.967890151169454,"NS"
"ENSG00000004142","POLDIP2",-0.000441227171225432,0.996023632108191,"NS"
"ENSG00000004399","PLXND1",0.0110857448467023,0.834422903141657,"NS"
"ENSG00000004455","AK2",-0.00264241671277942,0.96154877450354,"NS"
"ENSG00000004478","FKBP4",0.0117045657644646,0.807386921971294,"NS"
"ENSG00000004487","KDM1A",0.0552156715382049,0.121789514993974,"NS"
"ENSG00000004534","RBM6",-0.0403948309570361,0.34176682369808,"NS"
