"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_FATTY_ACID_METABOLISM",2.93415287945937e-07,1.46707643972968e-05,0.674962860011025,0.786078227332024,2.05826895623716,137,"AADAT;ACAA1;ACAA2;ACADL;ACADM;ACADS;ACADVL;ACAT2;ACO2;ACOT2;ACOT8;ACOX1;ACSL1;ACSL4;ACSL5;ACSM3;ACSS1;ADH1C;ADIPOR2;ADSL;ALAD;ALDH1A1;ALDH3A2;ALDH9A1;ALDOA;AOC3;APEX1"
"HALLMARK_BILE_ACID_METABOLISM",1.26592511477758e-06,3.16481278694395e-05,0.643551836150722,0.830251027558041,2.06136682959356,82,"ABCA1;ABCA2;ABCA3;ABCA4;ABCA5;ABCD1;ABCD3;ACSL1;ACSL5;AKR1D1;ALDH1A1;ALDH9A1;AMACR;APOA1;AR"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.000325449974913526,0.00478811559844692,0.49849310876659,0.658753192187185,1.77310074550793,198,"ABCB7;ACAA1;ACAA2;ACADM;ACADSB;ACADVL;ACAT1;ACO2;AFG3L2;AIFM1;ALAS1;ALDH6A1;ATP1B1;ATP5F1A;ATP5F1B;ATP5F1C;ATP5F1D;ATP5F1E;ATP5MC1;ATP5MC2;ATP5MC3;ATP5ME;ATP5MF;ATP5MG;ATP5PB;ATP5PD;ATP5PF;ATP5PO;ATP6AP1;ATP6V0B;ATP6V0C;ATP6V0E1;ATP6V1C1;ATP6V1D;ATP6V1E1;ATP6V1F;ATP6V1G1;ATP6V1H;BAX;BCKDHA;BDH2"
"HALLMARK_PEROXISOME",0.000383049247875754,0.00478811559844692,0.49849310876659,0.764333972537535,1.93764739300852,94,"ABCB9;ABCC5;ABCC8;ABCD1;ABCD3;ACAA1;ACOT8;ACOX1;ACSL1;ACSL4;ACSL5;ALB;ALDH1A1;ALDH9A1"
"HALLMARK_XENOBIOTIC_METABOLISM",0.00127348062263466,0.0127348062263466,0.45505986738723,0.685378178864516,1.79744388217514,138,"ABHD6;ACO2;ACOX1;ACOX2;ACOX3;ACP1;ACP2;ACSM1;ADH1C;ADH5;AHCY;AKR1C2;AKR1C3;ALAS1;ALDH2;ALDH9A1;ANGPTL3;AOX1;AP4B1;APOE;ARG1;ARG2;ARPP19;ASL;ATOH8;ATP2A2;BCAR1;BCAT1;BLVRB;BPHL"
"HALLMARK_ADIPOGENESIS",0.00269465494559364,0.022455457879947,0.431707695803346,0.644177518426777,1.72502432094264,172,"ABCA1;ABCB8;ACAA2;ACADL;ACADM;ACADS;ACLY;ACO2;ACOX1;ADCY6;ADIPOR2;AGPAT3;AIFM1;AK2;ALDH2;ALDOA;APLP2;APOE;ARAF;ARL4A;ATL2;ATP1B3;ATP5PO;BAZ2A;BCKDHA;BCL2L13;BCL6"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.00809744400904394,0.0482455255551324,0.380730400722792,0.682008754376627,1.66839296847782,68,"ABCA2;ACAT2;ACSS2;ACTG1;ALCAM;ALDOC;ANTXR2;ANXA5;ATF3;ATF5;ATXN2"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.00740033090360708,0.0482455255551324,0.407017918923954,0.592685729592613,1.58487441693375,170,"ABAT;ABCA3;ABHD2;ABLIM1;ADCY1;ADCY9;ADD3;AFF1;AKAP1;ALDH3B1;AMFR;ANXA9;AQP3;AR;ARL3;ASB13;B4GALT1;BAG1;BCL11B;BCL2;BHLHE40;BLVRB"
"HALLMARK_MITOTIC_SPINDLE",0.00868419459992384,0.0482455255551324,0.380730400722792,0.578677116710017,1.55381357963375,195,"ABI1;ABL1;ABR;ACTN4;AKAP13;ALMS1;ALS2;ANLN;APC;ARF6;ARFGEF1;ARFIP2;ARHGAP10;ARHGAP27;ARHGAP29;ARHGAP4;ARHGAP5;ARHGDIA;ARHGEF11;ARHGEF12;ARHGEF2;ARHGEF3;ARHGEF7;ARL8A;ATG4B;AURKA;BCAR1;BCL2L11;BCR;BIN1;BIRC5;BRCA2;BUB1;CAPZB;CCDC88A;CCNB2;CD2AP;CDC27;CDC42;CDC42BPA;CDC42EP1;CDC42EP2;CDC42EP4;CDK1;CDK5RAP2;CENPE;CENPF;CENPJ;CEP131;CEP192;CEP250;CEP57;CEP72;CKAP5;CLASP1;CLIP1;CLIP2;CNTRL;CNTROB"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00998025096083585,0.0499012548041793,0.380730400722792,0.654421168911628,1.6717787793915,109,"ABCA1;ABI1;ACVR1B;ACVR2A;ADM;ADORA2B;ADRM1;AHR;ATP2A2;ATP2B1;ATP2C1;BDKRB1;BEST1;BST2;BTG2;CALCRL;CD14;CD55;CD82;CDKN1A"
