pathway,group,pval,padj,log2err,ES,NES,size
BILE_ACID_METABOLISM,Metabolism,1.27E-06,3.16E-05,0.643551836,0.830251028,2.06136683,84
FATTY_ACID_METABOLISM,Metabolism,2.93E-07,1.47E-05,0.67496286,0.786078227,2.058268956,137
PEROXISOME,Cellular component,0.000383049,0.004788116,0.498493109,0.764333973,1.937647393,94
XENOBIOTIC_METABOLISM,Metabolism,0.001273481,0.012734806,0.455059867,0.685378179,1.797443882,139
OXIDATIVE_PHOSPHORYLATION,Metabolism,0.00032545,0.004788116,0.498493109,0.658753192,1.773100746,198
ADIPOGENESIS,Development,0.002694655,0.022455458,0.431707696,0.644177518,1.725024321,172
INFLAMMATORY_RESPONSE,Immune,0.009980251,0.049901255,0.380730401,0.654421169,1.671778779,111
CHOLESTEROL_HOMEOSTASIS,Metabolism,0.008097444,0.048245526,0.380730401,0.682008754,1.668392968,69
ESTROGEN_RESPONSE_EARLY,Signaling,0.007400331,0.048245526,0.407017919,0.59268573,1.584874417,171
ALLOGRAFT_REJECTION,Immune,0.016888063,0.076763923,0.352487858,0.618226706,1.573441514,100
APICAL_SURFACE,cellular component,0.040118871,0.125371471,0.276500599,0.693652272,1.564732614,32
MITOTIC_SPINDLE,Proliferation,0.008684195,0.048245526,0.380730401,0.578677117,1.55381358,195
ANDROGEN_RESPONSE,Signaling,0.031847134,0.122488976,0.287857117,0.601521436,1.533556609,101
HEME_METABOLISM,Metabolism,0.020293333,0.084555553,0.352487858,0.559949585,1.486107522,159
PANCREAS_BETA_CELLS,Development,0.081566069,0.185377428,0.199915231,0.70602614,1.472349574,17
MYOGENESIS,Development,0.035714286,0.125371471,0.266350657,0.566728619,1.469271291,128
UV_RESPONSE_DN,DNA damage,0.039408867,0.125371471,0.252961123,0.564774012,1.464203878,128
COAGULATION,Immune,0.064343164,0.168571429,0.204294757,0.583411274,1.443760765,73
GLYCOLYSIS,Metabolism,0.047619048,0.140056022,0.222056046,0.523637026,1.403165864,173
PI3K_AKT_MTOR_SIGNALING,Signaling,0.090551181,0.188648294,0.168238166,0.549523251,1.38496353,90
ESTROGEN_RESPONSE_LATE,Signaling,0.064782097,0.168571429,0.190023305,0.509335603,1.349819572,162
MTORC1_SIGNALING,Signaling,0.067428571,0.168571429,0.183023938,0.491909818,1.322949067,196
UV_RESPONSE_UP,DNA damage,0.086538462,0.18812709,0.164405756,0.501289269,1.314660078,138
P53_PATHWAY,Proliferation,0.073085847,0.174013921,0.176694269,0.487568605,1.30797921,181
