pathway,group,pval,padj,log2err,ES,NES,size
FATTY_ACID_METABOLISM,Metabolism,2.46E-06,0.000123108,0.62725674,0.7956033,2.103337193,137
BILE_ACID_METABOLISM,Metabolism,2.73E-05,0.000681352,0.575610261,0.84575688,2.091750696,84
PEROXISOME,Cellular component,0.000293802,0.004896701,0.498493109,0.778252407,1.954633598,94
OXIDATIVE_PHOSPHORYLATION,Metabolism,0.002504813,0.02504813,0.431707696,0.643762657,1.779647695,198
XENOBIOTIC_METABOLISM,Metabolism,0.00169064,0.021133003,0.455059867,0.672105791,1.772627312,139
ADIPOGENESIS,Development,0.003930143,0.032751189,0.407017919,0.641691572,1.749771647,172
INFLAMMATORY_RESPONSE,Immune,0.015403636,0.099458179,0.380730401,0.654369616,1.683190718,111
CHOLESTEROL_HOMEOSTASIS,Metabolism,0.035211968,0.159215893,0.321775918,0.683564786,1.651994818,69
ESTROGEN_RESPONSE_EARLY,Signaling,0.015913309,0.099458179,0.352487858,0.583449808,1.584546369,171
ALLOGRAFT_REJECTION,Immune,0.031357956,0.159215893,0.321775918,0.623777634,1.578858203,100
MITOTIC_SPINDLE,Proliferation,0.03589862,0.159215893,0.321775918,0.545066853,1.503230054,195
APICAL_SURFACE,Cellular component,0.074829932,0.220088035,0.248911114,0.677431255,1.477717257,32
HEME_METABOLISM,Metabolism,0.038211814,0.159215893,0.321775918,0.542502934,1.46549689,159
ANDROGEN_RESPONSE,Signaling,0.048809193,0.187727666,0.321775918,0.5766672,1.461398275,101
MYOGENESIS,Development,0.061728395,0.220088035,0.287857117,0.54862125,1.443975247,128
UV_RESPONSE_DN,DNA damage,0.066666667,0.220088035,0.276500599,0.535977926,1.410697924,128
GLYCOLYSIS,Metabolism,0.072941176,0.220088035,0.257206466,0.498329633,1.355788467,173
