Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
14340-YK-1_1 - illumina_universal_adapter	(1, 0.00958800447465256)	(2, 0.009772100171853959)	(3, 0.010210423260428723)	(4, 0.010785252682302486)	(5, 0.011284941003277718)	(6, 0.011747058773803684)	(7, 0.012191643620786658)	(8, 0.012564844421916029)	(9, 0.012911745837730915)	(10, 0.014137046723049626)	(15, 0.015684452460886712)	(20, 0.016884706312572575)	(25, 0.01791313751353714)	(30, 0.019860293908154407)	(35, 0.023271950359284043)	(40, 0.030050679541676856)	(45, 0.0417534050659504)	(50, 0.06443123978746339)	(55, 0.10443310579146906)	(60, 0.17314062563106783)	(65, 0.2829180169887767)	(70, 0.44714014535419794)	(75, 0.6911861680261465)	(80, 1.0290070322677802)	(85, 1.4981692810029836)	(90, 2.1093852800461868)	(95, 2.9010030397706195)	(100, 3.8802779344087073)	(105, 5.062201114530379)	(110, 6.447990617381201)	(115, 8.02390463842885)	(120, 9.795119147173551)	(125, 11.73536556615219)	(130, 13.83022757421671)	(135, 16.039515452610857)	(140, 17.42156443145895)
14340-YK-1_1 - polya	(1, 0.0006762699080867792)	(2, 0.001472765577611208)	(3, 0.0027576784029760886)	(4, 0.00743270723054636)	(5, 0.010513492367386133)	(6, 0.014906742066586912)	(7, 0.02199380023300003)	(8, 0.028539842472943725)	(9, 0.03750417581013848)	(10, 0.06200919163516742)	(15, 0.08838371805055181)	(20, 0.1120727015198227)	(25, 0.14755983971150827)	(30, 0.1831373976946084)	(35, 0.20639532171505803)	(40, 0.226774590160085)	(45, 0.2485782834078117)	(50, 0.27070433197839316)	(55, 0.2912724550570117)	(60, 0.31120864147707367)	(65, 0.33166881184073466)	(70, 0.35608691445905766)	(75, 0.37836149193908186)	(80, 0.39865610141042973)	(85, 0.4161664826231508)	(90, 0.4358103701607174)	(95, 0.45566966218752647)	(100, 0.4741916930886781)	(105, 0.4937606899956825)	(110, 0.5134226113974648)	(115, 0.5279346122139981)	(120, 0.5417320211609864)	(125, 0.5540048171707435)	(130, 0.5690443085155844)	(135, 0.584153681084261)	(140, 0.5917812542364709)
14340-YK-1_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.004082666482153519)	(4, 0.005020677891703514)	(5, 0.005469019793731416)	(6, 0.005669396062794166)	(7, 0.005884800552036621)	(8, 0.0061002050412790765)	(9, 0.006294319551933616)	(10, 0.0066186786374789405)	(15, 0.006988623324236042)	(20, 0.007451742976107322)	(25, 0.007917116861005557)	(30, 0.008443355037631602)	(35, 0.009197521220316526)	(40, 0.01005387930022345)	(45, 0.011072041217398547)	(50, 0.012041862359662254)	(55, 0.01308381895878855)	(60, 0.014064410325514382)	(65, 0.015896851306093224)	(70, 0.20571604616293535)	(75, 0.31967704354833815)	(80, 0.32453716995445514)	(85, 0.3279167662025347)	(90, 0.3304019328795854)	(95, 0.33258753703438737)	(100, 0.33510902191020575)	(105, 0.33881247630315803)	(110, 0.34497028952179265)	(115, 0.35561402646406953)	(120, 0.37429936402450725)	(125, 0.40891060745005225)	(130, 0.4664546643994926)	(135, 0.5601956924737734)	(140, 0.636377497619749)
14340-YK-1_2 - illumina_universal_adapter	(1, 0.009603032694832266)	(2, 0.009785876040352023)	(3, 0.010217937370518577)	(4, 0.010791514440710697)	(5, 0.011301221575139065)	(6, 0.011758329938938463)	(7, 0.012210428896011292)	(8, 0.012587386752185589)	(9, 0.012935540519682116)	(10, 0.014169106926099666)	(15, 0.015734796998488725)	(20, 0.01692753674008474)	(25, 0.01799153472880794)	(30, 0.020009323758269824)	(35, 0.023514906585522626)	(40, 0.030417869054734342)	(45, 0.04222328741690255)	(50, 0.06502310119220749)	(55, 0.1049771273619744)	(60, 0.17370618765049745)	(65, 0.28383999829680173)	(70, 0.4483391468542021)	(75, 0.6922088384093756)	(80, 1.0296557504388708)	(85, 1.4982146161338588)	(90, 2.109203939522685)	(95, 2.90128882642437)	(100, 3.8795856343990955)	(105, 5.05841425351543)	(110, 6.441873630827388)	(115, 8.016565857574426)	(120, 9.783206527507435)	(125, 11.715705648513099)	(130, 13.802041646328997)	(135, 15.997643575075822)	(140, 17.369769670609593)
14340-YK-1_2 - polya	(1, 0.004831572787775545)	(2, 0.010344424890364438)	(3, 0.012692584293443531)	(4, 0.015401420980835575)	(5, 0.017631859325840306)	(6, 0.019393918141910858)	(7, 0.021010704162910915)	(8, 0.024529812388325453)	(9, 0.028985679671608342)	(10, 0.04035903670361)	(15, 0.05628268833569037)	(20, 0.07436389144490389)	(25, 0.08941239972185269)	(30, 0.10288044017656908)	(35, 0.11559832197398176)	(40, 0.12857168351444948)	(45, 0.14283496728700865)	(50, 0.15901234536978973)	(55, 0.17587901781814666)	(60, 0.19242934623172075)	(65, 0.21093133950596607)	(70, 0.23152551149956277)	(75, 0.25057177681464976)	(80, 0.2675787126513506)	(85, 0.2864912268068382)	(90, 0.30772935803513535)	(95, 0.32742734716534894)	(100, 0.34777330305564413)	(105, 0.36386201463936496)	(110, 0.38148936549915136)	(115, 0.4032259326967421)	(120, 0.4336082349637178)	(125, 0.45811600596244634)	(130, 0.4720521754757606)	(135, 0.4863427605149795)	(140, 0.4948066541201901)
14340-YK-1_2 - polyg	(1, 0.5732852722502975)	(2, 0.5771287395612573)	(3, 0.5787618061541188)	(4, 0.5813591835418447)	(5, 0.5833366468471577)	(6, 0.5859215007180671)	(7, 0.5886716650109534)	(8, 0.591455642799244)	(9, 0.5956673015046067)	(10, 0.6121950875879112)	(15, 0.6295471715480726)	(20, 0.6335767383189245)	(25, 0.63566591139424)	(30, 0.6371003550103929)	(35, 0.6382940966333343)	(40, 0.6393921585877982)	(45, 0.6404466387037409)	(50, 0.641342070156115)	(55, 0.6422352473754622)	(60, 0.6430560386676105)	(65, 0.6438718205530323)	(70, 0.644651785180359)	(75, 0.652174160791311)	(80, 0.6682809062392473)	(85, 0.6886892292432885)	(90, 0.7011017877007167)	(95, 0.7077279804482857)	(100, 0.7117871027188242)	(105, 0.715582479725209)	(110, 0.720338911412086)	(115, 0.7280238422713151)	(120, 0.7404386549617705)	(125, 0.7623548093905087)	(130, 0.8011025704205178)	(135, 0.8660700671980603)	(140, 0.9232624637952956)
14340-YK-2_1 - illumina_universal_adapter	(1, 0.007115694052051565)	(2, 0.007233801710105338)	(3, 0.007609173573820794)	(4, 0.008078096057776863)	(5, 0.008590285703594215)	(6, 0.008993722753381854)	(7, 0.009380788444627388)	(8, 0.009752652160083822)	(9, 0.01004265908282972)	(10, 0.01113696746309428)	(15, 0.012636350029000692)	(20, 0.013736973076131495)	(25, 0.014646285104870243)	(30, 0.016227290586936595)	(35, 0.018744971654162067)	(40, 0.023350000935506203)	(45, 0.03089368907515857)	(50, 0.04466621138698149)	(55, 0.06907169719535242)	(60, 0.11102377121260314)	(65, 0.17878763073699178)	(70, 0.28069793440230506)	(75, 0.43238278107283856)	(80, 0.6427035193743335)	(85, 0.935734465919509)	(90, 1.319464609800363)	(95, 1.8193034688569985)	(100, 2.445669074035961)	(105, 3.217747020412746)	(110, 4.142065504144293)	(115, 5.22201386420192)	(120, 6.472178279416992)	(125, 7.885951269481917)	(130, 9.462609454225682)	(135, 11.17942400883118)	(140, 12.280577020225644)
14340-YK-2_1 - polya	(1, 0.0004864632252511834)	(2, 0.0012676109042602953)	(3, 0.0025176810672254755)	(4, 0.007091137014238405)	(5, 0.010223913409545905)	(6, 0.014624300709113702)	(7, 0.021542369075906974)	(8, 0.02793070705558778)	(9, 0.036637931034482756)	(10, 0.060399086945946444)	(15, 0.08604996538627051)	(20, 0.10917684809250286)	(25, 0.14414209403708345)	(30, 0.17902010402828972)	(35, 0.20197859561808892)	(40, 0.22177016483619286)	(45, 0.24280782831590172)	(50, 0.2645744850038355)	(55, 0.28447200029936204)	(60, 0.3039686511871573)	(65, 0.32399830673377367)	(70, 0.34841618799932644)	(75, 0.37051915916702527)	(80, 0.3904290699197336)	(85, 0.40799296499335796)	(90, 0.4275922876868673)	(95, 0.4471934813927817)	(100, 0.46548683742773217)	(105, 0.48535161000617427)	(110, 0.5057383950455592)	(115, 0.5205158848953169)	(120, 0.534344069826183)	(125, 0.5468038430594795)	(130, 0.5619859393417779)	(135, 0.5775445768705447)	(140, 0.5856526091267985)
14340-YK-2_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00253054427750856)	(4, 0.0033385877598368476)	(5, 0.0036683536961850055)	(6, 0.003761904316425618)	(7, 0.0038858588882444292)	(8, 0.004021507287593317)	(9, 0.0041571556869422046)	(10, 0.004414186016053286)	(15, 0.004745355211705053)	(20, 0.0051235335940277285)	(25, 0.005513639680431081)	(30, 0.0059898123374557966)	(35, 0.006610520702752259)	(40, 0.0072770688719666216)	(45, 0.007968407955544746)	(50, 0.008687812225195053)	(55, 0.009501234868187176)	(60, 0.010260865904540947)	(65, 0.011367101988886187)	(70, 0.1391799352629708)	(75, 0.21425734840121988)	(80, 0.2178803300465882)	(85, 0.22077572174303514)	(90, 0.22282143993114673)	(95, 0.224575046307557)	(100, 0.2265412464684641)	(105, 0.22940950848504124)	(110, 0.2337439425973394)	(115, 0.24085285422942354)	(120, 0.25260561865025166)	(125, 0.2738715456433476)	(130, 0.3091094916459296)	(135, 0.36749443373809576)	(140, 0.41491921903942225)
14340-YK-2_2 - illumina_universal_adapter	(1, 0.0070923063969914124)	(2, 0.007206905906786162)	(3, 0.007583447153254626)	(4, 0.008052369637210694)	(5, 0.008559881752016016)	(6, 0.008962149419050647)	(7, 0.009353892641308212)	(8, 0.009729264505023668)	(9, 0.01001693266226355)	(10, 0.011112176548730517)	(15, 0.01261740602840197)	(20, 0.013704698112148483)	(25, 0.01463786554904859)	(30, 0.016261436563324416)	(35, 0.01882823170617621)	(40, 0.023493133384474337)	(45, 0.0310983310569349)	(50, 0.04495341179112018)	(55, 0.06933597769753214)	(60, 0.11130652796228038)	(65, 0.1791524781559302)	(70, 0.28102395831384364)	(75, 0.43239400714726733)	(80, 0.642004228488035)	(85, 0.9342615114038206)	(90, 1.3169551144124085)	(95, 1.8158413942784442)	(100, 2.4405712668624995)	(105, 3.2098218796190623)	(110, 4.131055063895073)	(115, 5.207833928938949)	(120, 6.453093017381704)	(125, 7.859197663105505)	(130, 9.427979119501561)	(135, 11.132481944730294)	(140, 12.224307491533668)
14340-YK-2_2 - polya	(1, 0.004785114225307314)	(2, 0.010254317361124103)	(3, 0.012538121877748049)	(4, 0.015455731846502143)	(5, 0.01753372499859674)	(6, 0.019259733942036037)	(7, 0.020734325593578684)	(8, 0.02417932718393923)	(9, 0.02848733324601942)	(10, 0.03942340075214699)	(15, 0.05443733979456285)	(20, 0.07125516867176829)	(25, 0.08532307706700096)	(30, 0.09781231874567328)	(35, 0.10989648623870377)	(40, 0.12241543023930249)	(45, 0.1360020206933972)	(50, 0.15103443598331054)	(55, 0.16657389563492805)	(60, 0.18203243400003744)	(65, 0.19901116994405674)	(70, 0.21782677231650047)	(75, 0.23494793907983613)	(80, 0.25070326678765886)	(85, 0.2688226186689618)	(90, 0.28885157258592625)	(95, 0.3076220367841039)	(100, 0.32687148015791345)	(105, 0.34248624805882466)	(110, 0.3593849982225382)	(115, 0.3798564465732408)	(120, 0.40796232716522907)	(125, 0.43107283851291933)	(130, 0.4453856156566318)	(135, 0.4598815181394652)	(140, 0.4681588770183546)
