Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
14340-YK-1_1	(1, 0.0021026984734772267)	(2, 0.021134686979393493)	(3, 0.009942420000557296)	(4, 0.028067705888964622)	(5, 0.00335505015511941)	(6, 2.504703363284367e-06)	(7, 0.00032686378890861)	(8, 0.00033312554731682086)	(9, 0.0)	(10, 0.005735770701921201)	(15, 0.0020791542618623536)	(20, 0.01917074907224222)	(25, 0.035581815978817724)	(30, 0.011789638730979518)	(35, 0.017350581138143473)	(40, 0.0116608969781067)	(45, 0.020300620759419796)	(50, 0.031693013536982416)	(55, 0.0266926237425215)	(60, 0.023352100866909142)	(65, 0.021190792334731062)	(70, 0.029382174214016257)	(75, 0.02310087911957172)	(80, 0.013214314004015664)	(85, 0.01134229871029693)	(90, 0.02261722090012151)	(95, 0.024718416551580767)	(100, 0.035044056166720565)	(105, 0.01461043565871037)	(110, 0.009492575276511424)	(115, 0.030394074372783145)	(120, 0.03130152840130107)	(125, 0.01569697597770313)	(130, 0.03449402330814332)	(135, 0.05519389378367065)	(140, 0.009339287430678422)	(145, 0.015529912263372064)	(150, 0.016701362026380163)
14340-YK-1_2	(1, 0.04051107219776136)	(2, 0.06399517093191559)	(3, 0.041827293815167296)	(4, 7.76458042618154e-05)	(5, 0.02976464241758978)	(6, 0.019949962288559987)	(7, 0.03068386855191514)	(8, 0.00022918035774051963)	(9, 0.0018534804888304317)	(10, 0.017334801506954777)	(15, 0.031643169940053055)	(20, 0.03342125885764863)	(25, 0.019051274721813557)	(30, 0.018054402783226377)	(35, 0.021355100875362517)	(40, 0.007079544056323264)	(45, 0.02441159038957843)	(50, 0.015049510158294123)	(55, 0.005201267004196318)	(60, 0.005348794032293766)	(65, 0.017736305456089264)	(70, 0.01699290949786646)	(75, 0.03566647495249674)	(80, 0.0292504268171075)	(85, 0.01294606027380791)	(90, 0.029424002760183105)	(95, 0.014681068293554991)	(100, 0.02043662615204614)	(105, 0.018445887918907722)	(110, 0.013302229092066947)	(115, 0.023204323368475364)	(120, 0.0027038272806654746)	(125, 0.04637483324154639)	(130, 0.03621375263737437)	(135, 0.04134664123975302)	(140, 0.02412630467650034)	(145, 0.029429513107582336)	(150, 0.032113427996509694)
14340-YK-2_1	(1, 0.0021879151308773176)	(2, 0.02126405598069115)	(3, 0.009876606731902632)	(4, 0.028092081875502835)	(5, 0.0033456040563548937)	(6, 7.016296518045915e-06)	(7, 0.0003075476640410126)	(8, 0.0003098864295470279)	(9, 0.0)	(10, 0.0056972327726532825)	(15, 0.002105590585065579)	(20, 0.018986098377832245)	(25, 0.03540493385971149)	(30, 0.011909227833180533)	(35, 0.01758237132112186)	(40, 0.01162764046625629)	(45, 0.020274524295096075)	(50, 0.03151556682320804)	(55, 0.02660907066813853)	(60, 0.02314208468202144)	(65, 0.021310597414260855)	(70, 0.02923901247965274)	(75, 0.023365436787845903)	(80, 0.013252146986734523)	(85, 0.011305358579527382)	(90, 0.022700993507586954)	(95, 0.024753260239115386)	(100, 0.034904438041424214)	(105, 0.014644647969016034)	(110, 0.009612326229722903)	(115, 0.030364894194248506)	(120, 0.031146743502909423)	(125, 0.015651720395906225)	(130, 0.03432676296143843)	(135, 0.054829316893371005)	(140, 0.009375175407412952)	(145, 0.015549750219843957)	(150, 0.016797598555578424)
14340-YK-2_2	(1, 0.04067347091511217)	(2, 0.06375825584223622)	(3, 0.041771521320186356)	(4, 9.355062024061219e-05)	(5, 0.029765468595056785)	(6, 0.019817529515220686)	(7, 0.030653030104589595)	(8, 0.00024206222987258408)	(9, 0.0019119408011675117)	(10, 0.017283710966003705)	(15, 0.03166057028458098)	(20, 0.03344855651392969)	(25, 0.01916431230939061)	(30, 0.01794768649316145)	(35, 0.021313637809418678)	(40, 0.007130662151290063)	(45, 0.024175585159129605)	(50, 0.015093924822721575)	(55, 0.005250060807903156)	(60, 0.005339401650232941)	(65, 0.017837530637828128)	(70, 0.016996744438415628)	(75, 0.035627584335884144)	(80, 0.029256085467846655)	(85, 0.012842395270080641)	(90, 0.02944225120212547)	(95, 0.014614244017437834)	(100, 0.020463730424532714)	(105, 0.018367261024940594)	(110, 0.013087965648212246)	(115, 0.02316149643572137)	(120, 0.002640466256291279)	(125, 0.04637491346567628)	(130, 0.035952906617770876)	(135, 0.04105118154433364)	(140, 0.023935160065111233)	(145, 0.029278303740153798)	(150, 0.03188731360038917)
14340-YK-3_1	(1, 0.002183569269830577)	(2, 0.02086951160546038)	(3, 0.009550415931867)	(4, 0.027129228403459854)	(5, 0.0033725403558497254)	(6, 1.0230152747774699e-05)	(7, 0.0002955377460468246)	(8, 0.00033077493884471523)	(9, 0.0)	(10, 0.0055729325435321985)	(15, 0.0020896792012787785)	(20, 0.01881984366826179)	(25, 0.03500076260105316)	(30, 0.011979054194188713)	(35, 0.01765292424483229)	(40, 0.011613496736001564)	(45, 0.019868093319817103)	(50, 0.03117377612647452)	(55, 0.026376971171406822)	(60, 0.022948960653991386)	(65, 0.0209322565423134)	(70, 0.028950877602746936)	(75, 0.023237223624750905)	(80, 0.013067315109824213)	(85, 0.011276583705508185)	(90, 0.022399942456527475)	(95, 0.024437788883884197)	(100, 0.0344874362698426)	(105, 0.01441678592561956)	(110, 0.009576559655555759)	(115, 0.030038229171471524)	(120, 0.030684547488403154)	(125, 0.015319994744884201)	(130, 0.03400661909069719)	(135, 0.054560132644615206)	(140, 0.009324215887777315)	(145, 0.015248838349105235)	(150, 0.01649668964760602)
14340-YK-3_2	(1, 0.04022268723697282)	(2, 0.06255852073628092)	(3, 0.04123660904264116)	(4, 8.070453834355594e-05)	(5, 0.029344624815172398)	(6, 0.019623706337509154)	(7, 0.030410834068218248)	(8, 0.0002705307059967087)	(9, 0.0018505209637085787)	(10, 0.017052073273446322)	(15, 0.03185874168711996)	(20, 0.033061580313530535)	(25, 0.018858036238520146)	(30, 0.017880033635832886)	(35, 0.021215290768335168)	(40, 0.006951957133932227)	(45, 0.02369553446785121)	(50, 0.01490351385968591)	(55, 0.0052605718796334775)	(60, 0.005384697732973144)	(65, 0.01754675799298316)	(70, 0.01680905031150474)	(75, 0.0351383013213288)	(80, 0.029267557664472497)	(85, 0.012798375760921602)	(90, 0.029019533294520894)	(95, 0.014498854484329486)	(100, 0.020196594891384537)	(105, 0.018104642322828476)	(110, 0.012965468255801924)	(115, 0.02278823358748746)	(120, 0.0026232385012571607)	(125, 0.046006360927109184)	(130, 0.03568822886570362)	(135, 0.04051504226883145)	(140, 0.023728952966827276)	(145, 0.029046131691665106)	(150, 0.031747574027260805)
14340-YK-4_1	(1, 0.002193804362715478)	(2, 0.02090777839817746)	(3, 0.009892400443813692)	(4, 0.0278125255683089)	(5, 0.0032414531444876866)	(6, 4.635614078638093e-06)	(7, 0.0002908847834345404)	(8, 0.0003059505291901142)	(9, 0.0)	(10, 0.005715712158960769)	(15, 0.0020591397737310412)	(20, 0.01900068676622575)	(25, 0.03565273965950951)	(30, 0.011974022945826127)	(35, 0.017601658437292774)	(40, 0.011586717389555915)	(45, 0.02022727025143339)	(50, 0.0315386321647182)	(55, 0.02677136664624679)	(60, 0.023228830367351554)	(65, 0.02127723684024492)	(70, 0.029209467870906492)	(75, 0.023369984816046085)	(80, 0.013351032107885574)	(85, 0.011347287922394258)	(90, 0.02262086958093817)	(95, 0.024726597276159522)	(100, 0.03507305611897582)	(105, 0.014705326760959694)	(110, 0.009517611045555801)	(115, 0.0304735998301511)	(120, 0.031382180189564166)	(125, 0.015670925173540007)	(130, 0.034391389068712086)	(135, 0.054917888208921566)	(140, 0.009368576052927588)	(145, 0.015459309390850178)	(150, 0.01666097645038514)
14340-YK-4_2	(1, 0.04019772748291023)	(2, 0.06360410186947363)	(3, 0.042637219391793525)	(4, 8.228214989582616e-05)	(5, 0.03012569699354931)	(6, 0.019761622817234193)	(7, 0.031013417089608503)	(8, 0.0002074437300190547)	(9, 0.0017545799287645185)	(10, 0.017397459637128767)	(15, 0.031793822719747226)	(20, 0.03359614947352172)	(25, 0.018986779923989835)	(30, 0.018010751379732584)	(35, 0.02140772937655858)	(40, 0.007053550382055723)	(45, 0.024208335622167784)	(50, 0.01515034571250895)	(55, 0.005069043994990756)	(60, 0.005317744690309689)	(65, 0.017734005219237892)	(70, 0.017031246124916355)	(75, 0.03574475659897047)	(80, 0.02953071592655611)	(85, 0.012843432366274702)	(90, 0.02926903551181699)	(95, 0.014671486778185635)	(100, 0.020539015298221802)	(105, 0.018466200462958778)	(110, 0.013219380668052252)	(115, 0.02340475192163587)	(120, 0.0026397504370804623)	(125, 0.04628660657520137)	(130, 0.036108188742735706)	(135, 0.04137470989747644)	(140, 0.02398883929554427)	(145, 0.029527239215997134)	(150, 0.03214856308711501)
14340-YK-5_1	(1, 0.00215505294816984)	(2, 0.020433392284804817)	(3, 0.009554795223585193)	(4, 0.027071919800158047)	(5, 0.003230857216915253)	(6, 6.888821358028257e-06)	(7, 0.00028244167567915854)	(8, 0.0003099969611112716)	(9, 0.0)	(10, 0.005609107977085208)	(15, 0.002056313175371435)	(20, 0.018873303874590016)	(25, 0.035244358204565576)	(30, 0.011938786668220173)	(35, 0.017569249991515268)	(40, 0.011547271987705566)	(45, 0.019894686454607007)	(50, 0.031120020857514055)	(55, 0.0264739701062812)	(60, 0.023024507624937848)	(65, 0.021018023590722815)	(70, 0.028863472608002597)	(75, 0.023299371597123173)	(80, 0.0131399674856817)	(85, 0.011328207468520268)	(90, 0.022557904791620734)	(95, 0.02458069236971643)	(100, 0.03472241517300563)	(105, 0.014597642085040479)	(110, 0.00947580340534647)	(115, 0.030128949091472384)	(120, 0.030999696111127163)	(125, 0.015515233089929843)	(130, 0.034229405191149406)	(135, 0.05465958269265381)	(140, 0.00935892306963859)	(145, 0.015268154030555231)	(150, 0.01648724578354763)
14340-YK-5_2	(1, 0.0402973086706793)	(2, 0.06234957397462076)	(3, 0.04107230107345748)	(4, 9.185095144037677e-05)	(5, 0.029409526514315637)	(6, 0.019650362923775606)	(7, 0.030455479223842927)	(8, 0.0002169978727778901)	(9, 0.0018094637433754225)	(10, 0.01714053567566731)	(15, 0.031638978733152176)	(20, 0.033099408861054176)	(25, 0.018835874611878065)	(30, 0.017700826479453608)	(35, 0.021341568567171544)	(40, 0.006873665951040595)	(45, 0.024018105292144123)	(50, 0.014987549373904877)	(55, 0.005162482725706376)	(60, 0.005402902591101562)	(65, 0.017739403879058566)	(70, 0.016783924356700047)	(75, 0.03555779957635585)	(80, 0.029432948506932934)	(85, 0.012885081095434655)	(90, 0.02901341928622901)	(95, 0.014577894130480797)	(100, 0.020387696436463227)	(105, 0.017983038527754167)	(110, 0.012921821476010804)	(115, 0.022889716353699092)	(120, 0.0026393370896392264)	(125, 0.046057970717641124)	(130, 0.03550865931733525)	(135, 0.04071913416516923)	(140, 0.023663560619584266)	(145, 0.029095625887768147)	(150, 0.031782725472156374)
