Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
14340-YK-1_1	(1, 38.880227063883396)	(2, 38.94655486505754)	(3, 39.04306664608635)	(4, 38.96396157659805)	(5, 38.73970849636082)	(6, 38.67768853450119)	(7, 38.626463506002366)	(8, 38.85865987725075)	(9, 38.986364570219514)	(10, 38.870355091169635)	(15, 39.168235482191406)	(20, 39.25596510697744)	(25, 39.235608055251255)	(30, 39.17632410861521)	(35, 39.19884309755413)	(40, 39.15589715813225)	(45, 39.10063443760487)	(50, 39.06001926743062)	(55, 39.05984783300893)	(60, 39.03663829234334)	(65, 39.00286376511393)	(70, 38.97851446419229)	(75, 38.943424411653005)	(80, 38.93404587802532)	(85, 38.92918549363476)	(90, 38.88748960657685)	(95, 38.895367522325515)	(100, 38.85483621212458)	(105, 38.8495198289538)	(110, 38.794037678878865)	(115, 38.74920137220174)	(120, 38.677799287474514)	(125, 38.58889632938853)	(130, 38.46363938282857)	(135, 38.271178732814214)	(140, 38.12579713593432)	(145, 37.86959451795575)	(150, 37.544382717421556)
14340-YK-1_2	(1, 38.73090882222273)	(2, 38.5087742451372)	(3, 38.739407681486895)	(4, 38.77674301524331)	(5, 38.79389804166637)	(6, 38.88676531649588)	(7, 38.83044500751568)	(8, 38.859194155525174)	(9, 38.89668106140562)	(10, 38.90220187846491)	(15, 38.912122530088524)	(20, 38.925933294113854)	(25, 38.93194548387895)	(30, 38.883821739009285)	(35, 38.83665195299548)	(40, 38.79811442674698)	(45, 38.79551459975936)	(50, 38.76630144793771)	(55, 38.754264063987655)	(60, 38.714103247003514)	(65, 38.65831645737261)	(70, 38.6262853214051)	(75, 38.55487262925913)	(80, 38.54615332353786)	(85, 38.521648953926295)	(90, 38.43489056794462)	(95, 38.383354227360066)	(100, 38.32706379949098)	(105, 38.3148069960122)	(110, 38.23422325235106)	(115, 38.16905774624913)	(120, 38.08296290127305)	(125, 37.974096593259034)	(130, 37.81597681396097)	(135, 37.69618649269832)	(140, 37.5345625457304)	(145, 37.356025852295765)	(150, 36.83184950114136)
14340-YK-2_1	(1, 38.99723491262372)	(2, 39.006541047673394)	(3, 38.774039644414096)	(4, 39.0436190876008)	(5, 38.873378978240126)	(6, 38.864977945441275)	(7, 38.703920308904145)	(8, 38.895679048870846)	(9, 39.00369653582053)	(10, 38.86640372004042)	(15, 39.16716733633318)	(20, 39.25229157155687)	(25, 39.24193878749041)	(30, 39.179656907777805)	(35, 39.20013335173162)	(40, 39.16816480111138)	(45, 39.135786075457936)	(50, 39.11391149409696)	(55, 39.114293234419144)	(60, 39.09247723679533)	(65, 39.05686347222482)	(70, 39.02659398329185)	(75, 38.99351345725672)	(80, 38.98781098564933)	(85, 38.97784008456976)	(90, 38.93043628735008)	(95, 38.935929757516796)	(100, 38.894659501468745)	(105, 38.89672808108968)	(110, 38.85386847484424)	(115, 38.828182561696636)	(120, 38.78454539309971)	(125, 38.737743390648674)	(130, 38.66439424804012)	(135, 38.54237046981122)	(140, 38.48104091904129)	(145, 38.330822253821545)	(150, 38.0793690127603)
14340-YK-2_2	(1, 38.78724074784366)	(2, 38.54145536699908)	(3, 38.78050284627762)	(4, 38.80492473852602)	(5, 38.831488647632234)	(6, 38.9096973520497)	(7, 38.876010089434395)	(8, 38.9056755056411)	(9, 38.93761859879881)	(10, 38.94468950081389)	(15, 38.94779570181675)	(20, 38.955354858551466)	(25, 38.965674273111674)	(30, 38.912576444889325)	(35, 38.88771306855389)	(40, 38.86372309718038)	(45, 38.860251545923994)	(50, 38.826467219862664)	(55, 38.81123252708291)	(60, 38.77427407759089)	(65, 38.72139086384643)	(70, 38.68799575280184)	(75, 38.61948306499897)	(80, 38.60992221967557)	(85, 38.58734333545381)	(90, 38.50776607433532)	(95, 38.46305865390013)	(100, 38.41537354294909)	(105, 38.41185320504425)	(110, 38.346174102381795)	(115, 38.299987618575415)	(120, 38.2359373444721)	(125, 38.15419959024828)	(130, 38.027904190132276)	(135, 37.94170233362022)	(140, 37.81732587890808)	(145, 37.67575108752596)	(150, 37.242345407600055)
14340-YK-3_1	(1, 38.955046151288094)	(2, 38.97618739848421)	(3, 39.0810786095622)	(4, 38.975528031039104)	(5, 38.800118762979935)	(6, 38.880967591944575)	(7, 38.67571767306401)	(8, 38.940550468151116)	(9, 38.987462868239746)	(10, 38.86586691576103)	(15, 39.165963827134696)	(20, 39.24564897167755)	(25, 39.23209488316631)	(30, 39.17473420755975)	(35, 39.195055742169956)	(40, 39.16407680043925)	(45, 39.11994340770435)	(50, 39.09331229680502)	(55, 39.09132224792466)	(60, 39.076182065164566)	(65, 39.04253508141031)	(70, 39.0209147220605)	(75, 38.97702759638265)	(80, 38.96397808401197)	(85, 38.95418117141296)	(90, 38.90887692405587)	(95, 38.92218769406742)	(100, 38.88371663177086)	(105, 38.888688701976164)	(110, 38.84304986042321)	(115, 38.81579459881126)	(120, 38.76376544005696)	(125, 38.70499602694968)	(130, 38.613502689950465)	(135, 38.46773124515759)	(140, 38.36761449865443)	(145, 38.16362857880013)	(150, 37.88229536915313)
14340-YK-3_2	(1, 38.8374918070685)	(2, 38.586489394184674)	(3, 38.80146372116168)	(4, 38.825418851438926)	(5, 38.84339443470142)	(6, 38.925138981740155)	(7, 38.89307342046499)	(8, 38.92002493974838)	(9, 38.95412635825454)	(10, 38.95571789721802)	(15, 38.96027984059967)	(20, 38.96750746852301)	(25, 38.97792022267724)	(30, 38.93125796801022)	(35, 38.907186832347556)	(40, 38.88250891222491)	(45, 38.874971992683484)	(50, 38.83641940743637)	(55, 38.81991160102277)	(60, 38.782093781719865)	(65, 38.72835949520608)	(70, 38.69550447076999)	(75, 38.62822985643708)	(80, 38.61777273297371)	(85, 38.59497614021474)	(90, 38.51435244281157)	(95, 38.46936413894521)	(100, 38.422264829419134)	(105, 38.41411618084392)	(110, 38.34595754036483)	(115, 38.294537596300124)	(120, 38.225300013437874)	(125, 38.13367697856212)	(130, 37.99630217034054)	(135, 37.896779331945105)	(140, 37.75445928834556)	(145, 37.59117858247957)	(150, 37.133911119478114)
14340-YK-4_1	(1, 38.95444447612114)	(2, 38.960850303737026)	(3, 39.039752986668205)	(4, 38.977340909780985)	(5, 38.823000201880994)	(6, 38.84643695112881)	(7, 38.69720349627285)	(8, 38.866022293131664)	(9, 38.982567495120435)	(10, 38.82834698174009)	(15, 39.13836522519929)	(20, 39.22673894052576)	(25, 39.208622518005306)	(30, 39.14721657334017)	(35, 39.17130941727318)	(40, 39.13158427442094)	(45, 39.0911831825484)	(50, 39.04777141926047)	(55, 39.03806919488423)	(60, 39.02228741363562)	(65, 38.98491946895332)	(70, 38.96518175895132)	(75, 38.92937534636729)	(80, 38.91680585097938)	(85, 38.90087860879659)	(90, 38.851353557590436)	(95, 38.86405626893793)	(100, 38.83424993098729)	(105, 38.838142001838946)	(110, 38.79112972232904)	(115, 38.756318872767)	(120, 38.69877205364425)	(125, 38.62885090775754)	(130, 38.52865992741092)	(135, 38.37612384089367)	(140, 38.26112267387783)	(145, 38.04341268577513)	(150, 37.776111840447726)
14340-YK-4_2	(1, 38.710557680598306)	(2, 38.464593828653335)	(3, 38.70982476683441)	(4, 38.749054288371816)	(5, 38.76726011798102)	(6, 38.85495263213644)	(7, 38.80454375938567)	(8, 38.83770005861734)	(9, 38.868136979151096)	(10, 38.8813993134192)	(15, 38.887305257273105)	(20, 38.89902051560544)	(25, 38.90820047779275)	(30, 38.849281034798864)	(35, 38.812416877065594)	(40, 38.784850947623816)	(45, 38.79068626557943)	(50, 38.75612467066859)	(55, 38.74360064370136)	(60, 38.706374595166025)	(65, 38.65212774454429)	(70, 38.61585103964076)	(75, 38.54249221506561)	(80, 38.533831177425114)	(85, 38.50999624283479)	(90, 38.425431015920324)	(95, 38.37756719032881)	(100, 38.328297021409355)	(105, 38.32368887102632)	(110, 38.256462708918434)	(115, 38.20929298077634)	(120, 38.14397754462184)	(125, 38.06112189277685)	(130, 37.930511827421654)	(135, 37.84292939519375)	(140, 37.71586113137261)	(145, 37.57247621524361)	(150, 37.131313011032994)
14340-YK-5_1	(1, 38.92916718696404)	(2, 38.75169246859398)	(3, 38.88645789527127)	(4, 38.98396258276976)	(5, 38.70807652764091)	(6, 38.655531847549284)	(7, 38.72533040739066)	(8, 38.85171640954447)	(9, 38.98501202581544)	(10, 38.81445003301353)	(15, 39.12873470905545)	(20, 39.21933701110667)	(25, 39.2033945861304)	(30, 39.142573960797186)	(35, 39.16627659481152)	(40, 39.12899048410365)	(45, 39.08515251414194)	(50, 39.02927770202881)	(55, 39.02328889829239)	(60, 39.00930982414354)	(65, 38.969307634876124)	(70, 38.95298466911177)	(75, 38.918387419230285)	(80, 38.90403856003978)	(85, 38.889890659249645)	(90, 38.84310858385259)	(95, 38.85838547979745)	(100, 38.82304904101407)	(105, 38.82503164150463)	(110, 38.77278937607807)	(115, 38.735489602541186)	(120, 38.67334850726359)	(125, 38.59798121941966)	(130, 38.492239947108544)	(135, 38.33127892529977)	(140, 38.21726672510531)	(145, 38.0015484922276)	(150, 37.73273103947217)
14340-YK-5_2	(1, 38.746239679454874)	(2, 38.470566420017775)	(3, 38.69267797970342)	(4, 38.71746638151845)	(5, 38.71096375896712)	(6, 38.818549398383155)	(7, 38.76972642699294)	(8, 38.788882080692254)	(9, 38.82410064026084)	(10, 38.82984415373516)	(15, 38.837452393077804)	(20, 38.85450712618717)	(25, 38.86341162126711)	(30, 38.813754836124815)	(35, 38.787873635318746)	(40, 38.76307262466436)	(45, 38.757961364917996)	(50, 38.71669175651948)	(55, 38.70186321262388)	(60, 38.66348284479114)	(65, 38.60409869945023)	(70, 38.56892659350034)	(75, 38.49534152640759)	(80, 38.48635486376277)	(85, 38.46113244553571)	(90, 38.373403443317656)	(95, 38.32225810558239)	(100, 38.26425672809367)	(105, 38.260019026006084)	(110, 38.185874207733875)	(115, 38.137024574308725)	(120, 38.0660375687843)	(125, 37.98259302767694)	(130, 37.845503698447445)	(135, 37.75650643666209)	(140, 37.62513778676039)	(145, 37.478150249970064)	(150, 37.03417955882794)
