Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
14340-YK-1_1	(0.0, 1517.0)	(1.0, 889.5)	(2.0, 202.5)	(3.0, 131.0)	(4.0, 131.0)	(5.0, 142.5)	(6.0, 144.5)	(7.0, 156.0)	(8.0, 157.5)	(9.0, 157.0)	(10.0, 190.0)	(11.0, 228.0)	(12.0, 276.5)	(13.0, 392.5)	(14.0, 660.0)	(15.0, 1194.5)	(16.0, 2361.0)	(17.0, 4207.5)	(18.0, 7110.5)	(19.0, 12514.5)	(20.0, 22267.0)	(21.0, 37816.5)	(22.0, 60052.5)	(23.0, 90027.5)	(24.0, 129214.5)	(25.0, 178709.0)	(26.0, 241264.5)	(27.0, 322246.0)	(28.0, 421565.0)	(29.0, 528795.5)	(30.0, 644946.0)	(31.0, 768236.0)	(32.0, 878507.0)	(33.0, 990795.5)	(34.0, 1127444.5)	(35.0, 1265304.5)	(36.0, 1404714.0)	(37.0, 1570061.0)	(38.0, 1742274.5)	(39.0, 1887026.0)	(40.0, 2017953.0)	(41.0, 2148920.5)	(42.0, 2284907.5)	(43.0, 2401168.0)	(44.0, 2441905.0)	(45.0, 2478236.0)	(46.0, 2567706.0)	(47.0, 2616602.0)	(48.0, 2613522.0)	(49.0, 2609661.0)	(50.0, 2586174.5)	(51.0, 2579340.5)	(52.0, 2555651.0)	(53.0, 2497391.0)	(54.0, 2465047.0)	(55.0, 2424543.5)	(56.0, 2327962.0)	(57.0, 2231559.5)	(58.0, 2173284.5)	(59.0, 2112916.5)	(60.0, 2011129.5)	(61.0, 1900660.5)	(62.0, 1776124.5)	(63.0, 1631617.0)	(64.0, 1464199.5)	(65.0, 1262297.5)	(66.0, 1094503.5)	(67.0, 968011.0)	(68.0, 857112.5)	(69.0, 726953.0)	(70.0, 590966.0)	(71.0, 482778.0)	(72.0, 409161.0)	(73.0, 342741.0)	(74.0, 279049.5)	(75.0, 241273.0)	(76.0, 226985.0)	(77.0, 203768.5)	(78.0, 173669.5)	(79.0, 144374.5)	(80.0, 118120.5)	(81.0, 101311.0)	(82.0, 81602.0)	(83.0, 63221.0)	(84.0, 50543.5)	(85.0, 43208.0)	(86.0, 37886.0)	(87.0, 27795.0)	(88.0, 17503.0)	(89.0, 13851.0)	(90.0, 11160.0)	(91.0, 6924.0)	(92.0, 3247.5)	(93.0, 1773.0)	(94.0, 843.0)	(95.0, 384.0)	(96.0, 265.0)	(97.0, 408.0)	(98.0, 1487.0)	(99.0, 2136.5)	(100.0, 975.5)
14340-YK-1_2	(0.0, 2059.0)	(1.0, 1192.5)	(2.0, 262.5)	(3.0, 183.0)	(4.0, 159.0)	(5.0, 148.0)	(6.0, 139.5)	(7.0, 141.5)	(8.0, 149.5)	(9.0, 195.5)	(10.0, 221.5)	(11.0, 251.0)	(12.0, 319.5)	(13.0, 422.5)	(14.0, 700.5)	(15.0, 1246.5)	(16.0, 2203.5)	(17.0, 3901.0)	(18.0, 7080.5)	(19.0, 12657.5)	(20.0, 21778.5)	(21.0, 37126.5)	(22.0, 58645.0)	(23.0, 88897.0)	(24.0, 128493.0)	(25.0, 180247.5)	(26.0, 245670.5)	(27.0, 322276.0)	(28.0, 409357.5)	(29.0, 505732.5)	(30.0, 604754.5)	(31.0, 706424.0)	(32.0, 809567.0)	(33.0, 924880.0)	(34.0, 1053102.5)	(35.0, 1184062.0)	(36.0, 1332188.0)	(37.0, 1494783.0)	(38.0, 1647716.5)	(39.0, 1778964.5)	(40.0, 1894940.5)	(41.0, 1997037.5)	(42.0, 2093955.0)	(43.0, 2185400.5)	(44.0, 2253761.5)	(45.0, 2343101.5)	(46.0, 2434497.5)	(47.0, 2480548.5)	(48.0, 2507791.5)	(49.0, 2513173.5)	(50.0, 2492798.0)	(51.0, 2488400.0)	(52.0, 2522088.0)	(53.0, 2540328.0)	(54.0, 2496863.0)	(55.0, 2444519.0)	(56.0, 2361104.5)	(57.0, 2216503.0)	(58.0, 2123530.5)	(59.0, 2089856.5)	(60.0, 2011002.0)	(61.0, 1914243.5)	(62.0, 1793257.5)	(63.0, 1637268.5)	(64.0, 1493984.5)	(65.0, 1351209.0)	(66.0, 1221932.0)	(67.0, 1100998.5)	(68.0, 970678.5)	(69.0, 839657.5)	(70.0, 731615.5)	(71.0, 637872.0)	(72.0, 546410.0)	(73.0, 471621.5)	(74.0, 417424.0)	(75.0, 354783.0)	(76.0, 300597.5)	(77.0, 270972.0)	(78.0, 243442.5)	(79.0, 219280.0)	(80.0, 190031.0)	(81.0, 156514.5)	(82.0, 129454.5)	(83.0, 103767.0)	(84.0, 83517.0)	(85.0, 66447.5)	(86.0, 51433.0)	(87.0, 38243.5)	(88.0, 28121.5)	(89.0, 22964.0)	(90.0, 19413.0)	(91.0, 15982.5)	(92.0, 11595.0)	(93.0, 6980.5)	(94.0, 4533.0)	(95.0, 3806.5)	(96.0, 4290.0)	(97.0, 6244.0)	(98.0, 10474.5)	(99.0, 22132.0)	(100.0, 156812.5)
14340-YK-2_1	(0.0, 1055.0)	(1.0, 635.0)	(2.0, 165.5)	(3.0, 107.5)	(4.0, 105.5)	(5.0, 114.5)	(6.0, 115.5)	(7.0, 125.5)	(8.0, 131.0)	(9.0, 143.5)	(10.0, 183.5)	(11.0, 227.0)	(12.0, 284.5)	(13.0, 396.5)	(14.0, 674.0)	(15.0, 1215.5)	(16.0, 2345.0)	(17.0, 4310.5)	(18.0, 7647.5)	(19.0, 13538.0)	(20.0, 24075.0)	(21.0, 40378.0)	(22.0, 64286.5)	(23.0, 96561.5)	(24.0, 138596.5)	(25.0, 192235.5)	(26.0, 258850.5)	(27.0, 345138.0)	(28.0, 451759.0)	(29.0, 565334.5)	(30.0, 689446.5)	(31.0, 823887.0)	(32.0, 945033.0)	(33.0, 1068553.5)	(34.0, 1219039.5)	(35.0, 1374417.0)	(36.0, 1531444.0)	(37.0, 1711933.5)	(38.0, 1904105.0)	(39.0, 2072423.5)	(40.0, 2220131.0)	(41.0, 2364065.5)	(42.0, 2516154.5)	(43.0, 2643293.0)	(44.0, 2683396.5)	(45.0, 2718888.0)	(46.0, 2804772.5)	(47.0, 2842094.0)	(48.0, 2831452.5)	(49.0, 2825112.0)	(50.0, 2796711.5)	(51.0, 2782219.0)	(52.0, 2745734.5)	(53.0, 2669706.5)	(54.0, 2627374.0)	(55.0, 2577925.5)	(56.0, 2467670.0)	(57.0, 2365216.0)	(58.0, 2303809.0)	(59.0, 2225606.0)	(60.0, 2097326.5)	(61.0, 1988177.5)	(62.0, 1865075.0)	(63.0, 1702275.0)	(64.0, 1521248.0)	(65.0, 1310187.5)	(66.0, 1136662.0)	(67.0, 1004270.5)	(68.0, 885999.0)	(69.0, 747166.0)	(70.0, 604510.0)	(71.0, 491659.5)	(72.0, 415811.5)	(73.0, 348005.5)	(74.0, 283156.0)	(75.0, 245013.0)	(76.0, 228891.5)	(77.0, 204626.0)	(78.0, 172064.0)	(79.0, 140871.5)	(80.0, 115115.0)	(81.0, 98564.0)	(82.0, 79432.5)	(83.0, 60959.0)	(84.0, 48425.0)	(85.0, 41123.0)	(86.0, 35364.0)	(87.0, 25654.5)	(88.0, 16219.0)	(89.0, 12961.5)	(90.0, 10650.0)	(91.0, 6549.5)	(92.0, 2914.5)	(93.0, 1542.0)	(94.0, 747.0)	(95.0, 378.5)	(96.0, 236.5)	(97.0, 293.5)	(98.0, 1071.5)	(99.0, 1493.5)	(100.0, 660.5)
14340-YK-2_2	(0.0, 1483.0)	(1.0, 853.0)	(2.0, 190.0)	(3.0, 136.5)	(4.0, 107.5)	(5.0, 101.0)	(6.0, 105.5)	(7.0, 119.0)	(8.0, 135.0)	(9.0, 151.0)	(10.0, 188.0)	(11.0, 243.0)	(12.0, 284.5)	(13.0, 412.5)	(14.0, 712.0)	(15.0, 1367.5)	(16.0, 2637.5)	(17.0, 4500.0)	(18.0, 8038.5)	(19.0, 14213.0)	(20.0, 24595.5)	(21.0, 41077.0)	(22.0, 64149.0)	(23.0, 97166.0)	(24.0, 139440.5)	(25.0, 194993.5)	(26.0, 265107.5)	(27.0, 347697.0)	(28.0, 440542.0)	(29.0, 542107.5)	(30.0, 649688.5)	(31.0, 760784.0)	(32.0, 874772.0)	(33.0, 1003086.5)	(34.0, 1146594.0)	(35.0, 1290423.0)	(36.0, 1455835.0)	(37.0, 1640593.5)	(38.0, 1808798.0)	(39.0, 1952833.0)	(40.0, 2083042.5)	(41.0, 2196145.5)	(42.0, 2297712.5)	(43.0, 2396730.0)	(44.0, 2465836.0)	(45.0, 2554110.0)	(46.0, 2645712.0)	(47.0, 2680761.5)	(48.0, 2696063.0)	(49.0, 2695475.0)	(50.0, 2672067.0)	(51.0, 2664342.5)	(52.0, 2694303.5)	(53.0, 2705975.0)	(54.0, 2656818.0)	(55.0, 2601523.0)	(56.0, 2504049.0)	(57.0, 2343695.5)	(58.0, 2246574.0)	(59.0, 2207915.5)	(60.0, 2119003.5)	(61.0, 2014376.0)	(62.0, 1884233.0)	(63.0, 1718075.5)	(64.0, 1568565.0)	(65.0, 1418452.0)	(66.0, 1280454.0)	(67.0, 1151120.5)	(68.0, 1011011.0)	(69.0, 874051.5)	(70.0, 762196.0)	(71.0, 664722.5)	(72.0, 572318.0)	(73.0, 493983.5)	(74.0, 438685.5)	(75.0, 375356.0)	(76.0, 317033.5)	(77.0, 284483.0)	(78.0, 256352.0)	(79.0, 230146.0)	(80.0, 197684.5)	(81.0, 160675.5)	(82.0, 130548.0)	(83.0, 104453.5)	(84.0, 83845.5)	(85.0, 66375.5)	(86.0, 51422.5)	(87.0, 37918.5)	(88.0, 27654.0)	(89.0, 22502.0)	(90.0, 18952.0)	(91.0, 15983.5)	(92.0, 11743.0)	(93.0, 6900.0)	(94.0, 4464.0)	(95.0, 3803.5)	(96.0, 4291.5)	(97.0, 6222.0)	(98.0, 10415.0)	(99.0, 21758.0)	(100.0, 161889.0)
14340-YK-3_1	(0.0, 1033.0)	(1.0, 622.0)	(2.0, 156.5)	(3.0, 100.5)	(4.0, 96.5)	(5.0, 105.0)	(6.0, 119.0)	(7.0, 123.5)	(8.0, 123.0)	(9.0, 137.5)	(10.0, 166.5)	(11.0, 244.5)	(12.0, 333.0)	(13.0, 426.0)	(14.0, 670.0)	(15.0, 1220.5)	(16.0, 2469.5)	(17.0, 4594.5)	(18.0, 7959.5)	(19.0, 13796.5)	(20.0, 24634.5)	(21.0, 41710.0)	(22.0, 66267.0)	(23.0, 99259.5)	(24.0, 142295.5)	(25.0, 197348.5)	(26.0, 265820.5)	(27.0, 354870.5)	(28.0, 464432.0)	(29.0, 580788.0)	(30.0, 707879.5)	(31.0, 842955.5)	(32.0, 963896.0)	(33.0, 1091582.5)	(34.0, 1246220.0)	(35.0, 1400610.5)	(36.0, 1558282.5)	(37.0, 1741080.0)	(38.0, 1935545.0)	(39.0, 2107172.0)	(40.0, 2256160.5)	(41.0, 2400252.5)	(42.0, 2549297.0)	(43.0, 2678533.5)	(44.0, 2726686.0)	(45.0, 2764004.0)	(46.0, 2855057.5)	(47.0, 2902909.5)	(48.0, 2894077.5)	(49.0, 2885544.5)	(50.0, 2855228.5)	(51.0, 2842603.5)	(52.0, 2814747.5)	(53.0, 2744914.0)	(54.0, 2704386.5)	(55.0, 2654510.5)	(56.0, 2546443.0)	(57.0, 2444278.5)	(58.0, 2379986.5)	(59.0, 2306772.0)	(60.0, 2180812.0)	(61.0, 2046827.5)	(62.0, 1908661.5)	(63.0, 1764511.0)	(64.0, 1593128.5)	(65.0, 1379394.5)	(66.0, 1202301.5)	(67.0, 1062002.0)	(68.0, 937304.5)	(69.0, 794890.5)	(70.0, 646369.0)	(71.0, 528637.5)	(72.0, 450820.0)	(73.0, 379882.0)	(74.0, 311486.0)	(75.0, 270110.0)	(76.0, 251748.0)	(77.0, 225195.5)	(78.0, 189172.5)	(79.0, 154952.0)	(80.0, 127918.0)	(81.0, 109960.5)	(82.0, 88258.0)	(83.0, 67944.5)	(84.0, 53883.5)	(85.0, 45487.0)	(86.0, 39184.0)	(87.0, 28434.5)	(88.0, 17817.0)	(89.0, 13775.5)	(90.0, 11120.0)	(91.0, 6965.0)	(92.0, 3252.0)	(93.0, 1728.5)	(94.0, 831.5)	(95.0, 416.5)	(96.0, 275.0)	(97.0, 402.5)	(98.0, 1925.5)	(99.0, 2965.0)	(100.0, 1392.0)
14340-YK-3_2	(0.0, 1387.0)	(1.0, 826.5)	(2.0, 224.0)	(3.0, 159.5)	(4.0, 135.5)	(5.0, 128.0)	(6.0, 112.5)	(7.0, 115.5)	(8.0, 138.5)	(9.0, 169.5)	(10.0, 214.5)	(11.0, 282.5)	(12.0, 352.5)	(13.0, 472.5)	(14.0, 753.0)	(15.0, 1347.0)	(16.0, 2527.5)	(17.0, 4450.0)	(18.0, 7929.0)	(19.0, 14328.5)	(20.0, 25006.0)	(21.0, 42119.5)	(22.0, 65895.5)	(23.0, 99963.0)	(24.0, 143932.5)	(25.0, 201539.0)	(26.0, 273690.5)	(27.0, 357714.0)	(28.0, 453184.5)	(29.0, 558719.5)	(30.0, 669362.0)	(31.0, 782239.0)	(32.0, 897106.0)	(33.0, 1026117.0)	(34.0, 1171001.0)	(35.0, 1317798.5)	(36.0, 1482717.0)	(37.0, 1664638.5)	(38.0, 1832801.5)	(39.0, 1982115.5)	(40.0, 2115316.5)	(41.0, 2228529.0)	(42.0, 2334256.5)	(43.0, 2432018.0)	(44.0, 2504407.5)	(45.0, 2600051.0)	(46.0, 2691894.0)	(47.0, 2733146.5)	(48.0, 2756442.5)	(49.0, 2755259.5)	(50.0, 2731930.5)	(51.0, 2725455.0)	(52.0, 2760789.5)	(53.0, 2784759.5)	(54.0, 2737248.5)	(55.0, 2677279.0)	(56.0, 2582479.5)	(57.0, 2421357.5)	(58.0, 2320573.5)	(59.0, 2283193.5)	(60.0, 2196863.0)	(61.0, 2095648.5)	(62.0, 1965718.5)	(63.0, 1794257.0)	(64.0, 1638037.0)	(65.0, 1483698.0)	(66.0, 1343041.5)	(67.0, 1210896.0)	(68.0, 1066922.5)	(69.0, 922066.5)	(70.0, 801820.5)	(71.0, 699601.0)	(72.0, 603579.5)	(73.0, 522639.5)	(74.0, 464651.0)	(75.0, 396818.0)	(76.0, 336558.5)	(77.0, 302751.0)	(78.0, 272420.5)	(79.0, 243784.0)	(80.0, 209341.0)	(81.0, 171492.0)	(82.0, 140496.0)	(83.0, 112964.5)	(84.0, 90907.0)	(85.0, 72156.5)	(86.0, 55643.0)	(87.0, 41017.5)	(88.0, 30140.0)	(89.0, 24646.0)	(90.0, 20792.0)	(91.0, 17186.0)	(92.0, 12525.5)	(93.0, 7435.5)	(94.0, 4722.0)	(95.0, 3909.0)	(96.0, 4393.5)	(97.0, 6297.0)	(98.0, 10335.0)	(99.0, 21416.5)	(100.0, 155590.0)
14340-YK-4_1	(0.0, 1411.0)	(1.0, 849.0)	(2.0, 200.0)	(3.0, 117.0)	(4.0, 122.0)	(5.0, 130.5)	(6.0, 147.5)	(7.0, 152.5)	(8.0, 152.5)	(9.0, 167.5)	(10.0, 192.0)	(11.0, 237.5)	(12.0, 302.5)	(13.0, 436.5)	(14.0, 735.0)	(15.0, 1310.0)	(16.0, 2548.0)	(17.0, 4590.5)	(18.0, 7895.0)	(19.0, 13754.5)	(20.0, 24541.5)	(21.0, 41531.0)	(22.0, 65746.0)	(23.0, 98624.0)	(24.0, 141141.0)	(25.0, 194962.5)	(26.0, 263307.0)	(27.0, 352173.0)	(28.0, 462718.5)	(29.0, 580184.5)	(30.0, 708157.5)	(31.0, 846784.0)	(32.0, 970976.5)	(33.0, 1098360.5)	(34.0, 1251578.5)	(35.0, 1407941.0)	(36.0, 1568794.5)	(37.0, 1750805.0)	(38.0, 1943010.5)	(39.0, 2110610.5)	(40.0, 2259608.5)	(41.0, 2404986.5)	(42.0, 2549106.0)	(43.0, 2672799.0)	(44.0, 2711652.0)	(45.0, 2745542.5)	(46.0, 2830395.5)	(47.0, 2848897.5)	(48.0, 2826944.0)	(49.0, 2827495.0)	(50.0, 2807218.0)	(51.0, 2788933.0)	(52.0, 2744629.5)	(53.0, 2674362.5)	(54.0, 2639557.5)	(55.0, 2596202.5)	(56.0, 2488069.5)	(57.0, 2377861.5)	(58.0, 2304530.5)	(59.0, 2225117.5)	(60.0, 2113027.0)	(61.0, 1991588.5)	(62.0, 1857504.5)	(63.0, 1717606.5)	(64.0, 1557256.5)	(65.0, 1355569.0)	(66.0, 1174274.0)	(67.0, 1026892.5)	(68.0, 893447.5)	(69.0, 752905.5)	(70.0, 612270.5)	(71.0, 496228.0)	(72.0, 415036.5)	(73.0, 344524.0)	(74.0, 280986.0)	(75.0, 240184.0)	(76.0, 218332.0)	(77.0, 192757.5)	(78.0, 162567.5)	(79.0, 133998.0)	(80.0, 109139.5)	(81.0, 91158.0)	(82.0, 73049.0)	(83.0, 56932.0)	(84.0, 44945.5)	(85.0, 37116.5)	(86.0, 30915.5)	(87.0, 22256.5)	(88.0, 13984.5)	(89.0, 10402.0)	(90.0, 7995.0)	(91.0, 4800.5)	(92.0, 2252.5)	(93.0, 1210.5)	(94.0, 549.5)	(95.0, 264.0)	(96.0, 184.5)	(97.0, 294.0)	(98.0, 1142.5)	(99.0, 1596.5)	(100.0, 687.5)
14340-YK-4_2	(0.0, 1744.0)	(1.0, 1002.0)	(2.0, 222.0)	(3.0, 164.5)	(4.0, 130.5)	(5.0, 124.5)	(6.0, 132.5)	(7.0, 132.5)	(8.0, 135.5)	(9.0, 150.0)	(10.0, 187.0)	(11.0, 261.0)	(12.0, 326.5)	(13.0, 473.5)	(14.0, 790.5)	(15.0, 1341.0)	(16.0, 2549.0)	(17.0, 4526.5)	(18.0, 8053.0)	(19.0, 14391.5)	(20.0, 24539.5)	(21.0, 41241.5)	(22.0, 65076.5)	(23.0, 97914.5)	(24.0, 140688.5)	(25.0, 197185.0)	(26.0, 269110.0)	(27.0, 353738.5)	(28.0, 448139.5)	(29.0, 551805.0)	(30.0, 662221.5)	(31.0, 778056.0)	(32.0, 895478.5)	(33.0, 1025524.5)	(34.0, 1171915.5)	(35.0, 1320837.0)	(36.0, 1487058.5)	(37.0, 1670719.0)	(38.0, 1840575.5)	(39.0, 1989344.0)	(40.0, 2123416.0)	(41.0, 2237599.0)	(42.0, 2340169.0)	(43.0, 2436601.5)	(44.0, 2502445.0)	(45.0, 2580597.5)	(46.0, 2664495.5)	(47.0, 2696684.5)	(48.0, 2705464.0)	(49.0, 2701169.0)	(50.0, 2679163.0)	(51.0, 2669491.5)	(52.0, 2696491.0)	(53.0, 2715170.0)	(54.0, 2664309.0)	(55.0, 2595838.5)	(56.0, 2493470.5)	(57.0, 2344166.5)	(58.0, 2254789.0)	(59.0, 2213240.0)	(60.0, 2130646.0)	(61.0, 2029462.0)	(62.0, 1905889.0)	(63.0, 1746316.5)	(64.0, 1593365.0)	(65.0, 1441848.0)	(66.0, 1297642.5)	(67.0, 1165308.0)	(68.0, 1027670.0)	(69.0, 889377.0)	(70.0, 771257.5)	(71.0, 667255.5)	(72.0, 572854.0)	(73.0, 493374.0)	(74.0, 435242.0)	(75.0, 373138.5)	(76.0, 316844.5)	(77.0, 281240.5)	(78.0, 250663.5)	(79.0, 223502.5)	(80.0, 190740.5)	(81.0, 154374.0)	(82.0, 124917.5)	(83.0, 99920.5)	(84.0, 79605.5)	(85.0, 61593.5)	(86.0, 45951.0)	(87.0, 33302.0)	(88.0, 24145.5)	(89.0, 18931.5)	(90.0, 15373.0)	(91.0, 12414.0)	(92.0, 9089.5)	(93.0, 5910.5)	(94.0, 4383.0)	(95.0, 4109.0)	(96.0, 5070.5)	(97.0, 7504.0)	(98.0, 12464.5)	(99.0, 26380.5)	(100.0, 188001.5)
14340-YK-5_1	(0.0, 1225.0)	(1.0, 741.5)	(2.0, 200.0)	(3.0, 114.0)	(4.0, 111.5)	(5.0, 132.5)	(6.0, 131.5)	(7.0, 143.5)	(8.0, 156.5)	(9.0, 171.5)	(10.0, 210.0)	(11.0, 257.0)	(12.0, 289.5)	(13.0, 357.0)	(14.0, 570.5)	(15.0, 1096.0)	(16.0, 2222.5)	(17.0, 4117.0)	(18.0, 7153.0)	(19.0, 12537.0)	(20.0, 22559.5)	(21.0, 38573.5)	(22.0, 60912.5)	(23.0, 91089.0)	(24.0, 131569.0)	(25.0, 183121.0)	(26.0, 247443.0)	(27.0, 331927.0)	(28.0, 438821.5)	(29.0, 554452.0)	(30.0, 682088.0)	(31.0, 817948.0)	(32.0, 940434.0)	(33.0, 1068839.0)	(34.0, 1222149.5)	(35.0, 1380465.0)	(36.0, 1542645.5)	(37.0, 1726922.5)	(38.0, 1921950.5)	(39.0, 2096172.0)	(40.0, 2254295.0)	(41.0, 2405451.5)	(42.0, 2556949.5)	(43.0, 2686594.0)	(44.0, 2732288.5)	(45.0, 2770511.5)	(46.0, 2858921.5)	(47.0, 2886791.5)	(48.0, 2870729.5)	(49.0, 2875010.0)	(50.0, 2857575.0)	(51.0, 2843538.5)	(52.0, 2802234.5)	(53.0, 2733817.0)	(54.0, 2701446.0)	(55.0, 2655245.0)	(56.0, 2545433.5)	(57.0, 2432124.0)	(58.0, 2351958.5)	(59.0, 2263434.0)	(60.0, 2138527.0)	(61.0, 2007581.5)	(62.0, 1875808.0)	(63.0, 1746826.0)	(64.0, 1600789.5)	(65.0, 1409362.0)	(66.0, 1227149.5)	(67.0, 1070601.0)	(68.0, 925321.5)	(69.0, 774890.5)	(70.0, 627955.5)	(71.0, 507731.0)	(72.0, 423987.5)	(73.0, 350185.5)	(74.0, 284581.0)	(75.0, 244537.5)	(76.0, 223149.0)	(77.0, 197636.5)	(78.0, 167782.5)	(79.0, 139098.0)	(80.0, 113168.5)	(81.0, 93680.0)	(82.0, 74253.5)	(83.0, 58051.0)	(84.0, 46827.0)	(85.0, 39612.0)	(86.0, 33074.0)	(87.0, 23481.5)	(88.0, 14920.5)	(89.0, 11604.0)	(90.0, 9099.5)	(91.0, 5649.5)	(92.0, 2698.0)	(93.0, 1456.5)	(94.0, 738.0)	(95.0, 381.5)	(96.0, 314.0)	(97.0, 632.0)	(98.0, 2902.0)	(99.0, 4072.0)	(100.0, 1706.0)
14340-YK-5_2	(0.0, 1716.0)	(1.0, 986.5)	(2.0, 210.5)	(3.0, 140.5)	(4.0, 112.5)	(5.0, 110.5)	(6.0, 114.0)	(7.0, 112.0)	(8.0, 119.5)	(9.0, 130.5)	(10.0, 161.5)	(11.0, 210.5)	(12.0, 274.5)	(13.0, 408.5)	(14.0, 687.0)	(15.0, 1273.0)	(16.0, 2397.5)	(17.0, 4133.0)	(18.0, 7285.0)	(19.0, 12898.0)	(20.0, 22169.0)	(21.0, 37378.5)	(22.0, 59235.0)	(23.0, 89602.0)	(24.0, 129243.5)	(25.0, 182625.0)	(26.0, 250170.5)	(27.0, 330727.0)	(28.0, 423057.5)	(29.0, 525542.5)	(30.0, 634318.0)	(31.0, 747598.0)	(32.0, 863019.0)	(33.0, 992856.5)	(34.0, 1137568.5)	(35.0, 1286071.5)	(36.0, 1453032.0)	(37.0, 1635934.0)	(38.0, 1809436.0)	(39.0, 1963013.0)	(40.0, 2100829.5)	(41.0, 2220244.0)	(42.0, 2329354.0)	(43.0, 2430812.0)	(44.0, 2505497.0)	(45.0, 2597542.0)	(46.0, 2693452.5)	(47.0, 2733377.0)	(48.0, 2744863.5)	(49.0, 2745710.0)	(50.0, 2733161.5)	(51.0, 2727162.0)	(52.0, 2757112.0)	(53.0, 2778373.5)	(54.0, 2729015.0)	(55.0, 2666495.0)	(56.0, 2563336.0)	(57.0, 2407357.0)	(58.0, 2315845.0)	(59.0, 2274704.0)	(60.0, 2189034.0)	(61.0, 2085072.5)	(62.0, 1953542.0)	(63.0, 1787327.5)	(64.0, 1631315.5)	(65.0, 1475267.5)	(66.0, 1329379.5)	(67.0, 1191826.0)	(68.0, 1050297.0)	(69.0, 907003.0)	(70.0, 782412.0)	(71.0, 678234.0)	(72.0, 584994.0)	(73.0, 505792.0)	(74.0, 446170.5)	(75.0, 380076.0)	(76.0, 321937.0)	(77.0, 287183.5)	(78.0, 257139.0)	(79.0, 231096.0)	(80.0, 197571.0)	(81.0, 158770.0)	(82.0, 128853.5)	(83.0, 103900.0)	(84.0, 83633.0)	(85.0, 65100.5)	(86.0, 48826.5)	(87.0, 35555.5)	(88.0, 26061.5)	(89.0, 20910.5)	(90.0, 17174.5)	(91.0, 13831.5)	(92.0, 10035.5)	(93.0, 6406.5)	(94.0, 4564.0)	(95.0, 4109.0)	(96.0, 4829.5)	(97.0, 7145.5)	(98.0, 11943.5)	(99.0, 25124.0)	(100.0, 203166.0)
