Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
14340-YK-1_1	(12.0, 12.0)	(13.0, 208.0)	(14.0, 1341.0)	(15.0, 3840.0)	(16.0, 7602.0)	(17.0, 14137.0)	(18.0, 23713.0)	(19.0, 34694.0)	(20.0, 45688.0)	(21.0, 56455.0)	(22.0, 66199.0)	(23.0, 75826.0)	(24.0, 86850.0)	(25.0, 105400.0)	(26.0, 127760.0)	(27.0, 148359.0)	(28.0, 181519.0)	(29.0, 218100.0)	(30.0, 257436.0)	(31.0, 341799.0)	(32.0, 466709.0)	(33.0, 685129.0)	(34.0, 976008.0)	(35.0, 1294335.0)	(36.0, 2157213.0)	(37.0, 3843454.0)	(38.0, 10569738.0)	(39.0, 48839947.0)	(40.0, 9220304.0)			
14340-YK-1_2	(10.0, 25.0)	(11.0, 265.0)	(12.0, 2364.0)	(13.0, 14858.0)	(14.0, 44675.0)	(15.0, 74776.0)	(16.0, 88313.0)	(17.0, 91473.0)	(18.0, 97099.0)	(19.0, 108197.0)	(20.0, 121339.0)	(21.0, 128692.0)	(22.0, 133869.0)	(23.0, 140184.0)	(24.0, 150615.0)	(25.0, 174734.0)	(26.0, 200386.0)	(27.0, 226801.0)	(28.0, 273183.0)	(29.0, 320654.0)	(30.0, 375159.0)	(31.0, 474320.0)	(32.0, 571667.0)	(33.0, 741394.0)	(34.0, 1033763.0)	(35.0, 1431017.0)	(36.0, 2586805.0)	(37.0, 4707511.0)	(38.0, 12941458.0)	(39.0, 44673815.0)	(40.0, 7920364.0)	
14340-YK-2_1	(12.0, 7.0)	(13.0, 225.0)	(14.0, 1611.0)	(15.0, 4165.0)	(16.0, 7803.0)	(17.0, 13698.0)	(18.0, 22963.0)	(19.0, 34201.0)	(20.0, 45271.0)	(21.0, 57184.0)	(22.0, 66904.0)	(23.0, 77306.0)	(24.0, 88336.0)	(25.0, 106771.0)	(26.0, 131152.0)	(27.0, 151509.0)	(28.0, 185776.0)	(29.0, 223365.0)	(30.0, 258881.0)	(31.0, 330828.0)	(32.0, 411472.0)	(33.0, 539336.0)	(34.0, 791938.0)	(35.0, 1133251.0)	(36.0, 2100846.0)	(37.0, 3842489.0)	(38.0, 10997685.0)	(39.0, 53519603.0)	(40.0, 10370624.0)			
14340-YK-2_2	(9.0, 2.0)	(10.0, 26.0)	(11.0, 318.0)	(12.0, 2472.0)	(13.0, 14656.0)	(14.0, 44444.0)	(15.0, 74602.0)	(16.0, 89507.0)	(17.0, 91202.0)	(18.0, 93658.0)	(19.0, 98676.0)	(20.0, 103924.0)	(21.0, 111135.0)	(22.0, 123575.0)	(23.0, 136575.0)	(24.0, 151748.0)	(25.0, 178023.0)	(26.0, 203080.0)	(27.0, 228266.0)	(28.0, 275677.0)	(29.0, 322877.0)	(30.0, 375865.0)	(31.0, 474671.0)	(32.0, 568205.0)	(33.0, 732961.0)	(34.0, 1019753.0)	(35.0, 1405882.0)	(36.0, 2553635.0)	(37.0, 4700002.0)	(38.0, 13152870.0)	(39.0, 48758708.0)	(40.0, 9428205.0)
14340-YK-3_1	(12.0, 9.0)	(13.0, 169.0)	(14.0, 1114.0)	(15.0, 3313.0)	(16.0, 6860.0)	(17.0, 12806.0)	(18.0, 22618.0)	(19.0, 33524.0)	(20.0, 44841.0)	(21.0, 55650.0)	(22.0, 66139.0)	(23.0, 76694.0)	(24.0, 88327.0)	(25.0, 108293.0)	(26.0, 132767.0)	(27.0, 154285.0)	(28.0, 190551.0)	(29.0, 230535.0)	(30.0, 272046.0)	(31.0, 365567.0)	(32.0, 507023.0)	(33.0, 658973.0)	(34.0, 909945.0)	(35.0, 1238595.0)	(36.0, 2188690.0)	(37.0, 4022512.0)	(38.0, 11381070.0)	(39.0, 54802316.0)	(40.0, 10399994.0)			
14340-YK-3_2	(10.0, 26.0)	(11.0, 296.0)	(12.0, 2399.0)	(13.0, 15499.0)	(14.0, 46797.0)	(15.0, 76496.0)	(16.0, 89878.0)	(17.0, 89372.0)	(18.0, 91008.0)	(19.0, 96208.0)	(20.0, 102311.0)	(21.0, 111513.0)	(22.0, 126106.0)	(23.0, 140895.0)	(24.0, 155697.0)	(25.0, 180754.0)	(26.0, 207583.0)	(27.0, 234327.0)	(28.0, 281791.0)	(29.0, 332167.0)	(30.0, 388625.0)	(31.0, 490035.0)	(32.0, 588743.0)	(33.0, 760997.0)	(34.0, 1065061.0)	(35.0, 1463354.0)	(36.0, 2641975.0)	(37.0, 4868632.0)	(38.0, 13672346.0)	(39.0, 50332815.0)	(40.0, 9321520.0)	
14340-YK-4_1	(12.0, 15.0)	(13.0, 252.0)	(14.0, 1673.0)	(15.0, 4696.0)	(16.0, 8485.0)	(17.0, 14741.0)	(18.0, 24318.0)	(19.0, 35751.0)	(20.0, 46508.0)	(21.0, 57380.0)	(22.0, 68037.0)	(23.0, 79930.0)	(24.0, 92375.0)	(25.0, 112689.0)	(26.0, 137662.0)	(27.0, 159674.0)	(28.0, 197125.0)	(29.0, 238518.0)	(30.0, 287161.0)	(31.0, 418179.0)	(32.0, 583482.0)	(33.0, 666626.0)	(34.0, 954728.0)	(35.0, 1267364.0)	(36.0, 2232986.0)	(37.0, 4149778.0)	(38.0, 11505047.0)	(39.0, 53210777.0)	(40.0, 9732503.0)			
14340-YK-4_2	(10.0, 47.0)	(11.0, 402.0)	(12.0, 3093.0)	(13.0, 18087.0)	(14.0, 51990.0)	(15.0, 84631.0)	(16.0, 100209.0)	(17.0, 103277.0)	(18.0, 107643.0)	(19.0, 114047.0)	(20.0, 118226.0)	(21.0, 123267.0)	(22.0, 133337.0)	(23.0, 145935.0)	(24.0, 161418.0)	(25.0, 187668.0)	(26.0, 215050.0)	(27.0, 244924.0)	(28.0, 295109.0)	(29.0, 344650.0)	(30.0, 401823.0)	(31.0, 505988.0)	(32.0, 604295.0)	(33.0, 779946.0)	(34.0, 1086884.0)	(35.0, 1497088.0)	(36.0, 2721771.0)	(37.0, 5001648.0)	(38.0, 13802891.0)	(39.0, 48530632.0)	(40.0, 8802484.0)	
14340-YK-5_1	(12.0, 9.0)	(13.0, 150.0)	(14.0, 1165.0)	(15.0, 3491.0)	(16.0, 6879.0)	(17.0, 12870.0)	(18.0, 22370.0)	(19.0, 33178.0)	(20.0, 44291.0)	(21.0, 55169.0)	(22.0, 64986.0)	(23.0, 76402.0)	(24.0, 89347.0)	(25.0, 109125.0)	(26.0, 133491.0)	(27.0, 157383.0)	(28.0, 194325.0)	(29.0, 237041.0)	(30.0, 285665.0)	(31.0, 410528.0)	(32.0, 605596.0)	(33.0, 717260.0)	(34.0, 986463.0)	(35.0, 1325090.0)	(36.0, 2316436.0)	(37.0, 4320583.0)	(38.0, 12247156.0)	(39.0, 53915769.0)	(40.0, 8725410.0)			
14340-YK-5_2	(9.0, 2.0)	(10.0, 28.0)	(11.0, 253.0)	(12.0, 2520.0)	(13.0, 16007.0)	(14.0, 48436.0)	(15.0, 82978.0)	(16.0, 99063.0)	(17.0, 100657.0)	(18.0, 102545.0)	(19.0, 107657.0)	(20.0, 112082.0)	(21.0, 121090.0)	(22.0, 135459.0)	(23.0, 149951.0)	(24.0, 166097.0)	(25.0, 194665.0)	(26.0, 222270.0)	(27.0, 252834.0)	(28.0, 307450.0)	(29.0, 360727.0)	(30.0, 426740.0)	(31.0, 541128.0)	(32.0, 652446.0)	(33.0, 845173.0)	(34.0, 1178322.0)	(35.0, 1630625.0)	(36.0, 2961719.0)	(37.0, 5429746.0)	(38.0, 14680657.0)	(39.0, 48392812.0)	(40.0, 7775489.0)
