Sample	Unique Reads	Duplicate Reads
14340-YK-1_1	24880926.0	54968849.0
14340-YK-1_2	22560771.0	57289004.0
14340-YK-2_1	26042599.0	59472601.0
14340-YK-2_2	23866940.0	61648260.0
14340-YK-3_1	26970529.0	61004697.0
14340-YK-3_2	24605372.0	63369854.0
14340-YK-4_1	27683009.0	58605451.0
14340-YK-4_2	24847899.0	61440561.0
14340-YK-5_1	27893762.0	59203866.0
14340-YK-5_2	24642997.0	62454631.0
14340-YK-6_1	25171950.0	48464656.0
14340-YK-6_2	22093498.0	51543108.0
14340-YK-7_1	27641003.0	56412600.0
14340-YK-7_2	24166690.0	59886913.0
14340-YK-8_1	25663240.0	51642723.0
14340-YK-8_2	22894161.0	54411802.0
14340-YK-9_1	25609976.0	54357157.0
14340-YK-9_2	23491715.0	56475418.0
