Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
14340-YK-1_1	(1.0, 20.29101627046809)	(2.0, 9.26818347320394)	(3.0, 5.85139515239024)	(4.0, 4.219643067807194)	(5.0, 3.306514846005009)	(6.0, 2.7976647395747922)	(7.0, 2.2815655654867473)	(8.0, 1.9949385045175676)	(9.0, 1.6919969707402147)	('>10', 22.09862596783048)	('>50', 6.586218710528027)	('>100', 11.277344103753265)	('>500', 3.4892711173833977)	('>1k', 4.019970109537369)	('>5k', 0.5099431405016922)	('>10k+', 0.31570826027216575)
14340-YK-1_2	(1.0, 17.02300841199869)	(2.0, 9.051636676120427)	(3.0, 6.087226107371998)	(4.0, 4.658058167662931)	(5.0, 3.676195591373472)	(6.0, 3.0252838879304655)	(7.0, 2.5541785513249615)	(8.0, 2.174700738126103)	(9.0, 1.9831196300653071)	('>10', 22.903170222005393)	('>50', 6.548049460344535)	('>100', 11.738699414533343)	('>500', 3.5307320997898737)	('>1k', 3.9657274331063608)	('>5k', 0.4946676612735893)	('>10k+', 0.585545946972757)
14340-YK-2_1	(1.0, 19.79724981581129)	(2.0, 8.949145478186779)	(3.0, 5.608151683709113)	(4.0, 4.130315587757721)	(5.0, 3.294038668067208)	(6.0, 2.7196624026211276)	(7.0, 2.409567848310194)	(8.0, 1.9585090606177504)	(9.0, 1.6887792220266273)	('>10', 22.834512910496944)	('>50', 6.660132726280694)	('>100', 11.464782125644902)	('>500', 3.568098104381687)	('>1k', 4.115705771569881)	('>5k', 0.5135036333516194)	('>10k+', 0.2878449611661741)
14340-YK-2_2	(1.0, 16.759580716290156)	(2.0, 8.8211181952599)	(3.0, 6.096124020891063)	(4.0, 4.524933654125526)	(5.0, 3.711322824893632)	(6.0, 3.158118354765307)	(7.0, 2.5658834601474654)	(8.0, 2.266472973572145)	(9.0, 1.8899519919064127)	('>10', 23.61565836836722)	('>50', 6.549395824197643)	('>100', 11.566302133303166)	('>500', 3.393659201568321)	('>1k', 4.028141598928352)	('>5k', 0.4756557425517161)	('>10k+', 0.5776809392321569)
14340-YK-3_1	(1.0, 20.047784513266716)	(2.0, 8.929197137734532)	(3.0, 5.527396802980738)	(4.0, 4.154688944791746)	(5.0, 3.2936017634617203)	(6.0, 2.63577590547523)	(7.0, 2.2781985587584397)	(8.0, 2.0731494368909122)	(9.0, 1.7382494021647703)	('>10', 22.639035576775083)	('>50', 6.837414184122725)	('>100', 11.340623477837935)	('>500', 3.5855982596013796)	('>1k', 4.135185466313216)	('>5k', 0.5466753265030712)	('>10k+', 0.23742524332186749)
14340-YK-3_2	(1.0, 16.909797844747107)	(2.0, 8.82303194751928)	(3.0, 5.922382655691596)	(4.0, 4.525255246062076)	(5.0, 3.5556601222285864)	(6.0, 3.0807077464724744)	(7.0, 2.588336976033755)	(8.0, 2.2393365589463055)	(9.0, 1.9039301619584341)	('>10', 23.568601072857682)	('>50', 6.58323044484099)	('>100', 11.677784824199659)	('>500', 3.44072661751338)	('>1k', 4.076533982727526)	('>5k', 0.5093245807712593)	('>10k+', 0.5953592174298442)
14340-YK-4_1	(1.0, 20.936737666508982)	(2.0, 9.575708435571473)	(3.0, 5.847933218132693)	(4.0, 4.279245102763674)	(5.0, 3.406585601711947)	(6.0, 2.8725587038666416)	(7.0, 2.4195208623153683)	(8.0, 1.9811137169781425)	(9.0, 1.7846002887820438)	('>10', 22.76388693775038)	('>50', 6.639525297647385)	('>100', 10.865180294492681)	('>500', 3.127257892303049)	('>1k', 3.025932736890788)	('>5k', 0.252371999829449)	('>10k+', 0.22184124445534958)
14340-YK-4_2	(1.0, 17.420884096568383)	(2.0, 9.034882578984334)	(3.0, 6.109287861692014)	(4.0, 4.704969986522676)	(5.0, 3.8427089379719317)	(6.0, 3.1972149365571667)	(7.0, 2.6792474444958985)	(8.0, 2.1606214933158245)	(9.0, 1.9937941075905654)	('>10', 23.986246202311616)	('>50', 6.493282335754685)	('>100', 11.258552406037644)	('>500', 3.04946307538079)	('>1k', 3.1570595690279686)	('>5k', 0.3605558740761661)	('>10k+', 0.5512290937121854)
14340-YK-5_1	(1.0, 20.867265866358302)	(2.0, 9.578919006780673)	(3.0, 6.02247321154832)	(4.0, 4.289316904900672)	(5.0, 3.3188654599627436)	(6.0, 2.783866355816731)	(7.0, 2.361934438682381)	(8.0, 2.0305206733569623)	(9.0, 1.7603764635676953)	('>10', 22.395406120008186)	('>50', 6.5960744705228835)	('>100', 10.92666402349224)	('>500', 3.336442562600968)	('>1k', 3.2278119324046584)	('>5k', 0.23002376226498333)	('>10k+', 0.2740387477312513)
14340-YK-5_2	(1.0, 17.010521705320674)	(2.0, 8.987196992756921)	(3.0, 6.156079133205407)	(4.0, 4.608493720724859)	(5.0, 3.8037531565759264)	(6.0, 3.088102085378987)	(7.0, 2.6467380753678076)	(8.0, 2.190717702035349)	(9.0, 1.969223143613478)	('>10', 23.48517474238428)	('>50', 6.577435920696508)	('>100', 11.590679660542987)	('>500', 3.3732722372233717)	('>1k', 3.521131614037272)	('>5k', 0.3735656401483504)	('>10k+', 0.6179144699875605)
