Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
14340-YK-1_1	(20, 3596.0)	(25, 6911.0)	(30, 9878.0)	(35, 11783.0)	(40, 16841.0)	(45, 26741.0)	(50, 38242.0)	(55, 53860.0)	(60, 86174.0)	(65, 122615.0)	(70, 182942.0)	(75, 251501.0)	(80, 346133.0)	(85, 462070.0)	(90, 590348.0)	(95, 749237.0)	(100, 901886.0)	(105, 1078363.0)	(110, 1231043.0)	(115, 1400563.0)	(120, 1543084.0)	(125, 1685951.0)	(130, 1789354.0)	(135, 1888263.0)	(140, 1955531.0)	(145, 7853039.0)	(150, 55198539.0)
14340-YK-1_2	(20, 12023.0)	(25, 12804.0)	(30, 13518.0)	(35, 15355.0)	(40, 19028.0)	(45, 25671.0)	(50, 39224.0)	(55, 56804.0)	(60, 89628.0)	(65, 125843.0)	(70, 186258.0)	(75, 254352.0)	(80, 349880.0)	(85, 466996.0)	(90, 595941.0)	(95, 754821.0)	(100, 906920.0)	(105, 1083688.0)	(110, 1237440.0)	(115, 1406417.0)	(120, 1547461.0)	(125, 1691110.0)	(130, 1793497.0)	(135, 1898682.0)	(140, 1983439.0)	(145, 9032287.0)	(150, 53885401.0)
14340-YK-2_1	(20, 3515.0)	(25, 6550.0)	(30, 9030.0)	(35, 10422.0)	(40, 14402.0)	(45, 22674.0)	(50, 28932.0)	(55, 39007.0)	(60, 60031.0)	(65, 85251.0)	(70, 125039.0)	(75, 171347.0)	(80, 234882.0)	(85, 313631.0)	(90, 400923.0)	(95, 512174.0)	(100, 627754.0)	(105, 766294.0)	(110, 894487.0)	(115, 1049691.0)	(120, 1189869.0)	(125, 1345757.0)	(130, 1472377.0)	(135, 1606777.0)	(140, 1729054.0)	(145, 8573602.0)	(150, 63924479.0)
14340-YK-2_2	(20, 11623.0)	(25, 11872.0)	(30, 12698.0)	(35, 13921.0)	(40, 16805.0)	(45, 21036.0)	(50, 30034.0)	(55, 41827.0)	(60, 63674.0)	(65, 88543.0)	(70, 128462.0)	(75, 174570.0)	(80, 238478.0)	(85, 319296.0)	(90, 406914.0)	(95, 518784.0)	(100, 633689.0)	(105, 772654.0)	(110, 901700.0)	(115, 1057038.0)	(120, 1195788.0)	(125, 1352185.0)	(130, 1479148.0)	(135, 1619696.0)	(140, 1759621.0)	(145, 9969397.0)	(150, 62378498.0)
14340-YK-3_1	(20, 3512.0)	(25, 6556.0)	(30, 9136.0)	(35, 10187.0)	(40, 13529.0)	(45, 20582.0)	(50, 25663.0)	(55, 33664.0)	(60, 51945.0)	(65, 74518.0)	(70, 110266.0)	(75, 155574.0)	(80, 220049.0)	(85, 301320.0)	(90, 398190.0)	(95, 522654.0)	(100, 656276.0)	(105, 819440.0)	(110, 979207.0)	(115, 1168321.0)	(120, 1350239.0)	(125, 1550948.0)	(130, 1727051.0)	(135, 1903589.0)	(140, 2062438.0)	(145, 8989469.0)	(150, 64521520.0)
14340-YK-3_2	(20, 12226.0)	(25, 12384.0)	(30, 12978.0)	(35, 13916.0)	(40, 16557.0)	(45, 20356.0)	(50, 27666.0)	(55, 37075.0)	(60, 56072.0)	(65, 78383.0)	(70, 114082.0)	(75, 159462.0)	(80, 224792.0)	(85, 307374.0)	(90, 404951.0)	(95, 529558.0)	(100, 662794.0)	(105, 826086.0)	(110, 986426.0)	(115, 1175646.0)	(120, 1355881.0)	(125, 1557724.0)	(130, 1732335.0)	(135, 1915237.0)	(140, 2090145.0)	(145, 10431462.0)	(150, 62924275.0)
14340-YK-4_1	(20, 3647.0)	(25, 6997.0)	(30, 9149.0)	(35, 10752.0)	(40, 14860.0)	(45, 21578.0)	(50, 30049.0)	(55, 40994.0)	(60, 64640.0)	(65, 90934.0)	(70, 132802.0)	(75, 181687.0)	(80, 247575.0)	(85, 328993.0)	(90, 421273.0)	(95, 536562.0)	(100, 650990.0)	(105, 789866.0)	(110, 915094.0)	(115, 1070501.0)	(120, 1200744.0)	(125, 1346939.0)	(130, 1464389.0)	(135, 1587462.0)	(140, 1686174.0)	(145, 8629252.0)	(150, 64434547.0)
14340-YK-4_2	(20, 12767.0)	(25, 13295.0)	(30, 13740.0)	(35, 15259.0)	(40, 18317.0)	(45, 23047.0)	(50, 33095.0)	(55, 45194.0)	(60, 69106.0)	(65, 94812.0)	(70, 136944.0)	(75, 185890.0)	(80, 252520.0)	(85, 335389.0)	(90, 428443.0)	(95, 543693.0)	(100, 657911.0)	(105, 797281.0)	(110, 923334.0)	(115, 1078626.0)	(120, 1208538.0)	(125, 1355863.0)	(130, 1472828.0)	(135, 1602311.0)	(140, 1720144.0)	(145, 10031859.0)	(150, 62848244.0)
14340-YK-5_1	(20, 3586.0)	(25, 6876.0)	(30, 9381.0)	(35, 11112.0)	(40, 15530.0)	(45, 22885.0)	(50, 32457.0)	(55, 44945.0)	(60, 72464.0)	(65, 101695.0)	(70, 148679.0)	(75, 199550.0)	(80, 268271.0)	(85, 349010.0)	(90, 437490.0)	(95, 544769.0)	(100, 651158.0)	(105, 774775.0)	(110, 887985.0)	(115, 1025231.0)	(120, 1143110.0)	(125, 1281520.0)	(130, 1399462.0)	(135, 1521041.0)	(140, 1631412.0)	(145, 8673296.0)	(150, 65434143.0)
14340-YK-5_2	(20, 13409.0)	(25, 13814.0)	(30, 14761.0)	(35, 16220.0)	(40, 19389.0)	(45, 24649.0)	(50, 35634.0)	(55, 49654.0)	(60, 77630.0)	(65, 106615.0)	(70, 153177.0)	(75, 203875.0)	(80, 273525.0)	(85, 355013.0)	(90, 444300.0)	(95, 551914.0)	(100, 657689.0)	(105, 781852.0)	(110, 895572.0)	(115, 1032735.0)	(120, 1150212.0)	(125, 1289616.0)	(130, 1407163.0)	(135, 1535047.0)	(140, 1666346.0)	(145, 10120285.0)	(150, 63801737.0)
