Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
14340-YK-1_1 - polya	(1, 0.000674345414415955)	(2, 0.00147324343336023)	(3, 0.002762803227719099)	(4, 0.007456800879185383)	(5, 0.010549228171413773)	(6, 0.014960151721679329)	(7, 0.02207726367942384)	(8, 0.028649615255746504)	(9, 0.03764885545969674)	(10, 0.06224132688632278)	(15, 0.08870686818791611)	(20, 0.11246798243199352)	(25, 0.1480379416924721)	(30, 0.1837090527651131)	(35, 0.20700089305475555)	(40, 0.227414435883389)	(45, 0.2492395748966767)	(50, 0.2713855312246586)	(55, 0.29195658906427124)	(60, 0.31186638580347903)	(65, 0.33229200646043033)	(70, 0.3566587734703657)	(75, 0.3788661254256302)	(80, 0.39899659415306293)	(85, 0.4164128225874714)	(90, 0.435978401219619)	(95, 0.45574301239758885)	(100, 0.47415767463961017)	(105, 0.49359366823876377)	(110, 0.5130822507153849)	(115, 0.5273728378296907)	(120, 0.5409898343938506)	(125, 0.5530749597330236)	(130, 0.5677643668032435)	(135, 0.5824547803591564)	(140, 0.5872529492798645)
14340-YK-1_2 - polya	(1, 0.004789613792316307)	(2, 0.010273702712911732)	(3, 0.012608749521038621)	(4, 0.015298582536003755)	(5, 0.017520399703650352)	(6, 0.019271684809745518)	(7, 0.020882061918798545)	(8, 0.02439972941638625)	(9, 0.028859719144193267)	(10, 0.04025011773366395)	(15, 0.056175489235081956)	(20, 0.07419409935684558)	(25, 0.08920180752752663)	(30, 0.10264946287381256)	(35, 0.11532791152910238)	(40, 0.12824716188648028)	(45, 0.14246402392376234)	(50, 0.15859295715662156)	(55, 0.17536906069018146)	(60, 0.19182937933751298)	(65, 0.21023322185833293)	(70, 0.23072174787110664)	(75, 0.24954101736177758)	(80, 0.2663203919738403)	(85, 0.2850714720587997)	(90, 0.30616867029451084)	(95, 0.3257264486625365)	(100, 0.3459517786665494)	(105, 0.36188822151059213)	(110, 0.37934395450845704)	(115, 0.4009318145195827)	(120, 0.43120539444123984)	(125, 0.4556031108862399)	(130, 0.4693766159756857)	(135, 0.48315766970783025)	(140, 0.4881606584670961)
14340-YK-1_2 - polyg	(1, 0.3408237340599086)	(2, 0.3440080031716377)	(3, 0.3453931791068466)	(4, 0.34747157206321816)	(5, 0.34901275328086656)	(6, 0.35100433684620325)	(7, 0.35319973376440444)	(8, 0.35521522136495365)	(9, 0.35737161696254494)	(10, 0.3626340274092223)	(15, 0.3668242789712629)	(20, 0.3687939714727734)	(25, 0.3702415495209581)	(30, 0.37131546975555785)	(35, 0.3722449592931894)	(40, 0.373078077825701)	(45, 0.3738631366663644)	(50, 0.3745342110022776)	(55, 0.3751947172384126)	(60, 0.375774704619095)	(65, 0.3763534338926609)	(70, 0.37689769103123616)	(75, 0.3773875979423809)	(80, 0.3779869601726566)	(85, 0.3787161590573497)	(90, 0.37936383260089696)	(95, 0.3799966604804701)	(100, 0.3806148943174925)	(105, 0.38122105032619696)	(110, 0.38177939826447643)	(115, 0.38235485645953965)	(120, 0.3829474249113865)	(125, 0.3835326963419579)	(130, 0.38413507802931307)	(135, 0.3848388631502539)	(140, 0.3852915300907518)
14340-YK-2_1 - polya	(1, 0.00048698659745996476)	(2, 0.001270859000118414)	(3, 0.0025241160750274316)	(4, 0.007113524707957364)	(5, 0.010253708165313668)	(6, 0.01466944446951089)	(7, 0.02161047031041617)	(8, 0.028015224163275176)	(9, 0.03674577906713575)	(10, 0.06058042864701123)	(15, 0.08628651491514974)	(20, 0.10945111787538755)	(25, 0.14445125534642342)	(30, 0.17937370965420185)	(35, 0.20235830359263157)	(40, 0.22216328576123595)	(45, 0.24320697407990952)	(50, 0.26497351479384906)	(55, 0.2848547719716941)	(60, 0.3043194502529168)	(65, 0.3242924721341868)	(70, 0.3486542407009997)	(75, 0.37067401444561837)	(80, 0.39042008883785534)	(85, 0.4078873006463157)	(90, 0.4274022030874692)	(95, 0.4468938709873463)	(100, 0.46507360872828307)	(105, 0.48483212181433466)	(110, 0.5050752745744849)	(115, 0.5196832296519309)	(120, 0.5333531194618842)	(125, 0.5456190797171361)	(130, 0.5605081962132603)	(135, 0.5756711986656426)	(140, 0.5807438388186545)
14340-YK-2_2 - polya	(1, 0.004704407877631322)	(2, 0.010137535458931651)	(3, 0.01240348996422127)	(4, 0.015310154547132917)	(5, 0.017375447105035417)	(6, 0.019094568467153124)	(7, 0.020566089414658657)	(8, 0.024010199447297202)	(9, 0.028316803815196166)	(10, 0.0392644972184323)	(15, 0.0542756537293416)	(20, 0.07105052314623242)	(25, 0.08507878815344903)	(30, 0.09753297166227337)	(35, 0.1095668211970973)	(40, 0.12204376986252578)	(45, 0.13557871157920706)	(50, 0.1505363582374798)	(55, 0.1659957771103884)	(60, 0.18135709458679664)	(65, 0.19823311640055744)	(70, 0.2169317588966672)	(75, 0.2338772496419211)	(80, 0.2494842899942525)	(85, 0.2674877737907592)	(90, 0.28737560235401577)	(95, 0.30600618407264923)	(100, 0.3251498032380525)	(105, 0.3406214261124396)	(110, 0.35738432622018806)	(115, 0.377724406915158)	(120, 0.4057217944608877)	(125, 0.42870474555296456)	(130, 0.4428430812658239)	(135, 0.4568746319657463)	(140, 0.46179941594699925)
14340-YK-2_2 - polyg	(1, 0.32183008014356035)	(2, 0.3244598077698442)	(3, 0.3257611767736589)	(4, 0.3278757547221477)	(5, 0.32929681681738626)	(6, 0.3311356312709279)	(7, 0.3331399038214378)	(8, 0.3350937175196808)	(9, 0.33712615315052574)	(10, 0.3419066013450617)	(15, 0.34571002534430806)	(20, 0.3474528506323744)	(25, 0.34856411884392763)	(30, 0.34934658309256933)	(35, 0.35002202763593787)	(40, 0.3506643805599127)	(45, 0.35123374416735276)	(50, 0.3517751793867937)	(55, 0.35227882914011854)	(60, 0.35276112189085607)	(65, 0.35327181241426475)	(70, 0.3537132686985164)	(75, 0.3541127150546016)	(80, 0.3545602733395925)	(85, 0.3550566476304975)	(90, 0.35553847099656266)	(95, 0.3560048046684436)	(100, 0.35647395464835807)	(105, 0.35689569677637517)	(110, 0.35733832652230746)	(115, 0.3578084152715664)	(120, 0.3582822590982034)	(125, 0.358716205227699)	(130, 0.3592116407492595)	(135, 0.3597777186639937)	(140, 0.3601260020908036)
14340-YK-3_1 - polya	(1, 0.0005496896460241592)	(2, 0.0014141393383194137)	(3, 0.0026606347389509614)	(4, 0.007224655409881844)	(5, 0.010408749791001039)	(6, 0.014752666516532207)	(7, 0.021473249678400193)	(8, 0.027917847582305845)	(9, 0.03693184542914185)	(10, 0.06067159552768399)	(15, 0.0860613269122588)	(20, 0.10908123447019835)	(25, 0.14361748224282908)	(30, 0.1779233621555078)	(35, 0.20053636252319543)	(40, 0.21980173013789694)	(45, 0.24009759477365117)	(50, 0.2612611023195614)	(55, 0.28093862312528606)	(60, 0.3002664865752616)	(65, 0.32009522905539034)	(70, 0.34422204277604995)	(75, 0.3657238033282066)	(80, 0.3853869546535579)	(85, 0.4025744497888901)	(90, 0.42182658835816855)	(95, 0.4409407342984659)	(100, 0.4591169865356714)	(105, 0.47841725145985087)	(110, 0.4981611455796804)	(115, 0.5125824016996677)	(120, 0.5264259134738546)	(125, 0.5385968633499937)	(130, 0.5530730884345834)	(135, 0.5677233438925826)	(140, 0.5725371198176198)
14340-YK-3_2 - polya	(1, 0.0048936063715553264)	(2, 0.010294706295975281)	(3, 0.01261549141974948)	(4, 0.01543806792163702)	(5, 0.017453216478742185)	(6, 0.019161588034228058)	(7, 0.02066011955886653)	(8, 0.02398562787381767)	(9, 0.028269101546985184)	(10, 0.038977101468933815)	(15, 0.05395124045280605)	(20, 0.07047409009912808)	(25, 0.08449140415973419)	(30, 0.09670614673796316)	(35, 0.10861205953166238)	(40, 0.12065299982347208)	(45, 0.13386128933036545)	(50, 0.14858065514635013)	(55, 0.16359105996164056)	(60, 0.17868745357218038)	(65, 0.19556132909619173)	(70, 0.21437759342748178)	(75, 0.23152403290460472)	(80, 0.247304231311319)	(85, 0.26526288856001534)	(90, 0.2850866131263629)	(95, 0.3034606167839431)	(100, 0.32300972461426875)	(105, 0.3386724582211064)	(110, 0.35549182095449544)	(115, 0.37666171493612716)	(120, 0.40590406366966214)	(125, 0.4292868576287737)	(130, 0.4430320639102483)	(135, 0.4566105386019953)	(140, 0.4614017339150175)
14340-YK-3_2 - polyg	(1, 0.300551367225836)	(2, 0.3038780159757374)	(3, 0.30516670746952845)	(4, 0.3069879820850898)	(5, 0.30829720140798555)	(6, 0.30999416861396883)	(7, 0.3117857919208235)	(8, 0.3136389987149921)	(9, 0.315502469423713)	(10, 0.31995016572971763)	(15, 0.32347525016096385)	(20, 0.3250782455270459)	(25, 0.3261466049884472)	(30, 0.326924837798503)	(35, 0.32755093658619444)	(40, 0.32812389110520385)	(45, 0.32863298126699886)	(50, 0.32912085933871904)	(55, 0.3295964207129764)	(60, 0.3300398218216366)	(65, 0.33048002971243606)	(70, 0.3308597945508718)	(75, 0.3312402436502777)	(80, 0.3316699595395348)	(85, 0.33216103082911574)	(90, 0.33266920864295046)	(95, 0.33313427801566553)	(100, 0.3335950137355696)	(105, 0.33402495771181673)	(110, 0.3344583229929146)	(115, 0.3348941972309031)	(120, 0.3353309838168517)	(125, 0.3357695950987208)	(130, 0.3362472092558887)	(135, 0.33678617881338047)	(140, 0.3371319586902985)
14340-YK-4_1 - polya	(1, 0.000547030352619257)	(2, 0.0013885259801590928)	(3, 0.0026047955939614833)	(4, 0.0072883065278761434)	(5, 0.010469229833638759)	(6, 0.014965353774422142)	(7, 0.022196629478301807)	(8, 0.02863063754059809)	(9, 0.03784169756321256)	(10, 0.06215405422234689)	(15, 0.08798412913640784)	(20, 0.1110853373169558)	(25, 0.14565020667854228)	(30, 0.18077584034628186)	(35, 0.20396690117198343)	(40, 0.22402289612999304)	(45, 0.2452565194088115)	(50, 0.26677902126958764)	(55, 0.2870112298348026)	(60, 0.306600503151535)	(65, 0.3266313579912114)	(70, 0.3508156862699455)	(75, 0.37317293317093125)	(80, 0.3934130562178438)	(85, 0.411223433383633)	(90, 0.4308315617891151)	(95, 0.4506831768962313)	(100, 0.469281743327539)	(105, 0.4897357901591567)	(110, 0.5104752238896302)	(115, 0.5256242401952084)	(120, 0.5403237604961448)	(125, 0.5530462898248281)	(130, 0.5686538805111125)	(135, 0.5845319602483517)	(140, 0.5898826154335884)
