Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
14340-YK-1_1	(1, 0.0021123618485156498)	(2, 0.021211685983307835)	(3, 0.00998182186189587)	(4, 0.028170276444379937)	(5, 0.003367952750730432)	(6, 2.516214232895354e-06)	(7, 0.0003283659573928437)	(8, 0.00033465649297508216)	(9, 0.0)	(10, 0.005756091679171412)	(15, 0.002079147820641431)	(20, 0.01917509334707448)	(25, 0.03557931214977255)	(30, 0.011783779566397732)	(35, 0.017340629143668542)	(40, 0.011657456054591585)	(45, 0.020295251311316657)	(50, 0.031695704549995055)	(55, 0.02667193844630174)	(60, 0.0233564850382682)	(65, 0.021205021919803616)	(70, 0.029410573280623097)	(75, 0.02309842325093277)	(80, 0.013226928648653043)	(85, 0.011339559255515632)	(90, 0.022684306532405905)	(95, 0.024693103396408404)	(100, 0.03510695681472554)	(105, 0.014718284169264594)	(110, 0.009569708257888632)	(115, 0.030661156908038962)	(120, 0.03151588150582768)	(125, 0.01592323601242071)	(130, 0.034954035237704295)	(135, 0.05586093729293988)	(140, 0.009501169275031543)	(145, 0.016189379487744873)	(150, 0.008159839939668878)
14340-YK-1_2	(1, 0.040482112685936905)	(2, 0.06409678326165981)	(3, 0.04175405898066551)	(4, 7.800264121975599e-05)	(5, 0.02975674951822046)	(6, 0.019932191045880548)	(7, 0.030696555534206874)	(8, 0.00023023360230992493)	(9, 0.0018456431398287424)	(10, 0.01733017390764346)	(15, 0.03162277399333566)	(20, 0.03341206348089242)	(25, 0.019031689244960615)	(30, 0.01804735743185457)	(35, 0.02134685202273306)	(40, 0.007071962791544147)	(45, 0.024409839671608945)	(50, 0.015039655557164949)	(55, 0.005197024079078471)	(60, 0.005349935236410853)	(65, 0.017748266408983193)	(70, 0.017011727203921016)	(75, 0.0356707637092742)	(80, 0.029231835786521866)	(85, 0.01299461452504611)	(90, 0.02948372979994947)	(95, 0.014718416033365536)	(100, 0.020422725133441642)	(105, 0.018512803211632785)	(110, 0.013336164311880465)	(115, 0.02368240777382354)	(120, 0.002756082191116511)	(125, 0.047077810291032654)	(130, 0.03663261014891269)	(135, 0.04166249525444612)	(140, 0.02439754076557621)	(145, 0.030814232697816135)	(150, 0.042638451971299146)
14340-YK-2_1	(1, 0.002195546804452034)	(2, 0.021326492583704577)	(3, 0.009904016584486993)	(4, 0.02817129456679849)	(5, 0.003356100406591564)	(6, 7.040770083758526e-06)	(7, 0.00030862042200474876)	(8, 0.0003109673453660016)	(9, 0.0)	(10, 0.0057102992302642906)	(15, 0.0021068331013966764)	(20, 0.01900024591162795)	(25, 0.035401167067315026)	(30, 0.011903368421820073)	(35, 0.017580162667176723)	(40, 0.011615676231891442)	(45, 0.020270217051058782)	(50, 0.03150260604449333)	(55, 0.026592839606691898)	(60, 0.023129448879107325)	(65, 0.02129501571184828)	(70, 0.029239313700400147)	(75, 0.023359735139943494)	(80, 0.013265856004691653)	(85, 0.011319364308259016)	(90, 0.02272641943197327)	(95, 0.024747118067028607)	(100, 0.034967174531149336)	(105, 0.01471697089804105)	(110, 0.009642621897657577)	(115, 0.030548844075242238)	(120, 0.03128859595997787)	(125, 0.015817646446745742)	(130, 0.03465538328600025)	(135, 0.05540736917052569)	(140, 0.009483996949010637)	(145, 0.016063456068386474)	(150, 0.008124255670397621)
14340-YK-2_2	(1, 0.04067804915891489)	(2, 0.06384218273448043)	(3, 0.041686052742572983)	(4, 9.270347276948727e-05)	(5, 0.029785977839340446)	(6, 0.019816247400738375)	(7, 0.030648472174600865)	(8, 0.0002393861828477899)	(9, 0.0019115690777404399)	(10, 0.017277111016198922)	(15, 0.03164521052612495)	(20, 0.033441493601975215)	(25, 0.019151270192279846)	(30, 0.017935092937630695)	(35, 0.021294630407140233)	(40, 0.007127411621863123)	(45, 0.024156007499891136)	(50, 0.015085765079214225)	(55, 0.005242550415897051)	(60, 0.005337828357910868)	(65, 0.017831636261004036)	(70, 0.017018507240096462)	(75, 0.03562347822696628)	(80, 0.02924872880816054)	(85, 0.012855225921407839)	(90, 0.02948384539196155)	(95, 0.014636075204109861)	(100, 0.02043308955435514)	(105, 0.018396355408884384)	(110, 0.01307405616932809)	(115, 0.023442934289505682)	(120, 0.0026596793312109192)	(125, 0.04679542113067258)	(130, 0.03620251438950696)	(135, 0.04128166709603706)	(140, 0.024121853659757355)	(145, 0.030319608479747535)	(150, 0.041736335105898976)
14340-YK-3_1	(1, 0.002186213799643803)	(2, 0.020912155682873457)	(3, 0.009572810972462225)	(4, 0.02718796921414099)	(5, 0.0033791087576132443)	(6, 1.0263914552318326e-05)	(7, 0.00029651308706697384)	(8, 0.0003307261355747016)	(9, 0.0)	(10, 0.005584253777431324)	(15, 0.0020892768288719083)	(20, 0.0188397779209002)	(25, 0.034998484633795256)	(30, 0.011972998305336552)	(35, 0.01765356980754522)	(40, 0.011608243799898575)	(45, 0.01985667908351737)	(50, 0.03116134167589346)	(55, 0.02636665257674526)	(60, 0.022936834962092152)	(65, 0.02093217295833339)	(70, 0.02896586822736237)	(75, 0.023231160291481243)	(80, 0.01307537590442648)	(85, 0.011269639014629344)	(90, 0.02243614489486004)	(95, 0.024430810981556104)	(100, 0.03453249618727086)	(105, 0.014471194070827075)	(110, 0.009607872678425602)	(115, 0.03019570688058527)	(120, 0.030854929170791294)	(125, 0.015501917891043283)	(130, 0.034378480152859395)	(135, 0.05501850566186485)	(140, 0.009490967669244432)	(145, 0.01586761493727518)	(150, 0.00798707327825096)
14340-YK-3_2	(1, 0.04023454504508784)	(2, 0.06261101920409204)	(3, 0.04118224648875189)	(4, 8.097088146828902e-05)	(5, 0.029329706050724748)	(6, 0.01961434070948032)	(7, 0.0303823275098125)	(8, 0.00027142351816130685)	(9, 0.001852066359218329)	(10, 0.017046081201500224)	(15, 0.03184459320303278)	(20, 0.033050044877354696)	(25, 0.018849142284522204)	(30, 0.0178737269980578)	(35, 0.021189150729464364)	(40, 0.006948015716483674)	(45, 0.023677624206362994)	(50, 0.014891718452909108)	(55, 0.005256062168730743)	(60, 0.005381898355459703)	(65, 0.01753464589463253)	(70, 0.016818083565022707)	(75, 0.035134405858025713)	(80, 0.02925561119127747)	(85, 0.012819909907292655)	(90, 0.029020100965842177)	(95, 0.014515647148670617)	(100, 0.02018604366836132)	(105, 0.018162031552661037)	(110, 0.012973857444520445)	(115, 0.023096202186564253)	(120, 0.0026553805580075323)	(125, 0.04651185615077621)	(130, 0.035946872412568366)	(135, 0.04076626204108609)	(140, 0.023982888653867183)	(145, 0.03024188977414749)	(150, 0.04192748656254259)
14340-YK-4_1	(1, 0.0022009242485170532)	(2, 0.020978032075764867)	(3, 0.009924527269754051)	(4, 0.027891564617378458)	(5, 0.0032507569677991165)	(6, 4.6555774691000594e-06)	(7, 0.0002921374861860287)	(8, 0.00030726811296060395)	(9, 0.0)	(10, 0.005731481422209084)	(15, 0.002059161914582956)	(20, 0.019007589306234442)	(25, 0.03565599637392922)	(30, 0.011971940278964694)	(35, 0.017599482755660766)	(40, 0.011585615162351426)	(45, 0.020227346797081706)	(50, 0.031522807398636075)	(55, 0.02674257673115472)	(60, 0.02322878551419716)	(65, 0.02127471566043624)	(70, 0.029210378895762654)	(75, 0.023354978740022767)	(80, 0.013372110176321353)	(85, 0.01135640264239653)	(90, 0.022668736850947283)	(95, 0.024697345106144297)	(100, 0.03511808304573256)	(105, 0.01477553502723084)	(110, 0.009572314165317236)	(115, 0.03066662338287356)	(120, 0.03155936792871473)	(125, 0.01585205610498406)	(130, 0.034737471254741886)	(135, 0.055481048583233224)	(140, 0.009505215365993799)	(145, 0.015966813946890302)	(150, 0.007977479363131854)
14340-YK-4_2	(1, 0.04019276418510809)	(2, 0.06367549693924879)	(3, 0.042565944799981846)	(4, 8.263650007652605e-05)	(5, 0.030114602858873737)	(6, 0.0197652541450643)	(7, 0.03101894878224642)	(8, 0.00020833709174222765)	(9, 0.0017563166002179972)	(10, 0.017386719616101082)	(15, 0.03176896231251844)	(20, 0.03358874453429526)	(25, 0.018971506535475968)	(30, 0.018009042664539125)	(35, 0.021402132109126934)	(40, 0.007051316469253915)	(45, 0.02418409505217517)	(50, 0.015132348146187129)	(55, 0.005067141773718479)	(60, 0.005318361037174664)	(65, 0.017738141716318295)	(70, 0.017043129148443057)	(75, 0.03573727932457257)	(80, 0.029508071082951517)	(85, 0.012868823223463938)	(90, 0.029285354909256614)	(95, 0.014700745018392044)	(100, 0.0205461782144335)	(105, 0.01850662132742273)	(110, 0.013219733024457999)	(115, 0.023732227649930788)	(120, 0.0026800535050906385)	(125, 0.046745496225016725)	(130, 0.03642238559006433)	(135, 0.04161132859608433)	(140, 0.024185498959351733)	(145, 0.030622190386143645)	(150, 0.04219698329103373)
14340-YK-5_1	(1, 0.002162833493208063)	(2, 0.020509429071594323)	(3, 0.0095925991090764)	(4, 0.027160574629907758)	(5, 0.00324136646182115)	(6, 6.9210671782658005e-06)	(7, 0.0002837637543088978)	(8, 0.00031144802302196105)	(9, 0.0)	(10, 0.005629134638322851)	(15, 0.0020585560810555247)	(20, 0.018880237405817867)	(25, 0.03524785873941753)	(30, 0.011935699363914535)	(35, 0.017570756198999754)	(40, 0.011531228701994033)	(45, 0.019884881912893042)	(50, 0.031107414919069182)	(55, 0.02645750298639706)	(60, 0.02301701450445013)	(65, 0.021016506606968816)	(70, 0.02887009828639908)	(75, 0.02329442127758319)	(80, 0.013161737644334991)	(85, 0.011323678788982064)	(90, 0.022603711791046196)	(95, 0.02456582406623977)	(100, 0.03475680291150608)	(105, 0.014671583844809533)	(110, 0.009516329728534952)	(115, 0.030303351175210626)	(120, 0.03118563278671353)	(125, 0.01565442131434747)	(130, 0.034631442889967355)	(135, 0.05510949184655745)	(140, 0.009499674808989899)	(145, 0.01573814450831109)	(150, 0.007945043367562856)
14340-YK-5_2	(1, 0.04030137417904176)	(2, 0.06242571892556476)	(3, 0.041030393255152425)	(4, 8.997387331745541e-05)	(5, 0.029411074974040517)	(6, 0.019654677275078497)	(7, 0.030456156117958655)	(8, 0.0002180136161153727)	(9, 0.001806398533527374)	(10, 0.017137023737864673)	(15, 0.03160182343820092)	(20, 0.033085434938950206)	(25, 0.018826152798765847)	(30, 0.017690082848162328)	(35, 0.021321120245779077)	(40, 0.006871828789193787)	(45, 0.023999320112791607)	(50, 0.014980101259672293)	(55, 0.0051613332062028765)	(60, 0.0054040539512382494)	(65, 0.01772860483302382)	(70, 0.01679634229662545)	(75, 0.03554199500324015)	(80, 0.029412518120798557)	(85, 0.01291147277713179)	(90, 0.02905259036436087)	(95, 0.014604181532498973)	(100, 0.02036662488883431)	(105, 0.01802863208428704)	(110, 0.012918193629699534)	(115, 0.023190673883414444)	(120, 0.0026567097741341155)	(125, 0.04649999925235483)	(130, 0.03574556567660338)	(135, 0.04098921367488279)	(140, 0.023876387782175875)	(145, 0.03009110302079714)	(150, 0.04134255528146501)
