Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
14340-YK-1_1	(1, 38.888267771190776)	(2, 38.95606703788543)	(3, 39.04970766119799)	(4, 38.97084458794023)	(5, 38.74794965025126)	(6, 38.68515167387126)	(7, 38.639687708625615)	(8, 38.86712177098002)	(9, 38.99374867961658)	(10, 38.87873189294495)	(15, 39.17616302944545)	(20, 39.26460107089216)	(25, 39.246876030332984)	(30, 39.189903837342065)	(35, 39.215607601334455)	(40, 39.186689167843035)	(45, 39.174044920278845)	(50, 39.157468720793375)	(55, 39.15938912821178)	(60, 39.143391119185765)	(65, 39.11527531037154)	(70, 39.08922441699866)	(75, 39.03626469143652)	(80, 39.024652913691)	(85, 39.01144264659788)	(90, 38.96336610028662)	(95, 38.969076026006064)	(100, 38.92854192044264)	(105, 38.93447305874808)	(110, 38.89927613742679)	(115, 38.8866332891538)	(120, 38.86273246354965)	(125, 38.84228664003847)	(130, 38.806843291562245)	(135, 38.73514964639033)	(140, 38.73950863322883)	(145, 38.682899186065605)	(150, 38.85441396452669)
14340-YK-1_2	(1, 38.74912400517696)	(2, 38.53728158883026)	(3, 38.77205020179535)	(4, 38.826984656427555)	(5, 38.839847455518616)	(6, 38.92616953134302)	(7, 38.88660925890345)	(8, 38.9308547977311)	(9, 38.963505294265715)	(10, 38.976840406898006)	(15, 38.98200789316276)	(20, 38.98370046977938)	(25, 39.00112864113824)	(30, 38.94644056529072)	(35, 38.92922764970456)	(40, 38.9065756963511)	(45, 38.90101776712589)	(50, 38.877601864830424)	(55, 38.85739419679823)	(60, 38.82252663548316)	(65, 38.77239664860916)	(70, 38.74137084273251)	(75, 38.67624919894424)	(80, 38.668774462186306)	(85, 38.649965479474574)	(90, 38.57755159300183)	(95, 38.5443885902556)	(100, 38.514231125427415)	(105, 38.522171038820815)	(110, 38.47284534669334)	(115, 38.447281341762896)	(120, 38.4094031467956)	(125, 38.363787712953254)	(130, 38.28225582089387)	(135, 38.249078832766166)	(140, 38.193284548550814)	(145, 38.163468986039646)	(150, 38.35574847409845)
14340-YK-2_1	(1, 39.00441550161186)	(2, 39.01521652403964)	(3, 38.78054685919402)	(4, 39.05141006030525)	(5, 38.88133020236546)	(6, 38.872797129327836)	(7, 38.7126651167663)	(8, 38.9038403540118)	(9, 39.01126430509929)	(10, 38.87493968729664)	(15, 39.17499417933669)	(20, 39.260612872305046)	(25, 39.252417227339684)	(30, 39.19258749889211)	(35, 39.21801679103253)	(40, 39.193443281386976)	(45, 39.18125301532502)	(50, 39.16989170831128)	(55, 39.17090097006495)	(60, 39.158116736375426)	(65, 39.12943284229127)	(70, 39.10507395720007)	(75, 39.05329440504619)	(80, 39.043923190327035)	(85, 39.03285559809874)	(90, 38.986217685895795)	(95, 38.99346582974057)	(100, 38.954525710891005)	(105, 38.962768565869496)	(110, 38.92999493166674)	(115, 38.91888549736579)	(120, 38.89682052053498)	(125, 38.88081504129734)	(130, 38.84715634700676)	(135, 38.78007016326327)	(140, 38.78635115795617)	(145, 38.73443903400242)	(150, 38.896817861865046)
14340-YK-2_2	(1, 38.804292407828484)	(2, 38.56691542607027)	(3, 38.8093975880739)	(4, 38.845845436954946)	(5, 38.869452094664894)	(6, 38.9438850976363)	(7, 38.9208742768293)	(8, 38.96181650741638)	(9, 38.99037154742197)	(10, 39.00378420269692)	(15, 39.00496157904571)	(20, 39.004656948016134)	(25, 39.023868641354724)	(30, 38.96873405977103)	(35, 38.95942070439105)	(40, 38.93365293232907)	(45, 38.9282461958779)	(50, 38.9038587696713)	(55, 38.88472762684398)	(60, 38.85016830621312)	(65, 38.80223980449436)	(70, 38.772076711219704)	(75, 38.7080101656381)	(80, 38.70035272239878)	(85, 38.684150503947)	(90, 38.61479706554767)	(95, 38.5846876935015)	(100, 38.557345446916926)	(105, 38.56878327314306)	(110, 38.52406964601949)	(115, 38.50357713420432)	(120, 38.47145484361466)	(125, 38.431314913376276)	(130, 38.35675197670149)	(135, 38.330412785294286)	(140, 38.282112197463114)	(145, 38.25638244590236)	(150, 38.435310413365684)
14340-YK-3_1	(1, 38.96173027611766)	(2, 38.985252260162454)	(3, 39.08785373711923)	(4, 38.98229504391034)	(5, 38.80763785323932)	(6, 38.88858583477381)	(7, 38.68637293023459)	(8, 38.94822981858086)	(9, 38.99502066713323)	(10, 38.87363021645353)	(15, 39.17385033522458)	(20, 39.25404540808389)	(25, 39.24294332416186)	(30, 39.188145358862535)	(35, 39.211431905762666)	(40, 39.18888217501525)	(45, 39.172600393668276)	(50, 39.16128332872902)	(55, 39.16312188682595)	(60, 39.15109039604876)	(65, 39.12340497235849)	(70, 39.09915581158957)	(75, 39.0473784814355)	(80, 39.036231702147305)	(85, 39.02685702557092)	(90, 38.97862030234363)	(95, 38.98861221122597)	(100, 38.94838748552097)	(105, 38.95843772436372)	(110, 38.9241529628913)	(115, 38.91546171649535)	(120, 38.89179652166181)	(125, 38.8753754118258)	(130, 38.84114292952647)	(135, 38.772911979255596)	(140, 38.77903849474661)	(145, 38.724575739380064)	(150, 38.88856905689545)
14340-YK-3_2	(1, 38.85445266233)	(2, 38.61120909791561)	(3, 38.82953269891013)	(4, 38.86307877544155)	(5, 38.8795551181506)	(6, 38.95806231799585)	(7, 38.935338490159694)	(8, 38.97100517126807)	(9, 39.00306077914995)	(10, 39.01072332964854)	(15, 39.01359509310985)	(20, 39.01477337360025)	(25, 39.03294255273947)	(30, 38.984418671656584)	(35, 38.971514339196474)	(40, 38.94183262922651)	(45, 38.93681312097514)	(50, 38.909068879450736)	(55, 38.891089235787646)	(60, 38.85713136774282)	(65, 38.8090214616946)	(70, 38.778848662462)	(75, 38.71510224689753)	(80, 38.70758528749562)	(85, 38.69152311865848)	(90, 38.621601063834596)	(95, 38.59125148874537)	(100, 38.56547388812904)	(105, 38.574344118034496)	(110, 38.53009116695277)	(115, 38.50894093318902)	(120, 38.47782726591847)	(125, 38.43556129183476)	(130, 38.360556131003946)	(135, 38.33377259266842)	(140, 38.28461731403888)	(145, 38.25647307155871)	(150, 38.43149862506709)
14340-YK-4_1	(1, 38.96251324366303)	(2, 38.97049396258895)	(3, 39.04677944027156)	(4, 38.98426253034127)	(5, 38.831051339962485)	(6, 38.85416099801614)	(7, 38.70913362613036)	(8, 38.87455944561383)	(9, 38.990029603653234)	(10, 38.83683781772134)	(15, 39.1461082526512)	(20, 39.23526977000651)	(25, 39.21966099003515)	(30, 39.16032029802085)	(35, 39.18757397612665)	(40, 39.16071489745622)	(45, 39.15232095061894)	(50, 39.13781068521365)	(55, 39.139302680159425)	(60, 39.12342925630565)	(65, 39.09412561345475)	(70, 39.06993453762082)	(75, 39.015426477253165)	(80, 39.00488464478788)	(85, 38.9915832305456)	(90, 38.94269927609956)	(95, 38.94887835878107)	(100, 38.90968968605887)	(105, 38.917534181084534)	(110, 38.88391872164693)	(115, 38.87258644199311)	(120, 38.85069654337691)	(125, 38.83167702054053)	(130, 38.798387592145644)	(135, 38.72953249982122)	(140, 38.73523361917337)	(145, 38.68090831990687)	(150, 38.85728816624152)
14340-YK-4_2	(1, 38.729674487842836)	(2, 38.49328153615434)	(3, 38.742493620404)	(4, 38.79744181837545)	(5, 38.81217655811994)	(6, 38.89416675929326)	(7, 38.859751473635754)	(8, 38.9079777044395)	(9, 38.93440918685102)	(10, 38.95619390014601)	(15, 38.960663599029075)	(20, 38.96096737798969)	(25, 38.97937108932139)	(30, 38.91759682198598)	(35, 38.90490115555134)	(40, 38.88189876226909)	(45, 38.87950972876868)	(50, 38.851991602144444)	(55, 38.83408720074411)	(60, 38.798750969059164)	(65, 38.749121574470294)	(70, 38.71612161496956)	(75, 38.648827790965655)	(80, 38.641909747264776)	(85, 38.62479459373255)	(90, 38.55188458009349)	(95, 38.520557220076135)	(100, 38.49352948875155)	(105, 38.503181822656565)	(110, 38.45689627216613)	(115, 38.43567916172033)	(120, 38.402645555433)	(125, 38.36195750069767)	(130, 38.28375037678493)	(135, 38.2572400573587)	(140, 38.206660506193)	(145, 38.1811120930728)	(150, 38.373373132679816)
14340-YK-5_1	(1, 38.936190367551696)	(2, 38.760534605376264)	(3, 38.89254885174709)	(4, 38.99187345594596)	(5, 38.71607552697611)	(6, 38.66248344293285)	(7, 38.73454510991826)	(8, 38.85894232966559)	(9, 38.991557624580395)	(10, 38.821985503524886)	(15, 39.13591117170172)	(20, 39.22709669062212)	(25, 39.21333769329491)	(30, 39.15548853523146)	(35, 39.18427119681447)	(40, 39.159253469017656)	(45, 39.14767362949401)	(50, 39.13245374446691)	(55, 39.13311433466222)	(60, 39.11873872028995)	(65, 39.08816529258778)	(70, 39.064471030914)	(75, 39.01000767513319)	(80, 38.997264618569055)	(85, 38.98521869430991)	(90, 38.93577256534233)	(95, 38.942827609165725)	(100, 38.89917439731938)	(105, 38.90700713357503)	(110, 38.871071616981865)	(115, 38.86088060116622)	(120, 38.838940201650416)	(125, 38.82018073808751)	(130, 38.78571161900728)	(135, 38.715388439381876)	(140, 38.72184820861426)	(145, 38.665294963811434)	(150, 38.84388800840648)
14340-YK-5_2	(1, 38.764778580699755)	(2, 38.49842550912495)	(3, 38.72544742478799)	(4, 38.76807806105565)	(5, 38.75796236768924)	(6, 38.85769944442171)	(7, 38.82640218254469)	(8, 38.85907929758505)	(9, 38.890810302742125)	(10, 38.90312160316186)	(15, 38.90717835439008)	(20, 38.91182571723389)	(25, 38.933616307152896)	(30, 38.87808877257277)	(35, 38.87110103285032)	(40, 38.8396198951108)	(45, 38.83369507515202)	(50, 38.80809127074123)	(55, 38.78519870795323)	(60, 38.74881378111005)	(65, 38.695963481755086)	(70, 38.663586475480976)	(75, 38.5939765843211)	(80, 38.58594220822263)	(85, 38.567823230127296)	(90, 38.49211896206837)	(95, 38.45962784612122)	(100, 38.42931447990843)	(105, 38.4435755864138)	(110, 38.39445482740973)	(115, 38.374455108774995)	(120, 38.338175533647856)	(125, 38.29925430587337)	(130, 38.217982704622145)	(135, 38.19209953437437)	(140, 38.139979936005076)	(145, 38.11454259945162)	(150, 38.31791746193787)
