Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
14340-YK-1_1	(13.0, 30.0)	(14.0, 257.0)	(15.0, 1006.0)	(16.0, 2398.0)	(17.0, 5309.0)	(18.0, 9894.0)	(19.0, 15517.0)	(20.0, 22465.0)	(21.0, 30715.0)	(22.0, 39721.0)	(23.0, 51530.0)	(24.0, 65027.0)	(25.0, 85100.0)	(26.0, 107784.0)	(27.0, 131220.0)	(28.0, 161986.0)	(29.0, 193770.0)	(30.0, 233917.0)	(31.0, 290668.0)	(32.0, 362764.0)	(33.0, 471116.0)	(34.0, 665280.0)	(35.0, 973890.0)	(36.0, 1730804.0)	(37.0, 3445800.0)	(38.0, 9865809.0)	(39.0, 49839267.0)	(40.0, 10681444.0)				
14340-YK-1_2	(9.0, 1.0)	(10.0, 7.0)	(11.0, 69.0)	(12.0, 774.0)	(13.0, 5217.0)	(14.0, 17728.0)	(15.0, 34390.0)	(16.0, 45397.0)	(17.0, 49361.0)	(18.0, 52623.0)	(19.0, 58812.0)	(20.0, 70652.0)	(21.0, 83098.0)	(22.0, 97966.0)	(23.0, 115970.0)	(24.0, 133379.0)	(25.0, 160071.0)	(26.0, 183748.0)	(27.0, 211131.0)	(28.0, 248027.0)	(29.0, 288778.0)	(30.0, 339319.0)	(31.0, 415488.0)	(32.0, 506902.0)	(33.0, 644721.0)	(34.0, 880433.0)	(35.0, 1250542.0)	(36.0, 2157451.0)	(37.0, 4180455.0)	(38.0, 10951293.0)	(39.0, 45050445.0)	(40.0, 11250240.0)
14340-YK-2_1	(12.0, 1.0)	(13.0, 41.0)	(14.0, 317.0)	(15.0, 1059.0)	(16.0, 2541.0)	(17.0, 5351.0)	(18.0, 9753.0)	(19.0, 16144.0)	(20.0, 23117.0)	(21.0, 31995.0)	(22.0, 41123.0)	(23.0, 54077.0)	(24.0, 68405.0)	(25.0, 88729.0)	(26.0, 113247.0)	(27.0, 138131.0)	(28.0, 171154.0)	(29.0, 206349.0)	(30.0, 246714.0)	(31.0, 306385.0)	(32.0, 383474.0)	(33.0, 495500.0)	(34.0, 697247.0)	(35.0, 1023536.0)	(36.0, 1818522.0)	(37.0, 3601566.0)	(38.0, 10355821.0)	(39.0, 53829791.0)	(40.0, 11487861.0)			
14340-YK-2_2	(9.0, 1.0)	(10.0, 6.0)	(11.0, 94.0)	(12.0, 873.0)	(13.0, 5333.0)	(14.0, 18608.0)	(15.0, 35312.0)	(16.0, 47016.0)	(17.0, 51121.0)	(18.0, 54718.0)	(19.0, 61468.0)	(20.0, 73129.0)	(21.0, 85676.0)	(22.0, 101063.0)	(23.0, 119549.0)	(24.0, 138368.0)	(25.0, 166111.0)	(26.0, 189775.0)	(27.0, 217897.0)	(28.0, 256920.0)	(29.0, 298853.0)	(30.0, 350403.0)	(31.0, 429322.0)	(32.0, 524175.0)	(33.0, 666668.0)	(34.0, 913156.0)	(35.0, 1300066.0)	(36.0, 2251930.0)	(37.0, 4395733.0)	(38.0, 11689727.0)	(39.0, 48850786.0)	(40.0, 11924094.0)
14340-YK-3_1	(12.0, 1.0)	(13.0, 20.0)	(14.0, 225.0)	(15.0, 845.0)	(16.0, 2233.0)	(17.0, 4847.0)	(18.0, 9553.0)	(19.0, 15334.0)	(20.0, 22591.0)	(21.0, 30935.0)	(22.0, 40777.0)	(23.0, 53125.0)	(24.0, 67846.0)	(25.0, 89133.0)	(26.0, 114054.0)	(27.0, 139629.0)	(28.0, 172980.0)	(29.0, 209286.0)	(30.0, 251937.0)	(31.0, 314949.0)	(32.0, 395791.0)	(33.0, 510261.0)	(34.0, 719642.0)	(35.0, 1061525.0)	(36.0, 1892028.0)	(37.0, 3768862.0)	(38.0, 10866410.0)	(39.0, 55459230.0)	(40.0, 11471794.0)			
14340-YK-3_2	(10.0, 6.0)	(11.0, 95.0)	(12.0, 814.0)	(13.0, 5600.0)	(14.0, 19273.0)	(15.0, 35669.0)	(16.0, 46748.0)	(17.0, 50479.0)	(18.0, 54206.0)	(19.0, 60855.0)	(20.0, 72770.0)	(21.0, 85855.0)	(22.0, 102460.0)	(23.0, 121913.0)	(24.0, 140460.0)	(25.0, 168005.0)	(26.0, 193912.0)	(27.0, 222711.0)	(28.0, 261482.0)	(29.0, 304618.0)	(30.0, 357760.0)	(31.0, 436249.0)	(32.0, 530924.0)	(33.0, 676445.0)	(34.0, 929351.0)	(35.0, 1322162.0)	(36.0, 2287306.0)	(37.0, 4503048.0)	(38.0, 12097350.0)	(39.0, 50712091.0)	(40.0, 11885226.0)	
14340-YK-4_1	(13.0, 42.0)	(14.0, 345.0)	(15.0, 1203.0)	(16.0, 2702.0)	(17.0, 5711.0)	(18.0, 10310.0)	(19.0, 16620.0)	(20.0, 23866.0)	(21.0, 32284.0)	(22.0, 42470.0)	(23.0, 55449.0)	(24.0, 71140.0)	(25.0, 92892.0)	(26.0, 117328.0)	(27.0, 143234.0)	(28.0, 177448.0)	(29.0, 213548.0)	(30.0, 255607.0)	(31.0, 319862.0)	(32.0, 401343.0)	(33.0, 517180.0)	(34.0, 731367.0)	(35.0, 1079850.0)	(36.0, 1932207.0)	(37.0, 3856990.0)	(38.0, 11040375.0)	(39.0, 53924109.0)	(40.0, 10852968.0)				
14340-YK-4_2	(9.0, 1.0)	(10.0, 13.0)	(11.0, 98.0)	(12.0, 994.0)	(13.0, 6537.0)	(14.0, 21734.0)	(15.0, 39853.0)	(16.0, 51721.0)	(17.0, 55233.0)	(18.0, 58999.0)	(19.0, 65524.0)	(20.0, 78899.0)	(21.0, 91744.0)	(22.0, 107793.0)	(23.0, 126687.0)	(24.0, 146405.0)	(25.0, 173808.0)	(26.0, 199739.0)	(27.0, 230239.0)	(28.0, 271910.0)	(29.0, 316427.0)	(30.0, 373699.0)	(31.0, 457729.0)	(32.0, 559394.0)	(33.0, 712180.0)	(34.0, 977799.0)	(35.0, 1386403.0)	(36.0, 2395728.0)	(37.0, 4667106.0)	(38.0, 12217095.0)	(39.0, 48854563.0)	(40.0, 11272396.0)
14340-YK-5_1	(12.0, 1.0)	(13.0, 24.0)	(14.0, 230.0)	(15.0, 860.0)	(16.0, 2169.0)	(17.0, 4773.0)	(18.0, 9332.0)	(19.0, 14900.0)	(20.0, 22076.0)	(21.0, 30006.0)	(22.0, 39110.0)	(23.0, 51505.0)	(24.0, 66611.0)	(25.0, 87730.0)	(26.0, 111541.0)	(27.0, 137946.0)	(28.0, 171921.0)	(29.0, 208658.0)	(30.0, 251230.0)	(31.0, 316735.0)	(32.0, 402341.0)	(33.0, 519157.0)	(34.0, 741786.0)	(35.0, 1103251.0)	(36.0, 1990104.0)	(37.0, 4029742.0)	(38.0, 11782017.0)	(39.0, 54802992.0)	(40.0, 9793085.0)			
14340-YK-5_2	(9.0, 1.0)	(10.0, 3.0)	(11.0, 75.0)	(12.0, 787.0)	(13.0, 5439.0)	(14.0, 19018.0)	(15.0, 37462.0)	(16.0, 49545.0)	(17.0, 53658.0)	(18.0, 58237.0)	(19.0, 65771.0)	(20.0, 77922.0)	(21.0, 92068.0)	(22.0, 109757.0)	(23.0, 130306.0)	(24.0, 150355.0)	(25.0, 180054.0)	(26.0, 207247.0)	(27.0, 239446.0)	(28.0, 283155.0)	(29.0, 327725.0)	(30.0, 388810.0)	(31.0, 476858.0)	(32.0, 586684.0)	(33.0, 749129.0)	(34.0, 1035247.0)	(35.0, 1485058.0)	(36.0, 2594716.0)	(37.0, 5094586.0)	(38.0, 13299800.0)	(39.0, 48887997.0)	(40.0, 10004917.0)
