Sample	Unique Reads	Duplicate Reads
14340-YK-1_1	24808831.0	54675657.0
14340-YK-1_2	22444496.0	57039992.0
14340-YK-2_1	25989202.0	59228749.0
14340-YK-2_2	23760667.0	61457284.0
14340-YK-3_1	26897340.0	60788503.0
14340-YK-3_2	24495481.0	63190362.0
14340-YK-4_1	27615834.0	58302616.0
14340-YK-4_2	24721215.0	61197235.0
14340-YK-5_1	27813605.0	58878228.0
14340-YK-5_2	24519984.0	62171849.0
14340-YK-6_1	25091291.0	48133713.0
14340-YK-6_2	21988888.0	51236116.0
14340-YK-7_1	27582537.0	56065470.0
14340-YK-7_2	24055531.0	59592476.0
14340-YK-8_1	25614790.0	51359315.0
14340-YK-8_2	22787752.0	54186353.0
14340-YK-9_1	25557541.0	54176171.0
14340-YK-9_2	23385152.0	56348560.0
