Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
14340-YK-1_1	(1.0, 20.308216118507325)	(2.0, 9.293853880180263)	(3.0, 5.874595481866676)	(4.0, 4.238055146050022)	(5.0, 3.3115411585244594)	(6.0, 2.8155356002401386)	(7.0, 2.2860382678930566)	(8.0, 2.000608599186887)	(9.0, 1.6922577561216008)	('>10', 22.169224523541224)	('>50', 6.60995965512076)	('>100', 11.301746713048697)	('>500', 3.507434668774144)	('>1k', 3.9853103479035803)	('>5k', 0.4882445585273961)	('>10k+', 0.11737752451400144)
14340-YK-1_2	(1.0, 16.974411245344236)	(2.0, 9.07964169253897)	(3.0, 6.102882204937645)	(4.0, 4.675520312518117)	(5.0, 3.683960864668833)	(6.0, 3.0293786565407914)	(7.0, 2.562302910196407)	(8.0, 2.177650048704511)	(9.0, 1.997020492725255)	('>10', 22.962150031099267)	('>50', 6.554634179949906)	('>100', 11.759976960134894)	('>500', 3.5419584200766705)	('>1k', 3.950474063102389)	('>5k', 0.49626651056462123)	('>10k+', 0.4517714068973493)
14340-YK-2_1	(1.0, 19.810619678861745)	(2.0, 8.981319283222012)	(3.0, 5.619641367753035)	(4.0, 4.146764760445827)	(5.0, 3.297818636360582)	(6.0, 2.727144504817076)	(7.0, 2.406201890021417)	(8.0, 1.9693838953793168)	(9.0, 1.6860462939599137)	('>10', 22.88234080965764)	('>50', 6.675667733337515)	('>100', 11.48660377255358)	('>500', 3.5657111679022773)	('>1k', 4.104237003181238)	('>5k', 0.5144049164674324)	('>10k+', 0.1260942860793371)
14340-YK-2_2	(1.0, 16.705104289951304)	(2.0, 8.838323636597105)	(3.0, 6.115994482550824)	(4.0, 4.536975511108507)	(5.0, 3.7203435730356276)	(6.0, 3.1682260331006615)	(7.0, 2.572345624398078)	(8.0, 2.2715753143655744)	(9.0, 1.8935830587998137)	('>10', 23.673177434580314)	('>50', 6.566757803093766)	('>100', 11.602016885575217)	('>500', 3.395065891633747)	('>1k', 4.027751651862509)	('>5k', 0.476697827537578)	('>10k+', 0.43606098180948943)
14340-YK-3_1	(1.0, 20.04435269756506)	(2.0, 8.940176392265165)	(3.0, 5.546375020576571)	(4.0, 4.169177124771921)	(5.0, 3.296721329053927)	(6.0, 2.635271081566309)	(7.0, 2.289460324444034)	(8.0, 2.071009932186074)	(9.0, 1.752619397213528)	('>10', 22.67768573388573)	('>50', 6.848183739611177)	('>100', 11.35450964972177)	('>500', 3.594090923802387)	('>1k', 4.0988718162775095)	('>5k', 0.5265800391227364)	('>10k+', 0.154914797936059)
14340-YK-3_2	(1.0, 16.85042561635004)	(2.0, 8.842764685418794)	(3.0, 5.933730485345332)	(4.0, 4.541348977123704)	(5.0, 3.5639742030493604)	(6.0, 3.0874798440086355)	(7.0, 2.5963497263091653)	(8.0, 2.242223013234183)	(9.0, 1.9101327045212022)	('>10', 23.631380902758462)	('>50', 6.599754525131672)	('>100', 11.70596059663474)	('>500', 3.442500682352176)	('>1k', 4.07339358742034)	('>5k', 0.510478672834279)	('>10k+', 0.46810177750741117)
14340-YK-4_1	(1.0, 20.964215564029402)	(2.0, 9.600311143880479)	(3.0, 5.87203316260079)	(4.0, 4.291395492836247)	(5.0, 3.413040108123238)	(6.0, 2.8921180898786676)	(7.0, 2.41716822090303)	(8.0, 1.9835170091371062)	(9.0, 1.794198219336114)	('>10', 22.825936935739524)	('>50', 6.649110103889823)	('>100', 10.882950632524773)	('>500', 3.1315963689342112)	('>1k', 3.0196916299857843)	('>5k', 0.2265940753960759)	('>10k+', 0.03612324280497514)
14340-YK-4_2	(1.0, 17.360087334346872)	(2.0, 9.065771234908281)	(3.0, 6.130659918817928)	(4.0, 4.722152440735707)	(5.0, 3.85564692129357)	(6.0, 3.207205927274031)	(7.0, 2.687443932405506)	(8.0, 2.165128977211182)	(9.0, 1.99802805391641)	('>10', 24.052692419001644)	('>50', 6.516972575767423)	('>100', 11.282442874118267)	('>500', 3.054223697039782)	('>1k', 3.1503702212108116)	('>5k', 0.36137544936806226)	('>10k+', 0.38979802258449897)
14340-YK-5_1	(1.0, 20.888005202152087)	(2.0, 9.609846998406688)	(3.0, 6.039646483635406)	(4.0, 4.306837910328201)	(5.0, 3.331082268414038)	(6.0, 2.7890310490069243)	(7.0, 2.374579764163504)	(8.0, 2.0413787895174194)	(9.0, 1.7676987462860054)	('>10', 22.46195426560567)	('>50', 6.614979796564363)	('>100', 10.954844026647171)	('>500', 3.3402200957492814)	('>1k', 3.2266214391036185)	('>5k', 0.21850366431009643)	('>10k+', 0.03476950010947167)
14340-YK-5_2	(1.0, 16.960078975849246)	(2.0, 9.017500500742964)	(3.0, 6.178861025989771)	(4.0, 4.626739753889213)	(5.0, 3.816370366830721)	(6.0, 3.1018785458402185)	(7.0, 2.6538430691990293)	(8.0, 2.2061818895901286)	(9.0, 1.9766376317471734)	('>10', 23.56271258699289)	('>50', 6.6056401869550125)	('>100', 11.632971496237486)	('>500', 3.374424382872079)	('>1k', 3.5187264520219563)	('>5k', 0.37454545353847185)	('>10k+', 0.3928876817036538)
14340-YK-6_1	(1.0, 22.22551598331024)	(2.0, 10.62828817124282)	(3.0, 6.603120422704639)	(4.0, 4.711679556627666)	(5.0, 3.6149216134630415)	(6.0, 2.8864247923905015)	(7.0, 2.40170819300584)	(8.0, 2.0971816505042726)	(9.0, 1.8793719489794358)	('>10', 21.635151233902377)	('>50', 6.204739581087913)	('>100', 9.993382578435225)	('>500', 2.768133702778213)	('>1k', 2.2404611276417357)	('>5k', 0.09332899657326554)	('>10k+', 0.016590447352541702)
14340-YK-6_2	(1.0, 18.120026775400365)	(2.0, 9.735275054312194)	(3.0, 6.574817565030262)	(4.0, 4.956020236598456)	(5.0, 3.8509617140815045)	(6.0, 3.1729753194909027)	(7.0, 2.6480139998755305)	(8.0, 2.2716938226239973)	(9.0, 2.062332050384789)	('>10', 23.10810971060762)	('>50', 6.2835310576237475)	('>100', 11.007992700761736)	('>500', 2.823976491960782)	('>1k', 2.730394663960689)	('>5k', 0.2659390970047729)	('>10k+', 0.3879397402829468)
14340-YK-7_1	(1.0, 21.679558560965223)	(2.0, 9.701053865482143)	(3.0, 6.145395139141788)	(4.0, 4.311691451354461)	(5.0, 3.560879161089689)	(6.0, 2.8062374268720363)	(7.0, 2.365581561034414)	(8.0, 2.003383421198169)	(9.0, 1.8179343147269484)	('>10', 22.019256204309567)	('>50', 6.509577480557274)	('>100', 10.657653357875411)	('>500', 3.126091298822758)	('>1k', 3.06701161234144)	('>5k', 0.20870035713208424)	('>10k+', 0.019994787096312496)
14340-YK-7_2	(1.0, 17.35523398212747)	(2.0, 9.129882720011626)	(3.0, 6.209817703151351)	(4.0, 4.750373937345306)	(5.0, 3.667818928582807)	(6.0, 3.1340890409620727)	(7.0, 2.604360801512009)	(8.0, 2.308452232178232)	(9.0, 1.9904763516021673)	('>10', 23.51093231815058)	('>50', 6.3929314184663095)	('>100', 11.528115022454958)	('>500', 3.205424661682653)	('>1k', 3.409200573883754)	('>5k', 0.3828920603780518)	('>10k+', 0.4199982475106353)
14340-YK-8_1	(1.0, 21.982044411025235)	(2.0, 9.773159718678874)	(3.0, 6.046597605339597)	(4.0, 4.489428054807421)	(5.0, 3.369458460987219)	(6.0, 2.78712817594108)	(7.0, 2.3832087636028203)	(8.0, 1.9967465494257548)	(9.0, 1.8034732601551178)	('>10', 22.08022116753349)	('>50', 6.384309061729998)	('>100', 10.412312935426662)	('>500', 3.1494612706702534)	('>1k', 3.055521568049417)	('>5k', 0.241396126215945)	('>10k+', 0.0455328704112879)
14340-YK-8_2	(1.0, 18.018565918813543)	(2.0, 9.335244814151041)	(3.0, 6.334056255459278)	(4.0, 4.812432945685506)	(5.0, 3.8133849953502716)	(6.0, 3.1855782201702167)	(7.0, 2.694369724656245)	(8.0, 2.2985861746927974)	(9.0, 2.0182378526188813)	('>10', 23.037305444272402)	('>50', 6.413256778972095)	('>100', 11.074134180511066)	('>500', 3.0686345199856953)	('>1k', 3.15686458316166)	('>5k', 0.3342877347498061)	('>10k+', 0.4050598567494458)
14340-YK-9_1	(1.0, 21.232024149329483)	(2.0, 9.259632085199424)	(3.0, 5.787050427937619)	(4.0, 4.129222730681517)	(5.0, 3.227304467138138)	(6.0, 2.731236945507703)	(7.0, 2.248594362773778)	(8.0, 1.9686438523240524)	(9.0, 1.802303509756104)	('>10', 22.400129031335776)	('>50', 6.65198600082211)	('>100', 10.884160560685286)	('>500', 3.4514384675486163)	('>1k', 3.819388859892841)	('>5k', 0.3117556088762672)	('>10k+', 0.0951289401914115)
14340-YK-9_2	(1.0, 18.0339615644747)	(2.0, 9.000392311865467)	(3.0, 6.26310259666446)	(4.0, 4.707835986908279)	(5.0, 3.6703264522567647)	(6.0, 3.0618233376814676)	(7.0, 2.6435007831924326)	(8.0, 2.2686370262637667)	(9.0, 1.9954619050787499)	('>10', 22.759407151862245)	('>50', 6.228494000450539)	('>100', 11.452286403559569)	('>500', 3.3433747975040276)	('>1k', 3.6866653364146766)	('>5k', 0.4445269738971711)	('>10k+', 0.4402033719257339)
