Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
14340-YK-1_1	4.9	79849775	37655990	79849775	12057316025	33554920	11435790762	5.154756346365235
14340-YK-1_2	4.9	79849775	39260453	79849775	12057316025	53756609	11443134966	5.093845576631969
14340-YK-2_1	4.9	85515200	36671938	85515200	12912795200	24801351	12441121712	3.652760542504384
14340-YK-2_2	4.9	85515200	38781402	85515200	12912795200	50764816	12437624271	3.679845623200157
14340-YK-3_1	4.9	87975226	38673125	87975226	13284259126	31720188	12786953508	3.7435705919547417
14340-YK-3_2	4.9	87975226	40898049	87975226	13284259126	54899237	12778518038	3.807070331910055
14340-YK-4_1	4.9	86288460	37129371	86288460	13029557460	34930914	12538319609	3.770180625919738
14340-YK-4_2	4.9	86288460	39081380	86288460	13029557460	55325498	12539338514	3.7623606749879595
14340-YK-5_1	4.9	87097628	37063182	87097628	13151741828	34717680	12654471599	3.7810218258794728
14340-YK-5_2	4.9	87097628	39065868	87097628	13151741828	57454415	12660742674	3.733339358552986
14340-YK-6_1	4.9	73636606	33102047	73636606	11119127506	34350789	10611066067	4.56925634431159
14340-YK-6_2	4.9	73636606	34550251	73636606	11119127506	52353005	10621370519	4.476583137763327
14340-YK-7_1	4.9	84053603	35432748	84053603	12692094053	30325195	12229699175	3.6431724825637017
14340-YK-7_2	4.9	84053603	37331116	84053603	12692094053	55501124	12236688849	3.5881013968089603
14340-YK-8_1	4.9	77305963	32550513	77305963	11673200413	20695975	11273689928	3.422458887582195
14340-YK-8_2	4.9	77305963	34291027	77305963	11673200413	45727628	11277799653	3.3872523901813354
14340-YK-9_1	4.9	79967133	33518019	79967133	12075037083	27286605	11672714175	3.3318565006016883
14340-YK-9_2	4.9	79967133	35519633	79967133	12075037083	49700851	11657972938	3.4539367633675364
