Sample	Strand inference method	Status	Provided strandedness	Inferred strandedness	Sense (%)	Antisense (%)	Unstranded (%)
14340-YK-1	RSeQC	pass	auto	reverse	2.2202219883325576	71.23712435589482	26.542653655772614
14340-YK-1 	Salmon	pass	auto	reverse	0.28669559490998914	99.71330440509001	0.0
14340-YK-2	RSeQC	pass	auto	reverse	2.200000020861626	70.51000104114415	27.289998937994227
14340-YK-2 	Salmon	pass	auto	reverse	0.28721902845328867	99.7127809715467	0.0
14340-YK-3	RSeQC	pass	auto	reverse	2.329999866709118	68.79999977350236	28.870000359788524
14340-YK-3 	Salmon	pass	auto	reverse	0.2893449469037108	99.71065505309629	0.0
14340-YK-4	RSeQC	pass	auto	reverse	2.5000000512227416	68.57000031640753	28.929999632369725
14340-YK-4 	Salmon	pass	auto	reverse	0.3154612115155383	99.68453878848447	0.0
14340-YK-5	RSeQC	pass	auto	reverse	2.3800000193715096	68.73000161752103	28.889998363107466
14340-YK-5 	Salmon	pass	auto	reverse	0.2835630426467047	99.7164369573533	0.0
14340-YK-6	RSeQC	pass	auto	reverse	2.1897809865518756	70.84291716642103	26.96730184702709
14340-YK-6 	Salmon	pass	auto	reverse	0.2915607311211707	99.70843926887883	0.0
14340-YK-7	RSeQC	pass	auto	reverse	2.300000008754432	70.21999968256802	27.480000308677553
14340-YK-7 	Salmon	pass	auto	reverse	0.29158060988944234	99.70841939011056	0.0
14340-YK-8	RSeQC	pass	auto	reverse	2.2300000160373754	71.43000021049754	26.339999773465088
14340-YK-8 	Salmon	pass	auto	reverse	0.2748691243157087	99.72513087568429	0.0
14340-YK-9	RSeQC	pass	auto	reverse	2.2199999954551455	70.83000076618046	26.949999238364384
14340-YK-9 	Salmon	pass	auto	reverse	0.3050739484702768	99.69492605152972	0.0
