Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
14340-YK-1_1	14340-YK-1_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	79849775.0	12 Gbp	0.0	151.0	49.0	31.159668357542795	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
14340-YK-1_2	14340-YK-1_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	79849775.0	12 Gbp	0.0	151.0	50.0	28.25401867689293	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-2_1	14340-YK-2_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	85515200.0	12.9 Gbp	0.0	151.0	49.0	30.453765442012887	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-2_2	14340-YK-2_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	85515200.0	12.9 Gbp	0.0	151.0	50.0	27.909586981091998	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-3_1	14340-YK-3_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	87975226.0	13.2 Gbp	0.0	151.0	49.0	30.656958854042678	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
14340-YK-3_2	14340-YK-3_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	87975226.0	13.2 Gbp	0.0	151.0	50.0	27.96852350276205	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-4_1	14340-YK-4_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	86288460.0	13 Gbp	0.0	151.0	49.0	32.081935908662466	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-4_2	14340-YK-4_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	86288460.0	13 Gbp	0.0	151.0	50.0	28.796317098208394	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-5_1	14340-YK-5_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	87097628.0	13.1 Gbp	0.0	151.0	49.0	32.02585675614739	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-5_2	14340-YK-5_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	87097628.0	13.1 Gbp	0.0	151.0	50.0	28.29353330258722	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-6_1	14340-YK-6_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	73636606.0	11.1 Gbp	0.0	151.0	49.0	34.184016500520606	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
14340-YK-6_2	14340-YK-6_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	73636606.0	11.1 Gbp	0.0	151.0	50.0	30.003416855939346	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-7_1	14340-YK-7_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	84053603.0	12.6 Gbp	0.0	151.0	49.0	32.884970109401465	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
14340-YK-7_2	14340-YK-7_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	84053603.0	12.6 Gbp	0.0	151.0	50.0	28.751520817371635	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-8_1	14340-YK-8_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	77305963.0	11.6 Gbp	0.0	151.0	49.0	33.19697332162093	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
14340-YK-8_2	14340-YK-8_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	77305963.0	11.6 Gbp	0.0	151.0	50.0	29.614999521818675	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
14340-YK-9_1	14340-YK-9_raw_1.gz	Conventional base calls	Sanger / Illumina 1.9	79967133.0	12 Gbp	0.0	151.0	49.0	32.02562631931504	151.0	151	pass	pass	pass	pass	warn	pass	pass	pass	fail	pass	fail
14340-YK-9_2	14340-YK-9_raw_2.gz	Conventional base calls	Sanger / Illumina 1.9	79967133.0	12 Gbp	0.0	151.0	50.0	29.376711894018786	151.0	151	pass	pass	warn	pass	warn	pass	pass	pass	fail	warn	fail
