Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
14340-YK-1_1	14340-YK-1_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79484488.0	11.4 Gbp	0.0	20-151	49.0	31.212165661727237	143.71542698998073	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-1_2	14340-YK-1_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79484488.0	11.4 Gbp	0.0	20-151	50.0	28.237579946357172	143.5671081507124	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
14340-YK-2_1	14340-YK-2_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85217951.0	12.4 Gbp	0.0	20-151	49.0	30.497332013757806	145.85059758125374	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-2_2	14340-YK-2_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85217951.0	12.4 Gbp	0.0	20-151	50.0	27.882231442095307	145.6976575158443	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
14340-YK-3_1	14340-YK-3_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87685843.0	12.7 Gbp	0.0	20-151	49.0	30.674665847164768	145.678572948201	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-3_2	14340-YK-3_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	87685843.0	12.7 Gbp	0.0	20-151	50.0	27.935502098763283	145.51809573182754	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
14340-YK-4_1	14340-YK-4_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85918450.0	12.5 Gbp	0.0	20-151	49.0	32.141913344919345	145.77100853192766	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-4_2	14340-YK-4_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	85918450.0	12.5 Gbp	0.0	20-151	50.0	28.77288220125686	145.59466448708048	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
14340-YK-5_1	14340-YK-5_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86691833.0	12.6 Gbp	0.0	20-151	49.0	32.08330466945927	145.81562438528667	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-5_2	14340-YK-5_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	86691833.0	12.6 Gbp	0.0	20-151	50.0	28.2840756634347	145.63312144986023	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
14340-YK-6_1	14340-YK-6_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73225004.0	10.5 Gbp	0.0	20-151	49.0	34.266015104322	144.7249730570175	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-6_2	14340-YK-6_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	73225004.0	10.5 Gbp	0.0	20-151	50.0	30.02920594525712	144.5333356758847	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
14340-YK-7_1	14340-YK-7_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83648007.0	12.2 Gbp	0.0	20-151	49.0	32.97452938051586	146.04541045431006	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-7_2	14340-YK-7_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	83648007.0	12.1 Gbp	0.0	20-151	50.0	28.758043307697672	145.86554854797677	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
14340-YK-8_1	14340-YK-8_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76974105.0	11.2 Gbp	0.0	20-151	49.0	33.27715126147452	146.3189434680663	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-8_2	14340-YK-8_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	76974105.0	11.2 Gbp	0.0	20-151	50.0	29.604438537098428	146.14895613271503	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
14340-YK-9_1	14340-YK-9_trimmed_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79733712.0	11.6 Gbp	0.0	20-151	49.0	32.05361915862432	146.23434808854753	151	pass	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
14340-YK-9_2	14340-YK-9_trimmed_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	79733712.0	11.6 Gbp	0.0	20-151	50.0	29.329063918256242	146.06166618707027	151	pass	pass	warn	pass	warn	pass	pass	warn	fail	warn	pass
