Sample	custom_content_biotype_counts-percent_rRNA	custom_content_dupradar-dupRadar_intercept	picard_mark_duplicates-PERCENT_DUPLICATION	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	qualimap_rnaseq-reads_aligned_exonic	qualimap_rnaseq-reads_aligned_intronic	qualimap_rnaseq-reads_aligned_intergenic	qualimap_rnaseq-reads_aligned_overlapping_exon	rsem-alignable_percent	rseqc_bam_stat-proper_pairs_percent	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_stats-insert_size_average	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
14340-YK-1	2.306670933263806e-05	0.118029572215247	32.4786	1.16	78.535939	124.83944699999999	11.160262999999999	1.542752	6.967623	98.66931723010062	47.518397307361205	0.3397996	50.435717	157.109744	98.83044349483637	98.80662375280068	4.052388813273856	158.968976	1683.4	209.40469299999998	207.545461	99.11													
14340-YK-1_1																							68.8403316424572	49.0	151.0	151	18.181818181818183	79.849775	5.154756346365235	68.78783433827276	49.0	143.71542698998073	151	18.181818181818183	79.484488
14340-YK-1_2																							71.74598132310707	50.0	151.0	151	18.181818181818183	79.849775	5.093845576631969	71.76242005364283	50.0	143.5671081507124	151	9.090909090909092	79.484488
14340-YK-2	1.7193665702251034e-05	0.106185576424321	31.901600000000002	1.14	84.28102	135.161611	11.655721999999999	1.610326	7.5563389999999995	98.78162376793726	48.881834040944675	0.3306935	50.449242999999996	168.600044	98.92284549296427	98.90054737410901	3.737990602472946	170.435902	1788.9	220.885145	219.049287	99.17													
14340-YK-2_1																							69.5462345579871	49.0	151.0	151	18.181818181818183	85.5152	3.652760542504384	69.50266798624219	49.0	145.85059758125374	151	18.181818181818183	85.217951
14340-YK-2_2																							72.09041301890801	50.0	151.0	151	18.181818181818183	85.5152	3.679845623200157	72.1177685579047	50.0	145.6976575158443	151	9.090909090909092	85.217951
14340-YK-3	3.9582028803587426e-05	0.09392486729919	31.485400000000002	1.11	86.718784	138.513024	12.290448	1.647988	7.7020729999999995	98.77422054214816	48.96535266187905	0.3310846	52.997142	173.476247	98.91918755915935	98.89713211743884	3.8359578752068337	175.37168599999998	1736.7	228.36882799999998	226.473389	99.17													
14340-YK-3_1																							69.34304114595733	49.0	151.0	151	18.181818181818183	87.97522599999999	3.7435705919547417	69.32533415283524	49.0	145.678572948201	151	18.181818181818183	87.68584299999999
14340-YK-3_2																							72.03147649723795	50.0	151.0	151	18.181818181818183	87.97522599999999	3.807070331910055	72.06449790123672	50.0	145.51809573182754	151	9.090909090909092	87.68584299999999
14340-YK-4	1.2872031519838429e-05	0.111886480697131	30.4462	1.13	84.88489799999999	136.81827099999998	12.986063999999999	1.768117	7.929231	98.67157191576354	52.96257740518854	0.3433817	38.342486	169.813625	98.82256081202581	98.79705464891417	2.5778590046724537	171.83689999999999	1829.6	210.179386	208.15611099999998	99.04													
