Sample	bedtools	getchromsizes	bioconductor-dupradar	fastqc	fq	perl	python	picard	qualimap	rsem	star	sed	rseqc	salmon	samtools	stringtie	subread	trimgalore	cutadapt	pigz	ucsc	nf-core/rnaseq	Nextflow
BEDTOOLS_GENOMECOV_FW	2.31.1																						
CUSTOM_GETCHROMSIZES		1.21																					
DupRadar			1.32.0																				
FASTQC				0.12.1																			
FQ_LINT					0.12.0 (2024-07-08)																		
FQ_SUBSAMPLE					0.12.0 (2024-07-08)																		
GTF2BED						5.26.2																	
GTF_FILTER							3.9.5																
MULTIQC_CUSTOM_BIOTYPE							3.9.5																
PICARD_MARKDUPLICATES								3.1.1															
QUALIMAP_RNASEQ									2.3														
RSEM_CALCULATEEXPRESSION										1.3.1	2.7.10a												
RSEM_MERGE_COUNTS												4.7											
RSEQC_BAMSTAT													5.0.2										
RSEQC_INFEREXPERIMENT													5.0.2										
RSEQC_INNERDISTANCE													5.0.2										
RSEQC_JUNCTIONANNOTATION													5.0.2										
RSEQC_JUNCTIONSATURATION													5.0.2										
RSEQC_READDISTRIBUTION													5.0.2										
RSEQC_READDUPLICATION													5.0.2										
SALMON_QUANT														1.10.3									
SAMTOOLS_FLAGSTAT															1.21								
SAMTOOLS_IDXSTATS															1.21								
SAMTOOLS_INDEX															1.21								
SAMTOOLS_SORT															1.21								
SAMTOOLS_STATS															1.21								
STRINGTIE_STRINGTIE																2.2.3							
SUBREAD_FEATURECOUNTS																	2.0.6						
TRIMGALORE																		0.6.10	4.9	2.8			
UCSC_BEDCLIP																					377		
UCSC_BEDGRAPHTOBIGWIG																					469		
Workflow																						v3.19.0-g0bb032c	24.10.5
