gene_id,entrezgene_id,external_gene_name,description,transcript_id(s),14340-YK-1,14340-YK-2,14340-YK-3,14340-YK-4,14340-YK-5,14340-YK-6,14340-YK-7,14340-YK-8,14340-YK-9
ENSG00000000003,7105,TSPAN6,tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858],"ENST00000373020,ENST00000494424,ENST00000496771,ENST00000612152",594,635,694,626,636,532,673,622,622
ENSG00000000005,64102,TNMD,tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757],"ENST00000373031,ENST00000485971",0,0,0,0,0,0,0,0,0
ENSG00000000419,8813,DPM1,"dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]","ENST00000371582,ENST00000371584,ENST00000371588,ENST00000413082,ENST00000466152,ENST00000494752,ENST00000681979,ENST00000682366,ENST00000682713,ENST00000682754,ENST00000683010,ENST00000683048,ENST00000683466,ENST00000684193,ENST00000684628,ENST00000684708",4101,4184,4477,4176,4525,3642,4193,3857,3926
ENSG00000000457,57147,SCYL3,SCY1 like pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:19285],"ENST00000367770,ENST00000367771,ENST00000367772,ENST00000423670,ENST00000470238",681,801,872,857,910,814,812,746,677
ENSG00000000460,55732,FIRRM,FIGNL1 interacting regulator of recombination and mitosis [Source:HGNC Symbol;Acc:HGNC:25565],"ENST00000286031,ENST00000359326,ENST00000413811,ENST00000459772,ENST00000466580,ENST00000472795,ENST00000481744,ENST00000496973,ENST00000498289",2106,2439,2385,2199,2159,1885,2162,2030,2084
ENSG00000000938,2268,FGR,"FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]","ENST00000374003,ENST00000374004,ENST00000374005,ENST00000399173,ENST00000457296,ENST00000468038,ENST00000475472",0,0,0,2,0,0,0,0,0
ENSG00000000971,3075,CFH,complement factor H [Source:HGNC Symbol;Acc:HGNC:4883],"ENST00000359637,ENST00000367429,ENST00000466229,ENST00000470918,ENST00000496761,ENST00000630130,ENST00000695968,ENST00000695969,ENST00000695970,ENST00000695971,ENST00000695972,ENST00000695973,ENST00000695974,ENST00000695975,ENST00000695976,ENST00000695977,ENST00000695978,ENST00000695979,ENST00000695980,ENST00000695981,ENST00000695983,ENST00000695984,ENST00000695986,ENST00000695987,ENST00000695990,ENST00000696018,ENST00000696019,ENST00000696020,ENST00000696021,ENST00000696022,ENST00000696023,ENST00000696024,ENST00000696025,ENST00000696026,ENST00000696027,ENST00000696028,ENST00000696029,ENST00000696030,ENST00000696031",2,0,1,2,1,0,3.81,0,2
ENSG00000001036,2519,FUCA2,alpha-L-fucosidase 2 [Source:HGNC Symbol;Acc:HGNC:4008],"ENST00000002165,ENST00000367585,ENST00000451668",4875,5296,5185,5221,5570,4491,5307,4717,5025
ENSG00000001084,2729,GCLC,glutamate-cysteine ligase catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311],"ENST00000504353,ENST00000504525,ENST00000505197,ENST00000505294,ENST00000509541,ENST00000510837,ENST00000513939,ENST00000514004,ENST00000514373,ENST00000514933,ENST00000515580,ENST00000616923,ENST00000643939,ENST00000650454",1687,1843,1999,1696,1699,1390,1706,1620,1658
ENSG00000001167,4800,NFYA,nuclear transcription factor Y subunit alpha [Source:HGNC Symbol;Acc:HGNC:7804],"ENST00000341376,ENST00000353205",3312,3786,3925,3787,3829,3420,3803,3521,3441
