index_waters,Electrophile,Electrophile SMILES,Nucleophile,Nucleophile SMILES,Product SMILES,nu/100000,prod/100000,prod/(nu+prod)*100,inhibition %,inhibition % in 5-fold dilution,E,molarMass,molarity,chemtype,sublocation,density,atp,acid type,Structure of smiles [idcode],smiles,order,factor,cas,formSlurry,N,Nn,circos_index
B8,"E12_ISOVALERIC ACID, 99%",CC(C)CC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)CCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,14.2,9.3,39.4,0.0,-1.0,12,102.13,0.2,Electrophile,acid-A13,1,2,1,gNp`@dfvZj@@,CC(C)CC(=O)O,1,1,503-74-2,0,N1,1,0
B20,"E12_ISOVALERIC ACID, 99%",CC(C)CC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)CCNC[C@]1(C)CCC[C@]2(C)c3cc(O)c(C(C)C)cc3CCC12,0.4,1.3,78.3,0.0,-1.0,12,102.13,0.2,Electrophile,acid-A13,1,2,1,gNp`@dfvZj@@,CC(C)CC(=O)O,1,1,503-74-2,0,N2,2,0
B32,"E12_ISOVALERIC ACID, 99%",CC(C)CC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)CCNC[C@]1(C)CCC[C@]2(C)C3CCC(C(C)C)=CC3=CCC12,1.6,4.4,73.3,0.0,-1.0,12,102.13,0.2,Electrophile,acid-A13,1,2,1,gNp`@dfvZj@@,CC(C)CC(=O)O,1,1,503-74-2,0,N3,3,0
B44,"E12_ISOVALERIC ACID, 99%",CC(C)CC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCC(C)C)c(C(C)C)cc3CCC12,1.0,1.4,58.5,0.0,-1.0,12,102.13,0.2,Electrophile,acid-A13,1,2,1,gNp`@dfvZj@@,CC(C)CC(=O)O,1,1,503-74-2,0,N4,4,0
D8,"E15_4-METHYLVALERIC ACID, 99%",CC(C)CCC(=O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)CCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@@H]12,5.0,9.4,65.0,0.0,-1.0,15,116.16,0.2,Electrophile,acid01-B1,1,2,1,daxD@@QImYjj@@,CC(C)CCC(=O)O,1,1,646-07-1,0,N1,1,1
D20,"E15_4-METHYLVALERIC ACID, 99%",CC(C)CCC(=O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)CCCNC[C@]1(C)CCC[C@]2(C)c3cc(O)c(C(C)C)cc3CCC12,0.0,1.0,100.0,25.1,-1.0,15,116.16,0.2,Electrophile,acid01-B1,1,2,1,daxD@@QImYjj@@,CC(C)CCC(=O)O,1,1,646-07-1,0,N2,2,1
D32,"E15_4-METHYLVALERIC ACID, 99%",CC(C)CCC(=O)O,N3_Scaffold 7,CC(C)C1=CC2=CCC3[C@](C)(CN)CCC[C@]3(C)C2CC1,CC(C)CCCNC[C@]1(C)CCC[C@]2(C)C3CCC(C(C)C)=CC3=CCC12,1.2,2.1,64.1,0.0,-1.0,15,116.16,0.2,Electrophile,acid01-B1,1,2,1,daxD@@QImYjj@@,CC(C)CCC(=O)O,1,1,646-07-1,0,N3,3,1
D44,"E15_4-METHYLVALERIC ACID, 99%",CC(C)CCC(=O)O,N4_Scaffold 6,CCNC[C@@]1(C)C2[C@](C)(CCC1)c3c(CC2)cc(C(C)C)c(c3)N,CCNC[C@]1(C)CCC[C@]2(C)c3cc(NCCCC(C)C)c(C(C)C)cc3CCC12,2.0,5.5,73.3,0.0,-1.0,15,116.16,0.2,Electrophile,acid01-B1,1,2,1,daxD@@QImYjj@@,CC(C)CCC(=O)O,1,1,646-07-1,0,N4,4,1
E8,"E18_2-HYDROXYISOBUTYRIC ACID, 99%",CC(C)(C(=O)O)O,N1_(+)-Dehydroabietylamine,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CN)CCC[C@]21C,CC(C)c1ccc2c(c1)CC[C@H]1[C@](C)(CNCC(C)(C)O)CCC[C@]21C,21.37,8.8,29.1,0.0,-1.0,18,104.1,0.2,Electrophile,acid-B5,1,2,1,gNq`@bdwSUP@,CC(C)(C(=O)O)O,1,1,594-61-6,0,N1,1,2
E20,"E18_2-HYDROXYISOBUTYRIC ACID, 99%",CC(C)(C(=O)O)O,N2_hydroxydehydroabietylamine,CC(C)C(C(O)=C1)=CC2=C1[C@]3(C)C(CC2)[C@](C)(CN)CCC3,CC(C)c1cc2c(cc1O)[C@@]1(C)CCC[C@@](C)(CNCC(C)(C)O)C1CC2,0.0,0.0,0.0,0.0,-1.0,18,104.1,0.2,Electrophile,acid-B5,1,2,1,gNq`@bdwSUP@,CC(C)(C(=O)O)O,1,1,594-61-6,0,N2,2,2
